dump_addr,size,ref_symbol,ref_elf,ref_addr,match_type,score,notes
0x0800F922,6,dynamic_keymap_macro_get_buffer_size,ref1011_via,0x0800F922,exact,1.000,tiny body placed (vote) ; xrefs: raw_hid_receive@0x080105C6(bl)
0x0800F928,42,dynamic_keymap_macro_get_buffer,ref1011_via,0x0800F928,exact,1.000,xrefs: raw_hid_receive@0x080105C6(bl)
0x0800F952,38,dynamic_keymap_macro_set_buffer,ref1011_via,0x0800F952,exact,1.000,xrefs: raw_hid_receive@0x080105C6(bl)
0x0800F978,24,dynamic_keymap_macro_reset,ref1011_via,0x0800F978,exact,1.000,xrefs: raw_hid_receive@0x080105C6(bl) eeconfig_init_via@0x08010480(bl)
0x0800F990,188,dynamic_keymap_macro_send,ref1011_via,0x0800F990,exact,1.000,xrefs: process_record_via@0x080104C2(bl)
0x0800FA4C,76,process_grave_esc,ref1011_via,0x0800FA4C,exact,1.000,xrefs: process_record_quantum@0x0800B230(bl)
0x0800FA98,452,process_magic,ref1011_via,0x0800FA98,exact,1.000,xrefs: process_record_quantum@0x0800B230(bl)
0x0800FC5C,38,times_inv_sqrt2,ref1011_via,0x0800FC5C,exact,1.000,xrefs: mousekey_task@0x0800FFBC(bl) mousekey_task@0x0800FFBC(bl) mousekey_task@0x0800FFBC(bl) mousekey_task@0x0800FFBC(bl)
0x0800FC84,108,move_unit,ref1011_via,0x0800FC84,exact,1.000,xrefs: mousekey_task@0x0800FFBC(bl) mousekey_task@0x0800FFBC(bl) mousekey_on@0x0800FD54(bl) mousekey_on@0x0800FD54(bl) ...
0x0800FCF0,100,wheel_unit,ref1011_via,0x0800FCF0,exact,1.000,xrefs: mousekey_task@0x0800FFBC(bl) mousekey_task@0x0800FFBC(bl) mousekey_on@0x0800FD54(bl) mousekey_on@0x0800FD54(bl) ...
0x0800FD54,196,mousekey_on,ref1011_via,0x0800FD54,exact,1.000,xrefs: register_code@0x0800B3E4(bl) usb_remote_wakeup@0x08009F30(bl) usb_remote_wakeup@0x08009F30(bl) register_mouse@0x0800B3CE(bl)
0x0800FE18,280,mousekey_off,ref1011_via,0x0800FE18,exact,1.000,xrefs: unregister_code@0x0800B474(bl) usb_remote_wakeup@0x08009F30(bl) register_mouse@0x0800B3CE(bl)
0x0800FF30,60,mousekey_send,ref1011_via,0x0800FF30,exact,1.000,xrefs: mousekey_task@0x0800FFBC(bl) register_code@0x0800B3E4(b) unregister_code@0x0800B474(b) usb_remote_wakeup@0x08009F30(bl) ...
0x0800FF6C,44,mousekey_clear,ref1011_via,0x0800FF6C,exact,1.000,xrefs: suspend_wakeup_init@0x08010B04(bl) clear_keyboard_but_mods_and_keys@0x0800B938(bl)
0x0800FF98,34,should_mousekey_report_send,ref1011_via,0x0800FF98,exact,1.000,xrefs: mousekey_task@0x0800FFBC(bl)
0x0800FFBC,372,mousekey_task,ref1011_via,0x0800FFBC,exact,1.000,xrefs: keyboard_task@0x0800C568(bl)
0x08010130,112,send_char,ref1011_via,0x08010130,exact,1.000,xrefs: send_string_with_delay@0x080101A0(bl)
0x080101A0,148,send_string_with_delay,ref1011_via,0x080101A0,exact,1.000,xrefs: dynamic_keymap_macro_send@0x0800F990(bl)
0x08010234,184,perform_space_cadet,ref1011_via,0x08010234,exact,1.000,xrefs: process_space_cadet@0x080102EC(bl)
0x080102EC,152,process_space_cadet,ref1011_via,0x080102EC,exact,1.000,xrefs: process_record_quantum@0x0800B230(bl)
0x08010384,90,process_tri_layer,ref1011_via,0x08010384,exact,1.000,xrefs: process_record_quantum@0x0800B230(bl)
0x080103E0,12,get_tri_layer_lower_layer,ref1011_via,0x080103E0,exact-ambiguous,1.000,ambiguous body {get_mods|get_transport|get_tri_layer_adjust_layer|get_tri_layer_lower_layer|get_tri_layer_upper_layer|keyboard_leds|rgb_matrix_is_driver_shutdown|wireless_get_state} resolved by caller: bl from process_tri_layer@0x08010384+0x1A ; same body also matches: get_mods|get_transport|get_tri_layer_adjust_layer|get_tri_layer_upper_layer|keyboard_leds|rgb_matrix_is_driver_shutdown|wireless_get_state ; xrefs: process_tri_layer@0x08010384(bl) process_tri_layer@0x08010384(bl) process_tri_layer@0x08010384(bl)
0x080103EC,12,get_tri_layer_upper_layer,ref1011_via,0x080103EC,exact-ambiguous,1.000,ambiguous body {get_mods|get_transport|get_tri_layer_adjust_layer|get_tri_layer_lower_layer|get_tri_layer_upper_layer|keyboard_leds|rgb_matrix_is_driver_shutdown|wireless_get_state} resolved by caller: bl from process_tri_layer@0x08010384+0x28 ; same body also matches: get_mods|get_transport|get_tri_layer_adjust_layer|get_tri_layer_lower_layer|keyboard_leds|rgb_matrix_is_driver_shutdown|wireless_get_state ; xrefs: process_tri_layer@0x08010384(bl) process_tri_layer@0x08010384(bl) process_tri_layer@0x08010384(bl)
0x080103F8,12,get_tri_layer_adjust_layer,ref1011_via,0x080103F8,exact-ambiguous,1.000,ambiguous body {get_mods|get_transport|get_tri_layer_adjust_layer|get_tri_layer_lower_layer|get_tri_layer_upper_layer|keyboard_leds|rgb_matrix_is_driver_shutdown|wireless_get_state} resolved by caller: bl from process_tri_layer@0x08010384+0x2E ; same body also matches: get_mods|get_transport|get_tri_layer_lower_layer|get_tri_layer_upper_layer|keyboard_leds|rgb_matrix_is_driver_shutdown|wireless_get_state ; xrefs: process_tri_layer@0x08010384(bl)
