hook,dump_addr,size,status,ref_elf,evidence
via_set_layout_options_kb,0x0801046A,2,exact-ambiguous,ref1011_via,via_set_layout_options_kb:bl from via_init@0x080104A0+0xA
oneshot_locked_mods_changed_kb,0x0800C15A,8,exact-ambiguous,ref1011_via,oneshot_locked_mods_changed_kb:bl from del_oneshot_locked_mods@0x0800C164+0x10
oneshot_mods_changed_kb,0x0800C182,8,exact-ambiguous,ref1011_via,oneshot_mods_changed_kb:bl from add_oneshot_mods@0x0800C18C+0x10
keychron_task_kb,0x0800B0B4,48,exact,ref1011_via,keychron_task_kb:bl from keychron_task@0x0800AA1E+0xE
notify_usb_device_state_change_kb,0x08010A5A,8,exact-ambiguous,ref1011_via,notify_usb_device_state_change_kb:bl from usb_device_state_set_configuration@0x08010A64+0xA
led_set_user,0x0800B328,2,exact-ambiguous,ref1011_via,led_set_user:bl from led_set@0x0800B332+0x4
eeconfig_update_kb,0x0800C3B6,8,exact,ref1011_via,eeconfig_update_kb:bl from eeconfig_init_kb@0x0800C3CC+0x4
rgb_matrix_none_indicators_kb,0x08009B7C,28,exact,ref1011_via,rgb_matrix_none_indicators_kb:bl from rgb_matrix_none_indicators@0x0800DF1A+0x2
rgb_matrix_none_indicators_user,0x0800DF18,2,exact-ambiguous,ref1011_via,rgb_matrix_none_indicators_user:bl from rgb_matrix_none_indicators@0x0800DF1A+0x6
oneshot_locked_mods_changed_user,0x0800C158,2,exact-ambiguous,ref1011_via,oneshot_locked_mods_changed_user:bl from oneshot_locked_mods_changed_kb@0x0800C15A+0x2
oneshot_mods_changed_user,0x0800C180,2,exact-ambiguous,ref1011_via,oneshot_mods_changed_user:bl from oneshot_mods_changed_kb@0x0800C182+0x2
oneshot_layer_changed_user,0x0800C29C,2,exact-ambiguous,ref1011_via,oneshot_layer_changed_user:bl from oneshot_layer_changed_kb@0x0800C29E+0x2
matrix_init_user,0x0800CAB8,2,exact-ambiguous,ref1011_via,matrix_init_user:bl from matrix_init_kb@0x0800CABA+0x2
notify_usb_device_state_change_user,0x08010A58,2,exact-ambiguous,ref1011_via,notify_usb_device_state_change_user:bl from notify_usb_device_state_change_kb@0x08010A5A+0x2
eeconfig_update_user,0x0800C3BE,8,exact,ref1011_via,eeconfig_update_user:b.w from eeconfig_init_user@0x0800C3C6+0x2
