dump_addr,size,ref_symbol,ref_addr,ref_size,alignment_score,notes,obj,opcode_sim
0x08008000,284,_crt0_entry,0x08008000,284,6.30,match; callgraph 5/5; opsim=1.00; truth=_crt0_entry,crt0_v7m.o,1.000
0x0800811c,2,,,,,INSERTION (no ref function); entry=vector; truth=Reset_Handler,,
0x0800811e,4,Reset_Handler,0x0800811c,8,0.70,split1; entry=vector; anchor=vector; callgraph 1/1; opsim=0.50; truth=Reset_Handler,vectors.o,0.500
0x08008122,2,Reset_Handler,0x0800811c,8,-0.55,split2; entry=bl; callgraph 1/1; opsim=0.50; truth=Reset_Handler,vectors.o,0.500
0x08008124,24,__port_switch,0x08008124,50,-0.36,split1; opsim=0.58; truth=__port_switch,chcoreasm.o,0.583
0x0800813c,18,__port_switch,0x08008124,50,-0.72,split2; entry=ptr; callgraph 1/1; opsim=0.58; truth=__port_switch,chcoreasm.o,0.583
0x0800814e,10,,,,,INSERTION (no ref function); entry=ptr; truth=__port_switch,,
0x08008158,48,__aeabi_uldivmod,0x08008158,48,2.20,match; entry=bl; callgraph 6/6; opsim=1.00; truth=__aeabi_uldivmod,_aeabi_uldivmod.o,1.000
0x08008188,684,__udivmoddi4,0x08008188,684,1.90,match; entry=bl; callgraph 1/1; opsim=1.00; truth=__udivmoddi4,_udivmoddi4.o,1.000
0x08008434,4,__aeabi_ldiv0,0x08008434,4,1.90,match; opsim=1.00; truth=__aeabi_ldiv0,_dvmd_tls.o,1.000
0x08008438,24,strlen,0x08008438,16,0.90,match; entry=bl; callgraph 2/2; opsim=0.78; truth=strlen,libc_a-strlen.o,0.778
0x08008450,160,memchr,0x08008450,160,1.90,match; entry=bl; callgraph 2/2; opsim=1.00; truth=memchr,libc_a-memchr.o,1.000
0x080084f0,24,wreless_keyboard_leds,0x080084f0,24,1.90,match; entry=ptr; opsim=1.00; truth=wreless_keyboard_leds,wireless.o,1.000
0x08008508,36,wireless_event_queue_init,0x08008508,36,2.20,match; entry=bl; callgraph 2/2; opsim=1.00; truth=wireless_event_queue_init,wireless.o,1.000
0x0800852c,68,wireless_event_enqueue,0x0800852c,68,2.20,match; entry=bl; callgraph 2/2; opsim=1.00; truth=wireless_event_enqueue,wireless.o,1.000
0x08008570,40,wireless_init,0x08008570,40,2.20,match; entry=bl; callgraph 6/6; opsim=1.00; truth=wireless_init,wireless.o,1.000
0x08008598,48,wireless_pairing_ex,0x08008598,48,2.20,match; callgraph 1/1; opsim=1.00; truth=wireless_pairing_ex,wireless.o,1.000
0x080085c8,68,wireless_connect,0x080085c8,68,2.20,match; entry=bl; callgraph 5/5; opsim=1.00; truth=wireless_connect,wireless.o,1.000
0x0800860c,96,wireless_send_keyboard,0x0800860c,96,2.20,match; entry=ptr; callgraph 3/3; opsim=1.00; truth=wireless_send_keyboard,wireless.o,1.000
0x0800866c,96,wireless_send_nkro,0x0800866c,96,2.20,match; entry=ptr; callgraph 3/3; opsim=1.00; truth=wireless_send_nkro,wireless.o,1.000
0x080086cc,52,wireless_send_mouse,0x080086cc,52,2.20,match; entry=ptr; callgraph 1/1; opsim=1.00; truth=wireless_send_mouse,wireless.o,1.000
0x08008700,72,wireless_connect_ex,0x08008700,72,2.20,match; entry=bl; callgraph 2/2; opsim=1.00; truth=wireless_connect_ex,wireless.o,1.000
0x08008748,16,wireless_disconnect,0x08008748,16,1.90,match; entry=bl; callgraph 4/4; opsim=1.00; truth=wireless_disconnect,wireless.o,1.000
0x08008758,2,wireless_enter_discoverable_kb,0x08008758,2,1.90,match; entry=bl; callgraph 1/1; opsim=1.00; truth=wireless_enter_discoverable_kb,wireless.o,1.000
0x0800875a,2,wireless_enter_reconnecting_kb,0x0800875a,2,1.90,match; entry=bl; callgraph 1/1; opsim=1.00; truth=wireless_enter_reconnecting_kb,wireless.o,1.000
0x0800875c,2,wireless_enter_connected_kb,0x0800875c,2,1.90,match; entry=bl; callgraph 1/1; opsim=1.00; truth=wireless_enter_connected_kb,wireless.o,1.000
0x0800875e,2,wireless_enter_bluetooth_pin_code_entry_kb,0x0800875e,2,1.90,match; entry=bl; callgraph 1/1; opsim=1.00; truth=wireless_enter_bluetooth_pin_code_entry_kb,wireless.o,1.000
0x08008760,2,wireless_exit_bluetooth_pin_code_entry_kb,0x08008760,2,1.90,match; entry=bl; callgraph 1/1; opsim=1.00; truth=wireless_exit_bluetooth_pin_code_entry_kb,wireless.o,1.000
0x08008762,2,wireless_enter_sleep_kb,0x08008762,2,1.90,match; entry=bl; callgraph 1/1; opsim=1.00; truth=wireless_enter_sleep_kb,wireless.o,1.000
0x08008764,32,wireless_send_system,0x08008764,32,1.90,match; opsim=1.00; truth=wireless_send_system,wireless.o,1.000
0x08008784,88,wireless_send_consumer,0x08008784,88,2.20,match; callgraph 3/3; opsim=1.00; truth=wireless_send_consumer,wireless.o,1.000
0x080087dc,56,wireless_send_extra,0x080087dc,54,2.09,match; entry=ptr; callgraph 1/1; opsim=0.98; truth=wireless_send_extra,wireless.o,0.976
0x08008814,136,wireless_low_battery_shutdown,0x08008814,136,2.80,match; callgraph 7/7; opsim=1.00; truth=wireless_low_battery_shutdown,wireless.o,1.000
0x0800889c,484,wireless_event_task,0x0800889c,484,2.20,match; entry=bl; callgraph 21/21; opsim=1.00; truth=wireless_event_task,wireless.o,1.000
0x08008a80,40,wireless_task,0x08008a80,40,2.20,match; entry=bl; callgraph 6/6; opsim=1.00; truth=wireless_task,wireless.o,1.000
