dump_addr,size,ref_symbol,ref_addr,ref_size,alignment_score,notes,obj,opcode_sim
0x08008d24,144,lkbt51_init,0x08008ce4,148,4.42,"match; entry=bl,ptr; callgraph 4/4; opsim=0.90",lkbt51.o,0.900
0x08008db4,68,lkbt51_wake,0x08008d78,68,4.80,match; entry=bl; callgraph 7/7; opsim=1.00,lkbt51.o,1.000
0x08008df8,232,lkbt51_send_cmd,0x08008dbc,212,3.44,match; callgraph 4/4; opsim=0.84,lkbt51.o,0.838
0x08008ee0,52,lkbt51_send_keyboard,0x08008e90,56,1.99,match; entry=ptr; opsim=0.58,lkbt51.o,0.579
0x08008f14,52,lkbt51_send_nkro,0x08008ec8,56,1.99,match; entry=ptr; opsim=0.58,lkbt51.o,0.579
0x08008f48,48,lkbt51_send_consumer,0x08008f00,52,1.97,match; entry=ptr; opsim=0.70,lkbt51.o,0.703
0x08008f78,60,lkbt51_send_system,0x08008f34,64,1.51,match; entry=ptr; opsim=0.64,lkbt51.o,0.638
0x08008fb4,76,lkbt51_send_mouse,0x08008f74,76,2.20,match; entry=ptr; opsim=0.83,lkbt51.o,0.833
0x08009000,132,lkbt51_become_discoverable,0x08008fc0,132,3.70,match; entry=ptr; callgraph 2/2; opsim=0.82,lkbt51.o,0.819
0x08009084,56,lkbt51_connect,0x08009044,64,1.82,match; entry=ptr; callgraph 1/1; opsim=0.82,lkbt51.o,0.818
0x080090bc,64,lkbt51_disconnect,0x08009084,72,2.47,match; entry=ptr; callgraph 2/2; opsim=0.68,lkbt51.o,0.683
0x080090fc,44,lkbt51_update_bat_lvl,0x080090cc,48,1.95,match; entry=ptr; opsim=0.65,lkbt51.o,0.647
0x08009128,92,lkbt51_read,0x080090fc,84,3.44,match; entry=bl; callgraph 6/6; opsim=0.48,lkbt51.o,0.484
0x08009184,40,lkbt51_send_conn_evt_ack,0x08009150,40,2.20,match; entry=bl; callgraph 1/1; opsim=0.69,lkbt51.o,0.690
0x080091ac,48,lkbt51_read_state_reg,0x08009178,52,1.97,match; opsim=0.54,lkbt51.o,0.541
0x080091dc,44,lkbt51_update_bat_state,0x080091ac,48,1.95,match; entry=bl; callgraph 1/1; opsim=0.65,lkbt51.o,0.647
0x08009208,52,lkbt51_set_param,0x080091dc,56,1.99,match; entry=bl; callgraph 1/1; opsim=0.58,lkbt51.o,0.579
0x0800923c,60,lkbt51_set_local_name,0x08009214,64,2.01,match; entry=bl; callgraph 2/2; opsim=0.59,lkbt51.o,0.591
0x08009278,48,lkbt51_factory_reset,0x08009254,52,1.97,match; entry=bl; callgraph 2/2; opsim=0.72,lkbt51.o,0.722
0x080092a8,44,lkbt51_int_pin_test,0x08009288,48,1.95,match; opsim=0.65,lkbt51.o,0.647
0x080092d4,44,lkbt51_radio_test,0x080092b8,48,1.95,match; opsim=0.65,lkbt51.o,0.647
0x08009300,136,lkbt51_dfu_tx,0x080092e8,124,1.94,match; entry=bl; callgraph 2/2; opsim=0.79,lkbt51.o,0.787
0x08009388,668,lkbt51_task,0x08009364,652,4.73,match; entry=ptr; callgraph 8/8; opsim=0.82,lkbt51.o,0.822
0x08009624,148,lkbt51_dfu_rx,0x080095f0,156,2.05,match; entry=bl; callgraph 2/2; opsim=0.88,lkbt51.o,0.880
0x080096b8,44,indicator_init,0x0800968c,44,4.50,match; entry=bl; callgraph 3/3; opsim=0.79,indicator.o,0.786
0x080096e4,18,indicator_enable,0x080096b8,18,2.20,match; entry=bl; callgraph 3/3; opsim=1.00,indicator.o,1.000
0x080096f6,4,indicator_disable,0x080096ca,4,1.90,match; entry=bl; callgraph 1/1; opsim=1.00,indicator.o,1.000
0x080096fa,14,indicator_is_enabled,0x080096ce,14,2.20,match; entry=bl; callgraph 3/3; opsim=1.00,indicator.o,1.000
0x08009708,36,indicator_eeconfig_reload,0x080096dc,36,2.20,match; entry=bl; callgraph 5/5; opsim=0.80,indicator.o,0.800
0x0800972c,40,indicator_is_running,0x08009700,44,1.63,match; entry=bl; callgraph 2/2; opsim=0.80,indicator.o,0.800
0x08009754,40,indicator_stop,0x0800972c,40,2.20,match; entry=bl; callgraph 4/4; opsim=1.00,indicator.o,1.000
0x0800977c,52,indicator_battery_low_enable,0x08009754,52,4.50,match; entry=bl; callgraph 6/6; opsim=1.00,indicator.o,1.000
0x080097b0,116,indicator_battery_low_backlit_enable,0x08009788,128,2.22,match; entry=bl; callgraph 8/8; opsim=0.73,indicator.o,0.733
0x08009824,48,os_state_indicate,0x08009808,48,2.20,match; entry=bl; callgraph 5/5; opsim=1.00,indicator.o,1.000
0x08009854,268,rgb_matrix_indicators_bt,0x08009838,276,1.31,match; entry=bl; callgraph 11/11; opsim=0.86,indicator.o,0.864
0x08009960,228,indicator_timer_cb,0x0800994c,220,2.09,match; entry=bl; callgraph 6/6; opsim=0.79,indicator.o,0.793
0x08009a44,340,indicator_set,0x08009a28,340,7.30,match; entry=bl; callgraph 10/10; opsim=1.00,indicator.o,1.000
0x08009b98,28,rgb_matrix_none_indicators_kb,0x08009b7c,28,2.20,match; entry=bl; callgraph 3/3; opsim=1.00,indicator.o,1.000
0x08009bb4,16,rgb_matrix_driver_allow_shutdown,0x08009b98,16,2.20,match; entry=bl; callgraph 4/4; opsim=1.00,indicator.o,1.000
0x08009bc4,176,indicator_battery_low,0x08009ba8,176,4.80,match; callgraph 3/3; opsim=0.88,indicator.o,0.879
0x08009c74,64,indicator_task,0x08009c58,64,2.20,match; entry=bl; callgraph 5/5; opsim=1.00,indicator.o,1.000
0x08009cb4,84,led_update_kb,0x08009c98,84,1.90,match; entry=bl; callgraph 11/11; opsim=1.00,indicator.o,1.000
0x08009d08,2,wireless_post_task,0x08009cec,2,1.90,match; entry=bl; callgraph 1/1; opsim=1.00,wireless_main.o,1.000
0x08009d0a,30,wireless_tasks,0x08009cee,30,2.20,match; entry=bl; callgraph 6/6; opsim=1.00,wireless_main.o,1.000
0x08009d28,104,bt_transport_enable,0x08009d0c,104,2.20,match; entry=bl; callgraph 7/7; opsim=1.00,transport.o,1.000
0x08009d90,104,p24g_transport_enable,0x08009d74,104,2.20,match; entry=bl; callgraph 7/7; opsim=1.00,transport.o,1.000
0x08009df8,60,usb_transport_enable,0x08009ddc,60,2.20,match; entry=bl; callgraph 2/2; opsim=0.93,transport.o,0.930
0x08009e34,276,set_transport,0x08009e18,268,2.71,match; callgraph 14/14; opsim=0.92,transport.o,0.922
0x08009f48,12,get_transport,0x08009f24,12,1.90,match; entry=bl; callgraph 14/14; opsim=1.00,transport.o,1.000
0x08009f54,136,usb_remote_wakeup,0x08009f30,112,1.77,match; entry=bl; callgraph 9/10; opsim=0.88,transport.o,0.883
0x08009fdc,68,select_all_cols,0x08009fa0,60,1.85,match; entry=bl; callgraph 2/2; opsim=0.81,lpm.o,0.810
0x0800a020,28,lpm_timer_reset,0x08009fdc,28,2.20,match; entry=bl; callgraph 7/7; opsim=1.00,lpm.o,1.000
0x0800a03c,24,lpm_init,0x08009ff8,24,4.20,match; entry=bl; callgraph 2/2; opsim=1.00,lpm.o,1.000
0x0800a054,20,lpm_timer_stop,0x0800a010,20,1.90,match; entry=bl; callgraph 1/1; opsim=1.00,lpm.o,1.000
0x0800a068,16,usb_power_connected,0x0800a024,16,3.90,match; entry=bl; callgraph 4/4; opsim=1.00,lpm.o,1.000
0x0800a078,260,pre_enter_low_power_mode,0x0800a034,260,4.80,match; entry=bl; callgraph 8/8; opsim=0.94,lpm.o,0.942
0x0800a17c,452,lpm_task,0x0800a138,456,4.77,match; callgraph 23/23; opsim=0.96,lpm.o,0.961
0x0800a340,96,lpm_set,0x0800a300,96,3.90,match; entry=bl; callgraph 2/2; opsim=0.97,lpm_stm32f401.o,0.973
0x0800a3a0,100,enter_power_mode,0x0800a360,100,4.20,match; entry=bl; callgraph 3/3; opsim=1.00,lpm_stm32f401.o,1.000
0x0800a404,16,battery_init,0x0800a3c4,16,4.20,match; entry=bl; callgraph 2/2; opsim=1.00,battery.o,1.000
0x0800a414,2,battery_stop,0x0800a3d4,2,1.90,match; entry=bl; callgraph 1/1; opsim=1.00,battery.o,1.000
0x0800a416,10,battery_measure,0x0800a3d6,8,1.30,match; entry=bl; callgraph 1/1; opsim=0.86,battery.o,0.857
0x0800a420,116,battery_calculate_voltage,0x0800a3e0,112,2.70,match; entry=bl; callgraph 2/2; opsim=0.88,battery.o,0.875
0x0800a494,88,battery_get_percentage,0x0800a450,80,2.23,match; entry=bl; callgraph 2/2; opsim=0.90,battery.o,0.903
0x0800a4ec,20,battery_is_empty,0x0800a4a0,20,1.90,match; entry=bl; callgraph 3/3; opsim=1.00,battery.o,1.000
0x0800a500,20,battery_is_critical_low,0x0800a4b4,20,1.90,match; entry=bl; callgraph 9/9; opsim=1.00,battery.o,1.000
0x0800a514,64,battery_check_empty,0x0800a4c8,64,2.50,match; entry=bl; callgraph 3/3; opsim=1.00,battery.o,1.000
0x0800a554,52,battery_check_critical_low,0x0800a508,52,2.20,match; entry=bl; callgraph 1/1; opsim=1.00,battery.o,1.000
0x0800a588,204,battery_task,0x0800a53c,204,4.50,match; entry=bl; callgraph 13/13; opsim=0.97,battery.o,0.972
0x0800a654,88,bat_level_animiation_start,0x0800a608,88,2.20,match; entry=bl; callgraph 3/3; opsim=1.00,bat_level_animation.o,1.000
0x0800a6ac,16,bat_level_animiation_actived,0x0800a660,16,1.90,match; entry=bl; callgraph 1/1; opsim=1.00,bat_level_animation.o,1.000
0x0800a6bc,124,bat_level_animiation_indicate,0x0800a670,124,3.70,match; entry=bl; callgraph 2/2; opsim=1.00,bat_level_animation.o,1.000
0x0800a738,172,bat_level_animiation_update,0x0800a6ec,172,2.50,match; callgraph 5/5; opsim=1.00,bat_level_animation.o,1.000
0x0800a7e4,48,bat_level_animiation_task,0x0800a798,48,2.20,match; entry=bl; callgraph 2/2; opsim=1.00,bat_level_animation.o,1.000
0x0800a814,28,rtc_timer_clear,0x0800a7c8,24,1.77,match; entry=bl; callgraph 2/2; opsim=0.82,rtc_timer.o,0.824
0x0800a830,4,rtc_timer_init,0x0800a7e0,4,1.90,match; opsim=1.00,rtc_timer.o,1.000
0x0800a834,28,rtc_timer_read_ms,0x0800a7e4,24,1.77,match; entry=bl; callgraph 4/4; opsim=0.82,rtc_timer.o,0.824
0x0800a850,12,rtc_timer_elapsed_ms,0x0800a7fc,12,2.20,match; entry=bl; callgraph 2/2; opsim=1.00,rtc_timer.o,1.000
0x0800a85c,152,process_record_keychron_wireless,0x0800a808,152,2.80,match; callgraph 6/6; opsim=0.98,keychron_wireless_common.o,0.983
0x0800a8f4,108,lkbt51_param_init,0x0800a8a0,68,2.39,match; entry=bl; callgraph 4/4; opsim=0.35,keychron_wireless_common.o,0.353
0x0800a960,4,wireless_enter_reset_kb,0x0800a8e4,4,1.90,match; entry=bl; callgraph 1/1; opsim=1.00,keychron_wireless_common.o,1.000
0x0800a964,44,wireless_enter_disconnected_kb,0x0800a8e8,44,2.50,match; entry=bl; callgraph 5/5; opsim=1.00,keychron_wireless_common.o,1.000
0x0800a990,40,keychron_wireless_common_task,0x0800a914,40,2.50,match; entry=bl; callgraph 2/2; opsim=1.00,keychron_wireless_common.o,1.000
0x0800a9b8,176,wireless_pre_task,0x0800a93c,176,4.20,match; entry=bl; callgraph 4/5; opsim=0.99,keychron_wireless_common.o,0.985
0x0800aa68,4,process_record_keychron_kb,0x0800a9ec,4,1.90,match; entry=bl; callgraph 1/1; opsim=1.00,keychron_task.o,1.000
0x0800aa6c,38,process_record_keychron,0x0800a9f0,32,1.73,match; callgraph 3/3; opsim=0.69,keychron_task.o,0.690
0x0800aa92,14,rgb_matrix_indicators_keychron,0x0800aa10,14,2.20,match; entry=bl; callgraph 2/3; opsim=1.00,keychron_task.o,1.000
0x0800aaa0,20,keychron_task,0x0800aa1e,20,2.20,match; callgraph 4/4; opsim=1.00,keychron_task.o,1.000
0x0800aab4,26,process_record_kb,0x0800aa32,26,2.20,match; entry=bl; callgraph 2/2; opsim=1.00,keychron_task.o,1.000
0x0800aace,18,rgb_matrix_indicators_kb,0x0800aa4c,18,1.70,match; entry=bl; callgraph 2/3; opsim=0.62,keychron_task.o,0.615
0x0800aae0,4,housekeeping_task_kb,0x0800aa5e,4,1.90,match; entry=bl; callgraph 1/1; opsim=1.00,keychron_task.o,1.000
