dump_addr,size,ref_symbol,ref_addr,ref_size,alignment_score,notes,region,obj,opcode_sim
0x080086c0,216,strlen,0x08008438,16,,inferred-by-call-position (2/2 positional votes = strlen); size dump 216 vs ref 16; INSERTION (no ref function); entry=bl,libc in *(.text) (newlib without -ffunction-sections),libc_a-strlen.o,
0x08008798,164,memset [full newlib memset.c -O2],0x08014e50,16,,"VERIFIED by call position: process_tapping calls it 2x where ref calls memset 2x; leader_start tail-calls it with (buf,0,10) as ref leader_start calls memset; 164 B (ref nano 16 B)",libc in *(.text) (newlib without -ffunction-sections),libc_a-memset.o,
0x0800883c,308,memcpy [full newlib memcpy-armv7m.S],0x08014ee8,28,,"VERIFIED by call position: process_tapping (dump 0x0800df94, opsim 0.80) calls it 5x exactly where the ref calls memcpy 5x; 308 B (ref nano stub 28 B)",libc in *(.text) (newlib without -ffunction-sections),libc_a-memcpy-stub.o,0.000
0x08008970,16,malloc,0x08014bd4,16,1.90,match; entry=bl; callgraph 0/1; opsim=1.00,libc in *(.text) (newlib without -ffunction-sections),libc_a-malloc.o,1.000
0x08008980,16,free,0x08014be4,16,1.90,match; entry=bl; callgraph 0/1; opsim=1.00,libc in *(.text) (newlib without -ffunction-sections),libc_a-malloc.o,1.000
0x08008990,28,,,,,"libc (full newlib, unidentified); INSERTION (no ref function)",libc in *(.text) (newlib without -ffunction-sections),,
0x080089ac,40,fprintf,0x08014fd8,36,,inferred-by-callers (1/1 matched callers call fprintf in ref); size dump 40 vs ref 36; INSERTION (no ref function); entry=bl,libc in *(.text) (newlib without -ffunction-sections),libc_a-fprintf.o,
0x080089d4,92,memcmp,0x08014e30,32,,inferred-by-call-position (6/6 positional votes = memcmp); size dump 92 vs ref 32; INSERTION (no ref function); entry=bl,libc in *(.text) (newlib without -ffunction-sections),libc_a-memcmp.o,
0x08008a30,60,,,,,"libc (full newlib, unidentified); INSERTION (no ref function); entry=bl",libc in *(.text) (newlib without -ffunction-sections),,
0x08008a6c,48,,,,,"libc (full newlib, unidentified); libc cluster: DP label 'sbrk_aligned' discarded (opsim 0.408, split1)",libc in *(.text) (newlib without -ffunction-sections),,0.408
0x08008a9c,32,,,,,"libc (full newlib, unidentified); libc cluster: DP label 'sbrk_aligned' discarded (opsim 0.333, split2)",libc in *(.text) (newlib without -ffunction-sections),,0.333
0x08008abc,620,_vfiprintf_r,0x0801504c,452,,"inferred-by-callers (1/1 matched callers call _vfiprintf_r in ref); size dump 620 vs ref 452; libc cluster: DP label '_malloc_r' discarded (opsim 0.223, match)",libc in *(.text) (newlib without -ffunction-sections),libc_a-nano-vfprintf.o,0.223
0x08008d28,28,,,,,"libc (full newlib, unidentified); INSERTION (no ref function)",libc in *(.text) (newlib without -ffunction-sections),,
0x08008d44,136,,,,,"libc (full newlib, unidentified); libc cluster: DP label '__utoa' discarded (opsim 0.293, match)",libc in *(.text) (newlib without -ffunction-sections),,0.293
0x08008dcc,24,,,,,"libc (full newlib, unidentified); libc cluster: DP label 'memcmp' discarded (opsim 0.087, match)",libc in *(.text) (newlib without -ffunction-sections),,0.087
0x08008de4,768,,,,,"libc (full newlib, unidentified); libc cluster: DP label 'memset' discarded (opsim 0.038, match)",libc in *(.text) (newlib without -ffunction-sections),,0.038
0x080090e4,44,,,,,"libc (full newlib, unidentified); INSERTION (no ref function)",libc in *(.text) (newlib without -ffunction-sections),,
0x08009110,76,,,,,"libc (full newlib, unidentified); INSERTION (no ref function)",libc in *(.text) (newlib without -ffunction-sections),,
0x0800915c,80,,,,,"libc (full newlib, unidentified); libc cluster: DP label '_raise_r' discarded (opsim 0.500, match)",libc in *(.text) (newlib without -ffunction-sections),,0.500
0x080091ac,96,,,,,"libc (full newlib, unidentified); INSERTION (no ref function)",libc in *(.text) (newlib without -ffunction-sections),,
0x0800920c,84,,,,,"libc (full newlib, unidentified); INSERTION (no ref function); entry=bl",libc in *(.text) (newlib without -ffunction-sections),,
0x08009260,76,,,,,"libc (full newlib, unidentified); libc cluster: DP label 'raise' discarded (opsim 0.167, match)",libc in *(.text) (newlib without -ffunction-sections),,0.167
0x080092ac,52,,,,,"libc (full newlib, unidentified); libc cluster: DP label '_kill_r' discarded (opsim 0.400, match)",libc in *(.text) (newlib without -ffunction-sections),,0.400
0x080092e0,100,,,,,"libc (full newlib, unidentified); INSERTION (no ref function)",libc in *(.text) (newlib without -ffunction-sections),,
0x08009344,4,,,,,"libc (full newlib, unidentified); libc cluster: DP label '_getpid_r' discarded (opsim 0.000, match)",libc in *(.text) (newlib without -ffunction-sections),,0.000
0x08009348,24,,,,,"libc (full newlib, unidentified); libc cluster: DP label 'memcpy' discarded (opsim 0.000, match)",libc in *(.text) (newlib without -ffunction-sections),,0.000
0x08009360,64,,,,,"libc (full newlib, unidentified); libc cluster: DP label '__assert_func' discarded (opsim 0.439, match)",libc in *(.text) (newlib without -ffunction-sections),,0.439
0x080093a0,4,,,,,"libc (full newlib, unidentified); INSERTION (no ref function); entry=ptr",libc in *(.text) (newlib without -ffunction-sections),,
0x080093a4,208,,,,,"libc (full newlib, unidentified); INSERTION (no ref function); entry=bl",libc in *(.text) (newlib without -ffunction-sections),,
0x08009474,164,,,,,"libc (full newlib, unidentified); libc cluster: DP label '_free_r' discarded (opsim 0.202, split1)",libc in *(.text) (newlib without -ffunction-sections),,0.202
0x08009518,32,,,,,"libc (full newlib, unidentified); libc cluster: DP label '_free_r' discarded (opsim 0.100, split2)",libc in *(.text) (newlib without -ffunction-sections),,0.100
0x08009538,4,,,,,"libc (full newlib, unidentified); INSERTION (no ref function)",libc in *(.text) (newlib without -ffunction-sections),,
0x0800953c,4,,,,,"libc (full newlib, unidentified); INSERTION (no ref function)",libc in *(.text) (newlib without -ffunction-sections),,
0x08009540,20,,,,,"libc (full newlib, unidentified); libc cluster: DP label 'fprintf' discarded (opsim 0.222, split1)",libc in *(.text) (newlib without -ffunction-sections),,0.222
0x08009554,20,,,,,"libc (full newlib, unidentified); libc cluster: DP label 'fprintf' discarded (opsim 0.222, split2)",libc in *(.text) (newlib without -ffunction-sections),,0.222
0x08009568,292,,,,,"libc (full newlib, unidentified); INSERTION (no ref function)",libc in *(.text) (newlib without -ffunction-sections),,
0x0800968c,56,,,,,"libc (full newlib, unidentified); libc cluster: DP label '__sfputc_r' discarded (opsim 0.227, match)",libc in *(.text) (newlib without -ffunction-sections),,0.227
0x080096c4,76,,,,,"libc (full newlib, unidentified); libc cluster: DP label '__sfputs_r' discarded (opsim 0.244, match)",libc in *(.text) (newlib without -ffunction-sections),,0.244
0x08009710,72,,,,,"libc (full newlib, unidentified); INSERTION (no ref function); entry=bl",libc in *(.text) (newlib without -ffunction-sections),,
0x08009758,256,,,,,"libc (full newlib, unidentified); INSERTION (no ref function); entry=bl",libc in *(.text) (newlib without -ffunction-sections),,
0x08009858,188,,,,,"libc (full newlib, unidentified); INSERTION (no ref function); entry=bl",libc in *(.text) (newlib without -ffunction-sections),,
0x08009914,256,,,,,"libc (full newlib, unidentified); libc cluster: DP label '_vfiprintf_r' discarded (opsim 0.141, split1)",libc in *(.text) (newlib without -ffunction-sections),,0.141
0x08009a14,76,,,,,"libc (full newlib, unidentified); libc cluster: DP label '_vfiprintf_r' discarded (opsim 0.103, split2)",libc in *(.text) (newlib without -ffunction-sections),,0.103
0x08009a60,160,,,,,"libc (full newlib, unidentified); INSERTION (no ref function); entry=bl",libc in *(.text) (newlib without -ffunction-sections),,
0x08009b00,196,,,,,"libc (full newlib, unidentified); libc cluster: DP label '_printf_common' discarded (opsim 0.239, split1)",libc in *(.text) (newlib without -ffunction-sections),,0.239
0x08009bc4,100,,,,,"libc (full newlib, unidentified); libc cluster: DP label '_printf_common' discarded (opsim 0.194, split2)",libc in *(.text) (newlib without -ffunction-sections),,0.194
0x08009c28,292,,,,,"libc (full newlib, unidentified); INSERTION (no ref function); entry=bl",libc in *(.text) (newlib without -ffunction-sections),,
0x08009d4c,644,,,,,"libc (full newlib, unidentified); libc cluster: DP label '_printf_i' discarded (opsim 0.296, split1)",libc in *(.text) (newlib without -ffunction-sections),,0.296
0x08009fd0,4,,,,,"libc (full newlib, unidentified); libc cluster: DP label '_printf_i' discarded (opsim 0.010, split2)",libc in *(.text) (newlib without -ffunction-sections),,0.010
0x08009fd4,4,,,,,"libc (full newlib, unidentified); libc cluster: DP label 'stdio_exit_handler' discarded (opsim 0.286, match)",libc in *(.text) (newlib without -ffunction-sections),,0.286
0x08009fd8,196,,,,,"libc (full newlib, unidentified); libc cluster: DP label 'cleanup_stdio' discarded (opsim 0.172, match)",libc in *(.text) (newlib without -ffunction-sections),,0.172
0x0800a09c,80,,,,,"libc (full newlib, unidentified); libc cluster: DP label 'global_stdio_init.part.0+__sinit' discarded (opsim n/a, merge2A)",libc in *(.text) (newlib without -ffunction-sections),,
0x0800a0ec,36,,,,,"libc (full newlib, unidentified); libc cluster: DP label '__sread' discarded (opsim 0.414, split1)",libc in *(.text) (newlib without -ffunction-sections),,0.414
0x0800a110,4,,,,,"libc (full newlib, unidentified); libc cluster: DP label '__sread' discarded (opsim 0.000, split2)",libc in *(.text) (newlib without -ffunction-sections),,0.000
0x0800a114,64,,,,,"libc (full newlib, unidentified); libc cluster: DP label '__swrite' discarded (opsim 0.500, match)",libc in *(.text) (newlib without -ffunction-sections),,0.500
0x0800a154,36,,,,,"libc (full newlib, unidentified); libc cluster: DP label '__sseek' discarded (opsim 0.741, match)",libc in *(.text) (newlib without -ffunction-sections),,0.741
0x0800a178,8,__sclose,0x08015706,8,1.90,match; entry=ptr; opsim=1.00,libc in *(.text) (newlib without -ffunction-sections),libc_a-stdio.o,1.000
0x0800a180,16,,,,,"libc (full newlib, unidentified); libc cluster: DP label '__sflush_r' discarded (opsim 0.050, match)",libc in *(.text) (newlib without -ffunction-sections),,0.050
0x0800a190,44,,,,,"libc (full newlib, unidentified); libc cluster: DP label '_fflush_r' discarded (opsim 0.389, match)",libc in *(.text) (newlib without -ffunction-sections),,0.389
0x0800a1bc,4,,,,,"libc (full newlib, unidentified); INSERTION (no ref function); entry=bl",libc in *(.text) (newlib without -ffunction-sections),,
0x0800a1c0,24,wreless_keyboard_leds,0x080084f0,24,1.90,match; entry=ptr; opsim=1.00,,wireless.o,1.000
0x0800a1d8,36,wireless_event_queue_init,0x08008508,36,2.20,match; entry=bl; callgraph 0/1; opsim=1.00,,wireless.o,1.000
0x0800a1fc,68,wireless_event_enqueue,0x0800852c,68,2.20,match; entry=bl; callgraph 0/2; opsim=1.00,,wireless.o,1.000
0x0800a240,40,wireless_init,0x08008570,40,2.20,match; entry=bl; callgraph 4/6; opsim=1.00,,wireless.o,1.000
0x0800a268,48,wireless_pairing_ex,0x08008598,48,2.20,match; callgraph 1/1; opsim=1.00,,wireless.o,1.000
0x0800a298,68,wireless_connect,0x080085c8,68,2.20,match; entry=bl; callgraph 4/5; opsim=1.00,,wireless.o,1.000
0x0800a2dc,96,wireless_send_keyboard,0x0800860c,96,2.20,match; entry=ptr; callgraph 2/3; opsim=1.00,,wireless.o,1.000
0x0800a33c,100,wireless_send_nkro,0x0800866c,96,2.08,match; entry=ptr; callgraph 2/3; opsim=0.94,,wireless.o,0.944
0x0800a3a0,52,wireless_send_mouse,0x080086cc,52,2.20,match; entry=ptr; callgraph 1/1; opsim=1.00,,wireless.o,1.000
0x0800a3d4,72,wireless_connect_ex,0x08008700,72,2.20,match; entry=bl; callgraph 2/2; opsim=1.00,,wireless.o,1.000
0x0800a41c,16,wireless_disconnect,0x08008748,16,1.90,match; entry=bl; callgraph 4/4; opsim=1.00,,wireless.o,1.000
0x0800a42c,2,wireless_enter_discoverable_kb,0x08008758,2,1.90,match; entry=bl; callgraph 1/1; opsim=1.00,,wireless.o,1.000
0x0800a42e,2,wireless_enter_reconnecting_kb,0x0800875a,2,1.90,match; entry=bl; callgraph 1/1; opsim=1.00,,wireless.o,1.000
0x0800a430,2,wireless_enter_connected_kb,0x0800875c,2,1.90,match; entry=bl; callgraph 1/1; opsim=1.00,,wireless.o,1.000
0x0800a432,2,wireless_enter_bluetooth_pin_code_entry_kb,0x0800875e,2,1.90,match; entry=bl; callgraph 1/1; opsim=1.00,,wireless.o,1.000
0x0800a434,2,wireless_exit_bluetooth_pin_code_entry_kb,0x08008760,2,1.90,match; entry=bl; callgraph 1/1; opsim=1.00,,wireless.o,1.000
0x0800a436,2,wireless_enter_sleep_kb,0x08008762,2,1.90,match; entry=bl; callgraph 1/1; opsim=1.00,,wireless.o,1.000
0x0800a438,32,wireless_send_system,0x08008764,32,1.90,match; opsim=1.00,,wireless.o,1.000
0x0800a458,88,wireless_send_consumer,0x08008784,88,2.20,match; callgraph 3/3; opsim=1.00,,wireless.o,1.000
0x0800a4b0,56,wireless_send_extra,0x080087dc,54,2.09,match; entry=ptr; callgraph 1/1; opsim=0.98,,wireless.o,0.976
0x0800a4e8,136,wireless_low_battery_shutdown,0x08008814,136,2.80,match; callgraph 6/6; opsim=1.00,,wireless.o,1.000
0x0800a570,484,wireless_event_task,0x0800889c,484,2.20,match; entry=bl; callgraph 21/21; opsim=0.98,,wireless.o,0.981
0x0800a754,40,wireless_task,0x08008a80,40,2.20,match; entry=bl; callgraph 6/6; opsim=1.00,,wireless.o,1.000
0x0800a77c,12,wireless_get_state,0x08008ad4,12,1.90,match; entry=bl; callgraph 5/5; opsim=1.00,,wireless.o,1.000
0x0800a788,68,process_record_wireless,0x08008ae0,68,2.20,match; entry=bl; callgraph 6/6; opsim=1.00,,wireless.o,1.000
0x0800a7cc,60,report_buffer_init,0x08008b24,60,2.50,match; entry=bl; callgraph 5/5; opsim=1.00,,report_buffer.o,1.000
0x0800a808,56,report_buffer_enqueue,0x08008b60,56,2.20,match; entry=bl; callgraph 3/4; opsim=1.00,,report_buffer.o,1.000
0x0800a840,52,report_buffer_dequeue,0x08008b98,52,2.20,match; entry=bl; callgraph 1/2; opsim=1.00,,report_buffer.o,1.000
0x0800a874,24,report_buffer_is_empty,0x08008bcc,24,1.90,match; entry=bl; callgraph 2/2; opsim=1.00,,report_buffer.o,1.000
0x0800a88c,16,report_buffer_update_timer,0x08008be4,16,2.20,match; callgraph 1/1; opsim=1.00,,report_buffer.o,1.000
0x0800a89c,32,report_buffer_next_inverval,0x08008bf4,32,2.20,match; entry=bl; callgraph 3/3; opsim=1.00,,report_buffer.o,1.000
0x0800a8bc,12,report_buffer_set_inverval,0x08008c14,12,1.90,match; entry=bl; callgraph 2/2; opsim=1.00,,report_buffer.o,1.000
0x0800a8c8,12,report_buffer_set_retry,0x08008c20,12,1.90,match; entry=bl; callgraph 1/1; opsim=1.00,,report_buffer.o,1.000
0x0800a8d4,184,report_buffer_task,0x08008c2c,184,2.20,match; entry=bl; callgraph 7/7; opsim=1.00,,report_buffer.o,1.000
0x0800a98c,148,lkbt51_init,0x08008ce4,148,4.50,"match; entry=bl,ptr; callgraph 4/4; opsim=0.82",,lkbt51.o,0.824
0x0800aa20,68,lkbt51_wake,0x08008d78,68,4.80,match; entry=bl; callgraph 7/7; opsim=1.00,,lkbt51.o,1.000
0x0800aa64,216,lkbt51_send_cmd,0x08008dbc,212,3.94,match; callgraph 4/5; opsim=0.95,,lkbt51.o,0.947
0x0800ab3c,52,lkbt51_send_keyboard,0x08008e90,56,1.49,match; entry=ptr; callgraph 0/1; opsim=0.68,,lkbt51.o,0.684
0x0800ab70,52,lkbt51_send_nkro,0x08008ec8,56,1.49,match; entry=ptr; callgraph 0/1; opsim=0.68,,lkbt51.o,0.684
0x0800aba4,56,lkbt51_send_consumer,0x08008f00,52,1.49,match; entry=ptr; opsim=0.84,,lkbt51.o,0.842
0x0800abdc,64,lkbt51_send_system,0x08008f34,64,1.70,match; entry=ptr; opsim=0.79,,lkbt51.o,0.792
0x0800ac1c,76,lkbt51_send_mouse,0x08008f74,76,1.70,match; entry=ptr; opsim=0.93,,lkbt51.o,0.931
0x0800ac68,132,lkbt51_become_discoverable,0x08008fc0,132,3.70,match; entry=ptr; callgraph 1/2; opsim=0.89,,lkbt51.o,0.893
0x0800acec,64,lkbt51_connect,0x08009044,64,1.70,match; entry=ptr; callgraph 1/1; opsim=0.91,,lkbt51.o,0.909
0x0800ad2c,68,lkbt51_disconnect,0x08009084,72,2.13,match; entry=ptr; callgraph 2/2; opsim=0.71,,lkbt51.o,0.714
0x0800ad70,48,lkbt51_update_bat_lvl,0x080090cc,48,1.70,match; entry=ptr; opsim=0.82,,lkbt51.o,0.824
0x0800ada0,88,lkbt51_read,0x080090fc,84,3.86,match; entry=bl; callgraph 6/6; opsim=0.80,,lkbt51.o,0.800
0x0800adf8,40,lkbt51_send_conn_evt_ack,0x08009150,40,2.20,match; entry=bl; callgraph 1/1; opsim=0.79,,lkbt51.o,0.786
0x0800ae20,56,lkbt51_read_state_reg,0x08009178,52,1.49,match; opsim=0.84,,lkbt51.o,0.842
0x0800ae58,48,lkbt51_update_bat_state,0x080091ac,48,1.70,match; entry=bl; callgraph 1/1; opsim=0.82,,lkbt51.o,0.824
0x0800ae88,52,lkbt51_set_param,0x080091dc,56,1.49,match; entry=bl; callgraph 1/2; opsim=0.53,,lkbt51.o,0.526
0x0800aebc,60,lkbt51_set_local_name,0x08009214,64,2.01,match; entry=bl; callgraph 1/2; opsim=0.73,,lkbt51.o,0.727
0x0800aef8,52,lkbt51_factory_reset,0x08009254,52,1.70,match; entry=bl; callgraph 2/2; opsim=0.89,,lkbt51.o,0.889
0x0800af2c,48,lkbt51_int_pin_test,0x08009288,48,1.70,match; opsim=0.82,,lkbt51.o,0.824
0x0800af5c,48,lkbt51_radio_test,0x080092b8,48,1.70,match; opsim=0.82,,lkbt51.o,0.824
0x0800af8c,124,lkbt51_dfu_tx,0x080092e8,124,2.50,match; entry=bl; callgraph 2/3; opsim=1.00,,lkbt51.o,1.000
0x0800b008,648,lkbt51_task,0x08009364,652,4.78,match; entry=ptr; callgraph 7/8; opsim=0.93,,lkbt51.o,0.932
0x0800b290,152,lkbt51_dfu_rx,0x080095f0,156,2.12,match; entry=bl; callgraph 2/2; opsim=0.96,,lkbt51.o,0.960
0x0800b328,44,indicator_init,0x0800968c,44,4.50,match; entry=bl; callgraph 3/3; opsim=0.79,,indicator.o,0.786
0x0800b354,18,indicator_enable,0x080096b8,18,2.20,match; entry=bl; callgraph 3/3; opsim=1.00,,indicator.o,1.000
0x0800b366,4,indicator_disable,0x080096ca,4,1.90,match; entry=bl; callgraph 1/1; opsim=1.00,,indicator.o,1.000
0x0800b36a,14,indicator_is_enabled,0x080096ce,14,2.20,match; entry=bl; callgraph 3/3; opsim=1.00,,indicator.o,1.000
0x0800b378,36,indicator_eeconfig_reload,0x080096dc,36,2.20,match; entry=bl; callgraph 5/5; opsim=1.00,,indicator.o,1.000
0x0800b39c,40,indicator_is_running,0x08009700,44,1.63,match; entry=bl; callgraph 2/2; opsim=0.73,,indicator.o,0.733
0x0800b3c4,40,indicator_stop,0x0800972c,40,2.20,match; entry=bl; callgraph 4/4; opsim=1.00,,indicator.o,1.000
0x0800b3ec,52,indicator_battery_low_enable,0x08009754,52,4.50,match; entry=bl; callgraph 6/6; opsim=1.00,,indicator.o,1.000
0x0800b420,116,indicator_battery_low_backlit_enable,0x08009788,128,2.22,match; entry=bl; callgraph 8/8; opsim=0.73,,indicator.o,0.733
0x0800b494,48,os_state_indicate,0x08009808,48,2.20,match; entry=bl; callgraph 5/5; opsim=1.00,,indicator.o,1.000
0x0800b4c4,268,rgb_matrix_indicators_bt,0x08009838,276,3.11,match; entry=bl; callgraph 11/11; opsim=0.88,,indicator.o,0.883
0x0800b5d0,220,indicator_timer_cb,0x0800994c,220,2.20,match; entry=bl; callgraph 6/6; opsim=0.92,,indicator.o,0.920
0x0800b6ac,340,indicator_set,0x08009a28,340,7.30,match; entry=bl; callgraph 10/10; opsim=1.00,,indicator.o,1.000
0x0800b800,28,rgb_matrix_none_indicators_kb,0x08009b7c,28,2.20,match; entry=bl; callgraph 3/3; opsim=1.00,,indicator.o,1.000
0x0800b81c,16,rgb_matrix_driver_allow_shutdown,0x08009b98,16,2.20,match; entry=bl; callgraph 4/4; opsim=1.00,,indicator.o,1.000
0x0800b82c,176,indicator_battery_low,0x08009ba8,176,4.80,match; callgraph 3/3; opsim=0.95,,indicator.o,0.948
0x0800b8dc,64,indicator_task,0x08009c58,64,2.20,match; entry=bl; callgraph 5/5; opsim=1.00,,indicator.o,1.000
0x0800b91c,84,led_update_kb,0x08009c98,84,1.90,match; entry=bl; callgraph 11/11; opsim=1.00,,indicator.o,1.000
0x0800b970,2,wireless_post_task,0x08009cec,2,1.90,match; entry=bl; callgraph 1/1; opsim=1.00,,wireless_main.o,1.000
0x0800b972,30,wireless_tasks,0x08009cee,30,2.20,match; entry=bl; callgraph 6/6; opsim=1.00,,wireless_main.o,1.000
0x0800b990,104,bt_transport_enable,0x08009d0c,104,2.20,match; entry=bl; callgraph 7/7; opsim=1.00,,transport.o,1.000
0x0800b9f8,104,p24g_transport_enable,0x08009d74,104,2.20,match; entry=bl; callgraph 7/7; opsim=1.00,,transport.o,1.000
0x0800ba60,60,usb_transport_enable,0x08009ddc,60,2.20,match; entry=bl; callgraph 2/2; opsim=0.93,,transport.o,0.930
0x0800ba9c,280,set_transport,0x08009e18,268,2.67,match; callgraph 14/14; opsim=0.92,,transport.o,0.923
0x0800bbb4,12,get_transport,0x08009f24,12,1.90,match; entry=bl; callgraph 13/13; opsim=1.00,,transport.o,1.000
0x0800bbc0,112,usb_remote_wakeup,0x08009f30,112,2.80,match; entry=bl; callgraph 9/9; opsim=1.00,,transport.o,1.000
0x0800bc30,64,select_all_cols,0x08009fa0,60,2.01,match; entry=bl; callgraph 2/2; opsim=0.90,,lpm.o,0.905
0x0800bc70,28,lpm_timer_reset,0x08009fdc,28,2.20,match; entry=bl; callgraph 7/7; opsim=1.00,,lpm.o,1.000
0x0800bc8c,24,lpm_init,0x08009ff8,24,4.20,match; entry=bl; callgraph 2/2; opsim=1.00,,lpm.o,1.000
0x0800bca4,20,lpm_timer_stop,0x0800a010,20,1.90,match; entry=bl; callgraph 1/1; opsim=1.00,,lpm.o,1.000
0x0800bcb8,16,usb_power_connected,0x0800a024,16,3.90,match; entry=bl; callgraph 4/4; opsim=1.00,,lpm.o,1.000
0x0800bcc8,260,pre_enter_low_power_mode,0x0800a034,260,4.80,match; entry=bl; callgraph 8/8; opsim=1.00,,lpm.o,1.000
0x0800bdcc,456,lpm_task,0x0800a138,456,4.80,match; callgraph 23/23; opsim=1.00,,lpm.o,1.000
0x0800bf94,96,lpm_set,0x0800a300,96,3.90,match; entry=bl; callgraph 2/2; opsim=0.97,,lpm_stm32f401.o,0.973
0x0800bff4,100,enter_power_mode,0x0800a360,100,4.20,match; entry=bl; callgraph 3/3; opsim=1.00,,lpm_stm32f401.o,1.000
0x0800c058,16,battery_init,0x0800a3c4,16,4.20,match; entry=bl; callgraph 2/2; opsim=1.00,,battery.o,1.000
0x0800c068,2,battery_stop,0x0800a3d4,2,1.90,match; entry=bl; callgraph 1/1; opsim=1.00,,battery.o,1.000
0x0800c06a,10,battery_measure,0x0800a3d6,8,1.30,match; entry=bl; callgraph 1/1; opsim=0.86,,battery.o,0.857
0x0800c074,120,battery_calculate_voltage,0x0800a3e0,112,2.60,match; entry=bl; callgraph 2/2; opsim=0.93,,battery.o,0.925
0x0800c0ec,88,battery_get_percentage,0x0800a450,80,2.23,match; entry=bl; callgraph 2/2; opsim=0.85,,battery.o,0.852
0x0800c144,20,battery_is_empty,0x0800a4a0,20,1.90,match; entry=bl; callgraph 3/3; opsim=1.00,,battery.o,1.000
0x0800c158,20,battery_is_critical_low,0x0800a4b4,20,1.90,match; entry=bl; callgraph 9/9; opsim=1.00,,battery.o,1.000
0x0800c16c,64,battery_check_empty,0x0800a4c8,64,2.50,match; entry=bl; callgraph 3/3; opsim=1.00,,battery.o,1.000
0x0800c1ac,52,battery_check_critical_low,0x0800a508,52,2.20,match; entry=bl; callgraph 1/1; opsim=1.00,,battery.o,1.000
0x0800c1e0,204,battery_task,0x0800a53c,204,4.50,match; entry=bl; callgraph 13/13; opsim=0.97,,battery.o,0.972
0x0800c2ac,88,bat_level_animiation_start,0x0800a608,88,2.20,match; entry=bl; callgraph 3/3; opsim=1.00,,bat_level_animation.o,1.000
0x0800c304,16,bat_level_animiation_actived,0x0800a660,16,1.90,match; entry=bl; callgraph 1/1; opsim=1.00,,bat_level_animation.o,1.000
0x0800c314,124,bat_level_animiation_indicate,0x0800a670,124,3.70,match; entry=bl; callgraph 2/3; opsim=1.00,,bat_level_animation.o,1.000
0x0800c390,172,bat_level_animiation_update,0x0800a6ec,172,2.50,match; callgraph 5/5; opsim=1.00,,bat_level_animation.o,1.000
0x0800c43c,48,bat_level_animiation_task,0x0800a798,48,2.20,match; entry=bl; callgraph 2/2; opsim=1.00,,bat_level_animation.o,1.000
0x0800c46c,28,rtc_timer_clear,0x0800a7c8,24,1.77,match; entry=bl; callgraph 2/2; opsim=0.82,,rtc_timer.o,0.824
0x0800c488,4,rtc_timer_init,0x0800a7e0,4,1.90,match; opsim=1.00,,rtc_timer.o,1.000
0x0800c48c,28,rtc_timer_read_ms,0x0800a7e4,24,1.77,match; entry=bl; callgraph 4/4; opsim=0.82,,rtc_timer.o,0.824
0x0800c4a8,12,rtc_timer_elapsed_ms,0x0800a7fc,12,2.20,match; entry=bl; callgraph 2/2; opsim=1.00,,rtc_timer.o,1.000
0x0800c4b4,152,process_record_keychron_wireless,0x0800a808,152,2.80,match; callgraph 6/6; opsim=0.98,,keychron_wireless_common.o,0.983
0x0800c54c,72,lkbt51_param_init,0x0800a8a0,68,4.13,match; entry=bl; callgraph 4/4; opsim=0.92,,keychron_wireless_common.o,0.919
0x0800c594,4,wireless_enter_reset_kb,0x0800a8e4,4,1.90,match; entry=bl; callgraph 1/1; opsim=1.00,,keychron_wireless_common.o,1.000
0x0800c598,44,wireless_enter_disconnected_kb,0x0800a8e8,44,2.50,match; entry=bl; callgraph 4/5; opsim=1.00,,keychron_wireless_common.o,1.000
0x0800c5c4,40,keychron_wireless_common_task,0x0800a914,40,2.50,match; entry=bl; callgraph 2/2; opsim=1.00,,keychron_wireless_common.o,1.000
0x0800c5ec,176,wireless_pre_task,0x0800a93c,176,4.20,match; entry=bl; callgraph 4/4; opsim=0.99,,keychron_wireless_common.o,0.985
0x0800c69c,4,process_record_keychron_kb,0x0800a9ec,4,1.90,match; entry=bl; callgraph 1/1; opsim=1.00,,keychron_task.o,1.000
0x0800c6a0,38,process_record_keychron,0x0800a9f0,32,1.73,match; callgraph 3/3; opsim=0.69,,keychron_task.o,0.690
0x0800c6c6,14,rgb_matrix_indicators_keychron,0x0800aa10,14,2.20,match; entry=bl; callgraph 2/3; opsim=1.00,,keychron_task.o,1.000
0x0800c6d4,20,keychron_task,0x0800aa1e,20,2.20,match; callgraph 4/4; opsim=1.00,,keychron_task.o,1.000
0x0800c6e8,26,process_record_kb,0x0800aa32,26,2.20,match; entry=bl; callgraph 1/1; opsim=1.00,,keychron_task.o,1.000
0x0800c702,18,rgb_matrix_indicators_kb,0x0800aa4c,18,1.70,match; entry=bl; callgraph 2/3; opsim=0.62,,keychron_task.o,0.615
0x0800c714,4,housekeeping_task_kb,0x0800aa5e,4,1.90,match; entry=bl; callgraph 1/1; opsim=1.00,,keychron_task.o,1.000
0x0800c718,8,encoder0_pad_cb,0x0800aa62,6,1.15,match; entry=ptr; opsim=0.80,,keychron_common.o,0.800
0x0800c720,188,process_record_keychron_common,0x0800aa68,188,3.70,match; entry=bl; callgraph 3/3; opsim=1.00,,keychron_common.o,1.000
0x0800c7dc,52,keychron_common_task,0x0800ab24,52,2.50,match; entry=bl; callgraph 3/3; opsim=1.00,,keychron_common.o,1.000
