entry,size,name,n_callers,n_callees,is_thunk,signature,strings
0x0800D55A,22,FUN_0800d55a,1,3,0,"undefined FUN_0800d55a(int param_1, int param_2)",
0x0800D570,140,register_code,4,9,0,"undefined register_code(uint param_1)",
0x0800D600,114,unregister_code,5,7,0,"undefined unregister_code(uint param_1, undefined4 param_2)",
0x0800D672,18,FUN_0800d672,1,2,0,"undefined FUN_0800d672(int param_1)",
0x0800D684,18,FUN_0800d684,2,2,0,"undefined FUN_0800d684(int param_1)",
0x0800D698,1010,FUN_0800d698,1,40,0,"undefined FUN_0800d698(uint * param_1, uint param_2)",
0x0800DAB4,34,FUN_0800dab4,1,4,0,"undefined FUN_0800dab4(uint * param_1)",
0x0800DAD8,56,FUN_0800dad8,3,5,0,"undefined FUN_0800dad8(uint * param_1)",
0x0800DB14,34,FUN_0800db14,1,6,0,"undefined FUN_0800db14(void)",
0x0800DB36,14,FUN_0800db36,1,2,0,"undefined FUN_0800db36(void)",
0x0800DB44,14,FUN_0800db44,6,2,0,"undefined FUN_0800db44(void)",
0x0800DB94,90,FUN_0800db94,1,1,0,"bool FUN_0800db94(undefined2 * param_1, undefined4 param_2)",
0x0800DBAC,12,FUN_0800dbac,1,0,0,"undefined FUN_0800dbac(void)",
0x0800DBB8,12,FUN_0800dbb8,3,0,0,"undefined FUN_0800dbb8(void)",
0x0800DBC4,2,FUN_0800dbc4,1,0,0,"undefined FUN_0800dbc4(void)",
0x0800DBC6,8,FUN_0800dbc6,1,1,0,"undefined FUN_0800dbc6(void)",
0x0800DBD0,12,FUN_0800dbd0,3,1,0,"undefined FUN_0800dbd0(void)",
0x0800DBE0,2,FUN_0800dbe0,1,0,0,"undefined FUN_0800dbe0(void)",
0x0800DBE2,4,thunk_FUN_0800dbd0,5,0,1,"undefined thunk_FUN_0800dbd0(void)",
0x0800DBE8,10,FUN_0800dbe8,1,1,0,"undefined FUN_0800dbe8(void)",
0x0800DBF8,10,FUN_0800dbf8,1,1,0,"undefined FUN_0800dbf8(void)",
0x0800DC08,10,FUN_0800dc08,1,1,0,"undefined FUN_0800dc08(void)",
0x0800DC18,2,FUN_0800dc18,1,0,0,"undefined FUN_0800dc18(void)",
0x0800DC1A,8,FUN_0800dc1a,2,1,0,"undefined FUN_0800dc1a(void)",
0x0800DC24,12,FUN_0800dc24,9,1,0,"undefined FUN_0800dc24(void)",
0x0800DC34,6,FUN_0800dc34,3,1,0,"undefined FUN_0800dc34(void)",
0x0800DC3C,24,FUN_0800dc3c,2,0,0,"uint FUN_0800dc3c(uint param_1)",
0x0800DC58,12,FUN_0800dc58,3,1,0,"undefined FUN_0800dc58(void)",
0x0800DC64,18,FUN_0800dc64,3,1,0,"undefined FUN_0800dc64(void)",
0x0800DC7C,16,FUN_0800dc7c,2,1,0,"undefined FUN_0800dc7c(void)",
0x0800DC90,18,FUN_0800dc90,1,1,0,"undefined FUN_0800dc90(void)",
0x0800DCA8,10,FUN_0800dca8,1,1,0,"undefined FUN_0800dca8(void)",
0x0800DCB8,10,FUN_0800dcb8,1,1,0,"undefined FUN_0800dcb8(void)",
0x0800DCC8,10,FUN_0800dcc8,1,1,0,"undefined FUN_0800dcc8(void)",
0x0800DCD8,2,FUN_0800dcd8,1,0,0,"undefined FUN_0800dcd8(void)",
0x0800DD0C,38,FUN_0800dd0c,1,0,0,"uint FUN_0800dd0c(uint param_1, int param_2)",
0x0800DD34,110,update_source_layers_cache,2,0,0,"undefined update_source_layers_cache(uint param_1, uint param_2)",
0x0800DD78,52,read_source_layers_cache,2,1,0,"uint read_source_layers_cache(uint param_1)",
0x0800DDB4,58,layer_switch_get_layer,3,1,0,"uint layer_switch_get_layer(undefined2 param_1, undefined4 param_2)",
0x0800DDF8,24,FUN_0800ddf8,4,2,0,"undefined FUN_0800ddf8(undefined2 param_1, undefined4 param_2)",
0x0800DE10,66,FUN_0800de10,1,5,0,"undefined FUN_0800de10(int param_1, uint param_2)",
0x0800DE58,52,FUN_0800de58,2,1,0,"undefined FUN_0800de58(void)",
0x0800DE98,28,FUN_0800de98,1,1,0,"undefined FUN_0800de98(void)",
0x0800DEB8,56,FUN_0800deb8,1,0,0,"undefined4 FUN_0800deb8(uint param_1, uint param_2, uint param_3)",
0x0800DEFC,4,FUN_0800defc,3,0,0,"undefined4 FUN_0800defc(void)",
0x0800DF00,132,FUN_0800df00,1,4,0,"undefined FUN_0800df00(void)",
0x0800DF94,644,FUN_0800df94,1,12,0,"char FUN_0800df94(uint * param_1)",
0x0800E21C,178,FUN_0800e21c,1,6,0,"undefined FUN_0800e21c(uint param_1, undefined4 param_2)",
0x0800E2E0,8,FUN_0800e2e0,1,0,0,"byte FUN_0800e2e0(void)",
0x0800E2EC,10,FUN_0800e2ec,1,0,0,"byte FUN_0800e2ec(void)",
0x0800E2FC,14,FUN_0800e2fc,2,0,0,"byte FUN_0800e2fc(void)",
0x0800E310,6,FUN_0800e310,4,0,0,"undefined1 FUN_0800e310(void)",
0x0800E31C,10,FUN_0800e31c,4,0,0,"undefined FUN_0800e31c(byte param_1)",
0x0800E32C,12,FUN_0800e32c,4,0,0,"undefined FUN_0800e32c(byte param_1)",
0x0800E33C,8,FUN_0800e33c,2,0,0,"undefined FUN_0800e33c(void)",
0x0800E348,6,FUN_0800e348,1,0,0,"undefined1 FUN_0800e348(void)",
0x0800E354,10,FUN_0800e354,2,0,0,"undefined FUN_0800e354(byte param_1)",
0x0800E364,12,FUN_0800e364,2,0,0,"undefined FUN_0800e364(byte param_1)",
0x0800E374,8,FUN_0800e374,4,0,0,"undefined FUN_0800e374(void)",
0x0800E380,6,FUN_0800e380,2,0,0,"undefined1 FUN_0800e380(void)",
0x0800E38C,8,FUN_0800e38c,3,1,0,"undefined FUN_0800e38c(uint param_1)",
0x0800E394,22,FUN_0800e394,1,1,0,"undefined FUN_0800e394(uint param_1)",
0x0800E3B0,18,FUN_0800e3b0,1,1,0,"undefined FUN_0800e3b0(void)",
0x0800E3C8,22,FUN_0800e3c8,1,1,0,"undefined FUN_0800e3c8(uint param_1)",
0x0800E3E4,8,FUN_0800e3e4,3,1,0,"undefined FUN_0800e3e4(uint param_1)",
0x0800E3EC,22,FUN_0800e3ec,1,1,0,"undefined FUN_0800e3ec(uint param_1)",
0x0800E408,22,FUN_0800e408,1,1,0,"undefined FUN_0800e408(uint param_1)",
0x0800E424,18,FUN_0800e424,2,1,0,"undefined FUN_0800e424(void)",
0x0800E43C,34,FUN_0800e43c,2,2,0,"byte FUN_0800e43c(void)",
0x0800E46C,48,FUN_0800e46c,1,4,0,"undefined FUN_0800e46c(void)",
0x0800E4A4,48,FUN_0800e4a4,1,4,0,"undefined FUN_0800e4a4(void)",
0x0800E4DC,24,FUN_0800e4dc,9,2,0,"undefined FUN_0800e4dc(void)",
0x0800E4FC,8,FUN_0800e4fc,2,1,0,"undefined FUN_0800e4fc(int param_1)",
0x0800E504,40,FUN_0800e504,2,2,0,"undefined FUN_0800e504(char param_1, byte param_2)",
0x0800E534,14,FUN_0800e534,2,1,0,"undefined FUN_0800e534(void)",
0x0800E548,44,FUN_0800e548,4,2,0,"undefined FUN_0800e548(byte param_1)",
0x0800E57C,38,FUN_0800e57c,3,2,0,"undefined FUN_0800e57c(uint param_1)",
0x0800E5A8,20,FUN_0800e5a8,1,1,0,"undefined FUN_0800e5a8(void)",
0x0800E5C0,6,FUN_0800e5c0,1,1,0,"undefined FUN_0800e5c0(void)",
0x0800E5C6,6,FUN_0800e5c6,1,1,0,"undefined FUN_0800e5c6(void)",
0x0800E5CC,20,FUN_0800e5cc,1,2,0,"undefined FUN_0800e5cc(void)",
0x0800E5E0,20,FUN_0800e5e0,2,1,0,"bool FUN_0800e5e0(undefined4 param_1, ushort param_2, undefined4 param_3)",
0x0800E5F4,6,FUN_0800e5f4,1,1,0,"undefined1 FUN_0800e5f4(undefined4 param_1, uint3 param_2, undefined4 param_3)",
0x0800E5FA,6,FUN_0800e5fa,1,1,0,"undefined1 FUN_0800e5fa(undefined4 param_1, uint3 param_2, undefined4 param_3)",
0x0800E600,6,FUN_0800e600,3,1,0,"undefined2 FUN_0800e600(undefined4 param_1, ushort param_2, undefined4 param_3)",
0x0800E606,8,FUN_0800e606,1,1,0,"undefined FUN_0800e606(uint param_1, undefined4 param_2, undefined4 param_3, undefined4 param_4)",
0x0800E60E,8,FUN_0800e60e,1,1,0,"undefined FUN_0800e60e(int param_1, undefined4 param_2, undefined4 param_3, undefined4 param_4)",
0x0800E61E,14,FUN_0800e61e,1,1,0,"undefined FUN_0800e61e(undefined4 param_1, undefined4 param_2, undefined4 param_3, undefined4 param_4)",
0x0800E624,14,FUN_0800e624,1,2,0,"undefined FUN_0800e624(undefined4 param_1, undefined4 param_2, undefined4 param_3, undefined4 param_4)",
0x0800E634,138,FUN_0800e634,0,6,0,"undefined FUN_0800e634(int param_1, undefined4 param_2, undefined4 param_3)",
0x0800E6C4,4,thunk_FUN_0800e634,3,0,1,"undefined thunk_FUN_0800e634(int param_1, undefined4 param_2, undefined4 param_3)",
0x0800E6C8,50,FUN_0800e6c8,1,2,0,"undefined FUN_0800e6c8(undefined4 param_1, uint param_2)",
0x0800E700,16,FUN_0800e700,1,1,0,"undefined FUN_0800e700(void)",
0x0800E718,16,FUN_0800e718,1,1,0,"undefined FUN_0800e718(void)",
0x0800E730,2,FUN_0800e730,1,0,0,"undefined FUN_0800e730(void)",
0x0800E732,2,FUN_0800e732,1,0,0,"undefined FUN_0800e732(void)",
0x0800E734,8,FUN_0800e734,1,1,0,"undefined FUN_0800e734(void)",
0x0800E73C,4,FUN_0800e73c,1,0,0,"undefined4 FUN_0800e73c(void)",
0x0800E740,22,FUN_0800e740,1,4,0,"undefined FUN_0800e740(void)",
0x0800E75C,4,FUN_0800e75c,2,0,0,"undefined4 FUN_0800e75c(void)",
0x0800E760,8,FUN_0800e760,1,1,0,"undefined FUN_0800e760(void)",
0x0800E768,2,FUN_0800e768,1,0,0,"undefined FUN_0800e768(void)",
0x0800E76A,12,FUN_0800e76a,1,2,0,"undefined FUN_0800e76a(void)",
0x0800E776,18,FUN_0800e776,1,3,0,"undefined FUN_0800e776(undefined4 param_1, ushort param_2, undefined4 param_3)",
0x0800E788,28,FUN_0800e788,1,6,0,"undefined FUN_0800e788(void)",
0x0800E7A4,20,FUN_0800e7a4,1,3,0,"undefined FUN_0800e7a4(void)",
0x0800E7B8,240,FUN_0800e7b8,1,16,0,"undefined FUN_0800e7b8(void)",
0x0800E8B0,432,FUN_0800e8b0,1,2,0,"uint FUN_0800e8b0(uint param_1)",
0x0800EA64,58,keymap_key_to_keycode,2,2,0,"ushort keymap_key_to_keycode(uint param_1, uint param_2)",
0x0800EA9E,22,FUN_0800ea9e,3,2,0,"uint FUN_0800ea9e(uint param_1, uint param_2)",
0x0800EAB4,250,FUN_0800eab4,1,0,0,"uint FUN_0800eab4(uint param_1)",
0x0800EBBC,190,FUN_0800ebbc,1,0,0,"uint FUN_0800ebbc(uint param_1)",
0x0800EC80,4,FUN_0800ec80,0,0,0,"undefined4 FUN_0800ec80(void)",
0x0800EC84,4,FUN_0800ec84,0,0,0,"undefined4 FUN_0800ec84(void)",
0x0800EC88,6,FUN_0800ec88,1,0,0,"undefined FUN_0800ec88(undefined4 param_1)",
0x0800EC94,4,thunk_FUN_0800e5cc,1,0,1,"undefined thunk_FUN_0800e5cc(void)",
0x0800EC98,42,FUN_0800ec98,1,5,0,"undefined FUN_0800ec98(void)",
0x0800ECC2,8,FUN_0800ecc2,1,1,0,"undefined FUN_0800ecc2(void)",
0x0800ECCC,52,FUN_0800eccc,1,8,0,"undefined FUN_0800eccc(undefined4 param_1, ushort param_2, undefined4 param_3)",
0x0800ED0C,2,FUN_0800ed0c,1,0,0,"undefined FUN_0800ed0c(void)",
0x0800ED0E,8,FUN_0800ed0e,1,1,0,"undefined FUN_0800ed0e(void)",
0x0800ED16,2,FUN_0800ed16,1,0,0,"undefined FUN_0800ed16(void)",
0x0800ED18,8,FUN_0800ed18,1,1,0,"undefined FUN_0800ed18(void)",
0x0800ED20,8,FUN_0800ed20,3,0,0,"undefined4 FUN_0800ed20(int param_1)",
0x0800ED2C,2,FUN_0800ed2c,1,0,0,"undefined FUN_0800ed2c(void)",
0x0800ED2E,8,FUN_0800ed2e,1,1,0,"undefined FUN_0800ed2e(void)",
0x0800ED36,26,FUN_0800ed36,1,0,0,"undefined FUN_0800ed36(void)",
0x0800ED50,8,FUN_0800ed50,1,1,0,"undefined FUN_0800ed50(void)",
0x0800ED58,34,FUN_0800ed58,2,1,0,"undefined FUN_0800ed58(uint param_1)",
0x0800ED7C,52,FUN_0800ed7c,1,1,0,"undefined FUN_0800ed7c(void)",
0x0800EDB8,152,FUN_0800edb8,1,4,0,"undefined FUN_0800edb8(int param_1, int param_2, uint param_3)",
0x0800EE58,42,FUN_0800ee58,2,4,0,"undefined FUN_0800ee58(void)",
0x0800EE8C,98,FUN_0800ee8c,3,5,0,"undefined1 FUN_0800ee8c(void)",
0x0800EEF8,30,FUN_0800eef8,1,2,0,"undefined FUN_0800eef8(int param_1)",
0x0800EF1C,16,FUN_0800ef1c,1,1,0,"undefined FUN_0800ef1c(void)",
0x0800EF30,284,FUN_0800ef30,1,1,0,"undefined1 FUN_0800ef30(int param_1, int param_2, uint param_3, int param_4)",
0x0800F060,26,FUN_0800f060,1,3,0,"undefined FUN_0800f060(void)",
0x0800F072,18,FUN_0800f072,1,3,0,"undefined FUN_0800f072(void)",
0x0800F084,28,FUN_0800f084,1,6,0,"undefined FUN_0800f084(void)",
0x0800F0A0,30,FUN_0800f0a0,3,1,0,"undefined1 FUN_0800f0a0(int param_1, uint3 param_2, undefined4 param_3)",
0x0800F0BE,30,FUN_0800f0be,3,1,0,"undefined2 FUN_0800f0be(int param_1, ushort param_2, undefined4 param_3)",
0x0800F0DC,26,FUN_0800f0dc,1,1,0,"undefined4 FUN_0800f0dc(int param_1, undefined4 param_2, undefined4 param_3)",
0x0800F0F6,24,FUN_0800f0f6,1,1,0,"undefined FUN_0800f0f6(uint param_1, undefined4 param_2, undefined4 param_3)",
0x0800F10E,24,FUN_0800f10e,1,1,0,"undefined FUN_0800f10e(uint param_1, undefined4 param_2, undefined4 param_3)",
0x0800F126,22,FUN_0800f126,1,1,0,"undefined FUN_0800f126(uint param_1, int param_2, undefined4 param_3)",
0x0800F13C,52,FUN_0800f13c,2,3,0,"undefined FUN_0800f13c(int * param_1, uint param_2, uint param_3, int param_4)",
0x0800F170,28,FUN_0800f170,1,2,0,"undefined FUN_0800f170(uint param_1, uint param_2, undefined4 param_3)",
0x0800F18C,28,FUN_0800f18c,3,2,0,"undefined FUN_0800f18c(int param_1, uint param_2, undefined4 param_3, undefined4 param_4)",
0x0800F1A8,28,FUN_0800f1a8,3,2,0,"undefined FUN_0800f1a8(int param_1, int param_2, undefined4 param_3, undefined4 param_4)",
0x0800F1C4,4,thunk_FUN_0800f460,1,0,1,"int thunk_FUN_0800f460(undefined4 param_1, uint param_2, uint param_3, uint param_4)",
0x0800F1C8,4,thunk_FUN_0800f244,2,0,1,"uint thunk_FUN_0800f244(void)",
0x0800F1CC,10,FUN_0800f1cc,6,1,0,"bool FUN_0800f1cc(undefined4 * param_1, int param_2, uint param_3)",
0x0800F1D6,206,FUN_0800f1d6,4,6,0,"uint FUN_0800f1d6(int * param_1, uint param_2, uint param_3)",
0x0800F1E0,26,FUN_0800f1e0,2,1,0,"undefined FUN_0800f1e0(void)",
0x0800F200,28,FUN_0800f200,3,1,0,"undefined1 FUN_0800f200(void)",
0x0800F220,30,FUN_0800f220,3,1,0,"undefined4 FUN_0800f220(void)",
0x0800F244,50,FUN_0800f244,0,4,0,"uint FUN_0800f244(void)",
0x0800F278,30,FUN_0800f278,1,1,0,"bool FUN_0800f278(int param_1, undefined4 * param_2, uint param_3)",
0x0800F29C,38,FUN_0800f29c,1,1,0,"undefined1 FUN_0800f29c(int param_1, int param_2, int param_3)",
0x0800F2C2,38,FUN_0800f2c2,1,1,0,"bool FUN_0800f2c2(int param_1, int param_2, int param_3)",
0x0800F2E8,92,FUN_0800f2e8,2,5,0,"char FUN_0800f2e8(undefined4 param_1, undefined4 param_2, undefined4 param_3, undefined4 param_4)",
0x0800F354,20,FUN_0800f354,3,1,0,"int FUN_0800f354(undefined4 param_1, undefined4 param_2, undefined4 param_3)",
0x0800F36C,36,FUN_0800f36c,1,2,0,"undefined FUN_0800f36c(uint param_1)",
0x0800F460,240,FUN_0800f460,0,8,0,"int FUN_0800f460(undefined4 param_1, uint param_2, uint param_3, uint param_4)",
0x0800F55C,18,FUN_0800f55c,1,1,0,"bool FUN_0800f55c(void)",
0x0800F574,54,FUN_0800f574,2,1,0,"undefined4 FUN_0800f574(undefined4 param_1, undefined4 param_2, undefined4 param_3, undefined4 param_4)",
0x0800F5B4,38,FUN_0800f5b4,2,0,0,"bool FUN_0800f5b4(int param_1, uint param_2)",
0x0800F5E4,12,FUN_0800f5e4,2,1,0,"undefined4 FUN_0800f5e4(void)",
0x0800F5F4,110,FUN_0800f5f4,1,4,0,"undefined4 FUN_0800f5f4(void)","080167C0:Invalid sector count intended to be used with wear_leveling"
0x0800F67C,50,FUN_0800f67c,2,1,0,"undefined1 FUN_0800f67c(int param_1, uint * param_2)",
0x0800F6C0,190,FUN_0800f6c0,1,0,0,"uint FUN_0800f6c0(uint param_1, int param_2)",
0x0800F7AA,76,FUN_0800f7aa,4,0,0,"uint FUN_0800f7aa(uint param_1)",
0x0800F7F8,30,FUN_0800f7f8,3,0,0,"ushort FUN_0800f7f8(void)",
0x0800F81C,62,FUN_0800f81c,2,0,0,"uint FUN_0800f81c(uint param_1)",
0x0800F860,38,FUN_0800f860,0,0,0,"uint FUN_0800f860(undefined4 param_1, undefined4 param_2, byte param_3)",
0x0800F888,50,FUN_0800f888,0,0,0,"uint FUN_0800f888(undefined4 param_1, int param_2, char param_3)",
0x0800F8C0,50,FUN_0800f8c0,0,0,0,"uint FUN_0800f8c0(undefined4 param_1, int param_2, char param_3)",
0x0800F8F8,80,FUN_0800f8f8,0,0,0,"uint FUN_0800f8f8(undefined4 param_1, int param_2, char param_3)",
0x0800F94C,50,FUN_0800f94c,0,0,0,"uint FUN_0800f94c(undefined4 param_1, undefined4 param_2, undefined4 param_3, int param_4, char param_5)",
0x0800F97E,72,FUN_0800f97e,0,1,0,"uint FUN_0800f97e(undefined4 param_1, char param_2, int param_3, char param_4)",
0x0800F9C8,76,FUN_0800f9c8,0,0,0,"uint FUN_0800f9c8(undefined4 param_1, int param_2, int param_3, int param_4)",
0x0800FA18,76,FUN_0800fa18,0,0,0,"uint FUN_0800fa18(undefined4 param_1, int param_2, int param_3, int param_4)",
0x0800FA68,52,FUN_0800fa68,0,0,0,"uint FUN_0800fa68(undefined4 param_1, byte param_2)",
0x0800FA9C,72,FUN_0800fa9c,1,0,0,"uint FUN_0800fa9c(uint param_1, undefined4 param_2, undefined4 param_3, short param_4, short param_5)",
0x0800FAE4,114,FUN_0800fae4,0,0,0,"uint FUN_0800fae4(uint param_1, short param_2, int param_3, uint param_4, ushort param_5)",
0x0800FB5C,78,FUN_0800fb5c,0,0,0,"uint FUN_0800fb5c(uint param_1, undefined4 param_2, undefined4 param_3, int param_4, ushort param_5)",
0x0800FBAA,68,FUN_0800fbaa,0,0,0,"uint FUN_0800fbaa(uint param_1, undefined4 param_2, undefined4 param_3, int param_4, ushort param_5)",
0x0800FBF0,10,FUN_0800fbf0,6,0,0,"undefined FUN_0800fbf0(byte param_1)",
0x0800FC00,24,FUN_0800fc00,1,1,0,"bool FUN_0800fc00(void)",
0x0800FC20,70,FUN_0800fc20,3,0,0,"uint FUN_0800fc20(int param_1, uint param_2)",
0x0800FC66,70,FUN_0800fc66,1,1,0,"uint FUN_0800fc66(undefined4 param_1, uint param_2, int param_3, short param_4, byte param_5)",
0x0800FCAC,48,FUN_0800fcac,0,1,0,"uint FUN_0800fcac(undefined4 param_1, uint param_2, int param_3, char param_4)",
0x0800FCDC,54,FUN_0800fcdc,0,1,0,"uint FUN_0800fcdc(undefined4 param_1, uint param_2, int param_3, char param_4, char param_5)",
0x0800FD14,20,FUN_0800fd14,2,1,0,"undefined FUN_0800fd14(void)",
0x0800FD30,18,FUN_0800fd30,11,1,0,"uint FUN_0800fd30(uint param_1)",
0x0800FD38,212,FUN_0800fd38,1,1,0,"undefined FUN_0800fd38(uint param_1, uint param_2)",
0x0800FE14,34,FUN_0800fe14,2,2,0,"undefined FUN_0800fe14(void)",
0x0800FE40,4,FUN_0800fe40,1,0,0,"undefined4 FUN_0800fe40(void)",
0x0800FE44,34,FUN_0800fe44,2,1,0,"uint FUN_0800fe44(int param_1, int param_2, int param_3)",
0x0800FE6C,6,thunk_FUN_080114fc,1,1,1,"undefined thunk_FUN_080114fc(void)",
0x0800FE78,14,FUN_0800fe78,16,1,0,"undefined FUN_0800fe78(uint param_1, undefined1 param_2, undefined1 param_3, undefined1 param_4)",
0x0800FE8C,78,FUN_0800fe8c,1,3,0,"undefined FUN_0800fe8c(uint param_1, byte param_2)",
0x0800FEE4,6,thunk_FUN_08011378,9,1,1,"undefined thunk_FUN_08011378(undefined1 param_1, undefined1 param_2, undefined1 param_3)",
0x0800FEF0,342,FUN_0800fef0,1,5,0,"undefined4 FUN_0800fef0(int param_1)",
0x08010060,250,FUN_08010060,1,4,0,"undefined FUN_08010060(uint param_1, uint param_2, int param_3)",
0x0801016C,2,FUN_0801016c,1,0,0,"undefined FUN_0801016c(void)",
0x0801016E,12,FUN_0801016e,1,2,0,"undefined FUN_0801016e(void)",
0x0801017A,4,FUN_0801017a,2,0,0,"undefined4 FUN_0801017a(void)",
0x0801017E,40,FUN_0801017e,12,0,0,"uint FUN_0801017e(char param_1)",
0x080101A8,206,FUN_080101a8,3,5,0,"bool FUN_080101a8(char * param_1, undefined * param_2)",
0x08010284,6,FUN_08010284,1,1,0,"bool FUN_08010284(char * param_1)",
0x08010290,6,FUN_08010290,1,1,0,"bool FUN_08010290(undefined1 * param_1)",
0x0801029C,6,FUN_0801029c,1,1,0,"bool FUN_0801029c(undefined1 * param_1)",
0x080102A8,170,FUN_080102a8,2,3,0,"bool FUN_080102a8(char * param_1)",
0x08010360,6,FUN_08010360,1,1,0,"bool FUN_08010360(char * param_1)",
0x0801036C,6,FUN_0801036c,1,1,0,"bool FUN_0801036c(char * param_1)",
0x08010378,138,FUN_08010378,4,3,0,"bool FUN_08010378(char * param_1, undefined4 param_2, undefined4 param_3, uint param_4)",
0x08010410,6,FUN_08010410,1,1,0,"bool FUN_08010410(char * param_1, undefined4 param_2, undefined4 param_3, uint param_4)",
0x0801041C,6,FUN_0801041c,1,1,0,"bool FUN_0801041c(undefined1 * param_1, undefined4 param_2, undefined4 param_3, uint param_4)",
0x08010428,6,FUN_08010428,1,1,0,"bool FUN_08010428(undefined1 * param_1, undefined4 param_2, undefined4 param_3, uint param_4)",
0x08010434,6,FUN_08010434,1,1,0,"bool FUN_08010434(undefined1 * param_1, undefined4 param_2, undefined4 param_3, uint param_4)",
0x08010440,180,FUN_08010440,2,4,0,"bool FUN_08010440(char * param_1)",
0x08010500,6,FUN_08010500,1,1,0,"bool FUN_08010500(char * param_1)",
0x0801050C,6,FUN_0801050c,1,1,0,"bool FUN_0801050c(undefined1 * param_1)",
0x08010518,208,FUN_08010518,1,3,0,"bool FUN_08010518(char * param_1)",
0x080105F8,6,FUN_080105f8,1,1,0,"bool FUN_080105f8(char * param_1)",
0x08010604,284,FUN_08010604,4,6,0,"bool FUN_08010604(uint param_1, char * param_2, undefined * param_3)",
0x08010730,10,FUN_08010730,1,1,0,"bool FUN_08010730(char * param_1)",
0x08010740,10,FUN_08010740,1,1,0,"bool FUN_08010740(undefined1 * param_1)",
0x08010750,20,FUN_08010750,1,1,0,"bool FUN_08010750(undefined1 * param_1)",
0x0801076C,20,FUN_0801076c,1,1,0,"bool FUN_0801076c(char * param_1)",
0x08010788,106,FUN_08010788,1,3,0,"bool FUN_08010788(char * param_1)",
0x080107FC,166,FUN_080107fc,1,5,0,"bool FUN_080107fc(char * param_1, undefined4 param_2, undefined4 param_3, undefined4 param_4)",
0x080108B0,104,FUN_080108b0,1,3,0,"bool FUN_080108b0(char * param_1)",
0x08010920,280,FUN_08010920,1,7,0,"bool FUN_08010920(char * param_1)",
0x08010A4C,456,FUN_08010a4c,2,27,0,"undefined FUN_08010a4c(uint param_1, undefined4 param_2, uint param_3)",
0x08010C4C,8,FUN_08010c4c,1,1,0,"undefined FUN_08010c4c(uint param_1, uint param_2)",
0x08010C54,28,FUN_08010c54,1,2,0,"undefined FUN_08010c54(char * param_1)",
0x08010C70,78,FUN_08010c70,3,6,0,"uint FUN_08010c70(void)",
0x08010CD4,24,FUN_08010cd4,4,0,0,"undefined FUN_08010cd4(void)",
0x08010CF4,10,FUN_08010cf4,9,0,0,"byte FUN_08010cf4(void)",
0x08010D04,50,FUN_08010d04,3,1,0,"undefined FUN_08010d04(uint param_1, byte param_2)",
0x08010D40,6,FUN_08010d40,2,1,0,"undefined FUN_08010d40(uint param_1)",
0x08010D64,28,FUN_08010d64,0,1,0,"undefined FUN_08010d64(void)",
0x08010D8C,32,FUN_08010d8c,0,1,0,"undefined FUN_08010d8c(void)",
0x08010D94,30,FUN_08010d94,6,1,0,"undefined FUN_08010d94(undefined1 param_1, undefined1 param_2, undefined1 param_3, byte param_4)",
0x08010DCC,22,FUN_08010dcc,0,1,0,"undefined FUN_08010dcc(void)",
0x08010DF0,30,FUN_08010df0,0,1,0,"undefined FUN_08010df0(void)",
0x08010E1C,36,FUN_08010e1c,0,1,0,"undefined FUN_08010e1c(void)",
0x08010E44,34,FUN_08010e44,0,1,0,"undefined FUN_08010e44(void)",
0x08010E4C,44,FUN_08010e4c,4,2,0,"undefined FUN_08010e4c(undefined4 param_1)",
0x08010E7C,46,FUN_08010e7c,3,2,0,"undefined FUN_08010e7c(undefined4 param_1)",
0x08010EB4,6,FUN_08010eb4,1,1,0,"undefined FUN_08010eb4(void)",
0x08010EBC,42,FUN_08010ebc,2,1,0,"undefined FUN_08010ebc(void)",
0x08010EF0,30,FUN_08010ef0,1,3,0,"undefined FUN_08010ef0(void)",
0x08010F14,6,FUN_08010f14,0,1,0,"undefined FUN_08010f14(void)",
0x08010F1C,50,FUN_08010f1c,1,2,0,"undefined FUN_08010f1c(undefined4 param_1)",
0x08010F54,6,FUN_08010f54,0,1,0,"undefined FUN_08010f54(void)",
0x08010F74,24,FUN_08010f74,0,1,0,"undefined FUN_08010f74(void)",
0x08010F90,22,FUN_08010f90,0,1,0,"undefined FUN_08010f90(void)",
0x08010F98,6,FUN_08010f98,2,0,0,"undefined FUN_08010f98(undefined4 param_1)",
0x08010FA4,8,FUN_08010fa4,2,0,0,"undefined FUN_08010fa4(void)",
0x08010FB0,18,FUN_08010fb0,1,0,0,"bool FUN_08010fb0(void)",
0x08010FCC,16,FUN_08010fcc,2,1,0,"undefined FUN_08010fcc(void)",
0x08010FE4,16,FUN_08010fe4,2,1,0,"undefined FUN_08010fe4(void)",
0x08010FFC,6,FUN_08010ffc,1,0,0,"undefined1 FUN_08010ffc(void)",
0x08011008,58,FUN_08011008,2,4,0,"undefined FUN_08011008(int param_1)",
0x08011058,246,FUN_08011058,2,8,0,"undefined FUN_08011058(void)",
0x08011180,28,FUN_08011180,2,2,0,"undefined FUN_08011180(int param_1, undefined4 param_2, uint param_3)",
0x080111A0,86,FUN_080111a0,4,3,0,"char FUN_080111a0(uint param_1, byte param_2, undefined1 param_3, uint param_4, byte param_5)",
0x08011200,24,FUN_08011200,1,1,0,"int FUN_08011200(uint param_1, byte param_2, undefined1 param_3)",
