hook,dump_addr,size,status,ref_elf,evidence
oneshot_mods_changed_kb,0x0800E38C,,vote points inside bootmagic|default_layer_state_set_kb|dip_switch_update_mask_kb|host_keyboard_led_state|keyboard_pre_init_kb|layer_state_set_kb|matrix_init_kb|matrix_output_unselect_delay|matrix_scan_kb|notify_usb_device_state_change_kb|oneshot_layer_changed_kb|oneshot_locked_mods_changed_kb|oneshot_mods_changed_kb|post_process_record_kb|pre_process_record_kb|rgb_matrix_indicators_advanced_kb|should_process_keypress|shutdown_kb|suspend_power_down_kb|suspend_wakeup_init_kb@0x0800E38C+0x0 (exact-ambiguous),,bl from clear_oneshot_mods@0x0800E3B0+0xC ; other names voted here: oneshot_locked_mods_changed_kb
keychron_task_kb,0x0800CD88,48,exact,"ref1011_default,ref1011_feat,ref1011_via",keychron_task_kb:bl from keychron_task@0x0800C6D4+0xE
oneshot_layer_changed_kb,0x0800E4FC,8,exact-ambiguous,"ref1011_default,ref1011_feat,ref1011_via",oneshot_layer_changed_kb:bl from reset_oneshot_layer@0x0800E534+0x8
notify_usb_device_state_change_kb,0x08012406,8,exact-ambiguous,"ref1011_default,ref1011_feat,ref1011_via",notify_usb_device_state_change_kb:bl from usb_device_state_set_configuration@0x08012410+0xA
led_set_user,0x0800D4B0,2,exact-ambiguous,"ref1011_default,ref1011_feat,ref1011_via",led_set_user:bl from led_set@0x0800D4BA+0x4
via_command_kb,0x0800C874,148,exact,"ref1011_default,ref1011_feat",via_command_kb:b.w from raw_hid_receive@0x0800C908+0x8
eeconfig_update_kb,0x0800E60E,8,exact,"ref1011_default,ref1011_feat,ref1011_via",eeconfig_update_kb:bl from eeconfig_init_kb@0x0800E624+0x4
oneshot_mods_changed_user,0x0800D088,8,UNMATCHED-custom-code-candidate,,bl from oneshot_mods_changed_kb@0x0800E3E4+0x2
oneshot_layer_changed_user,0x0800D25C,32,UNMATCHED-custom-code-candidate,,bl from oneshot_layer_changed_kb@0x0800E4FC+0x2
notify_usb_device_state_change_user,0x08012404,2,exact-ambiguous,"ref1011_default,ref1011_feat,ref1011_via",notify_usb_device_state_change_user:bl from notify_usb_device_state_change_kb@0x08012406+0x2
eeconfig_update_user,0x0800E616,8,exact,"ref1011_default,ref1011_feat,ref1011_via",eeconfig_update_user:b.w from eeconfig_init_user@0x0800E61E+0x2
wireless_enter_reset_kb,0x0800C594,4,UNMATCHED-custom-code-candidate,,bl(fuzzy-paired) from wireless_event_task@0x0800A570+0x26
wireless_enter_connected_kb,0x0800A430,2,exact-ambiguous,"ref1011_default,ref1011_feat,ref1011_via",wireless_enter_connected_kb:bl(fuzzy-paired) from wireless_event_task@0x0800A570+0x44
wireless_enter_discoverable_kb,0x0800A42C,2,exact-ambiguous,"ref1011_default,ref1011_feat,ref1011_via",wireless_enter_discoverable_kb:bl(fuzzy-paired) from wireless_event_task@0x0800A570+0x78
