start,size,kind,fn_starts,suggested_names,callers,callees
0x0800F316,378,code,0x0800F318 0x0800F3CC 0x0800F400 0x0800F430 0x0800F47C,,,0x0800F3E0->0x0800F198 0x0800F41C->0x0800F120 0x0800F43A->_pal_lld_setgroupmode 0x0800F442->spi_init 0x0800F448->0x0800F1CC 0x0800F44E->0x0800F1CC 0x0800F45E->0x0800F318 0x0800F468->0x0800F400 0x0800F480->0x0800F3CC
0x0800F4AE,938,code,0x0800F4B0 0x0800F56C 0x0800F5E2 0x0800F5EC 0x0800F654 0x0800F7C4 0x0800F810 0x0800F814 0x0800F81C,0x0800F81C=dip_switch_read,0x0800F81C<-dip_switch_init@0x0800F858(b),0x0800F4B8->keyboard_leds 0x0800F4E4->rgb_matrix_increase_val 0x0800F4F0->handleKeycodeRGB 0x0800F52E->0x0800EC66 0x0800F600->_pal_lld_setgroupmode 0x0800F60C->_pal_lld_setgroupmode 0x0800F61A->0x0800F5E2 0x0800F6E4->0x08010D58 0x0800F6F8->0x0800B444 0x0800F6FE->chThdSleep 0x0800F70A->0x08010D58 0x0800F71C->0x0800B444 0x0800F722->chThdSleep 0x0800F744->0x08010D58 0x0800F75A->0x0800B444 0x0800F760->chThdSleep
0x0800F874,568,code,0x0800F878 0x0800F88A 0x0800F8B6 0x0800F8E0 0x0800F91E 0x0800F956 0x0800F9C6 0x0800F9F4 0x0800FA1C 0x0800FA3A 0x0800FA48 0x0800FA4C 0x0800FA52 0x0800FA86,0x0800F956=dynamic_keymap_reset,0x0800F956<-eeconfig_init_via@0x080105EA(bl~),0x0800F898->0x0800F878 0x0800F89E->eeprom_read_byte 0x0800F8A6->eeprom_read_byte 0x0800F8C6->0x0800F878 0x0800F8CE->0x0800D04C 0x0800F8FC->eeprom_read_byte 0x0800F910->eeprom_read_byte 0x0800F93C->0x0800D04C 0x0800F96A->0x0800B1AC 0x0800F978->0x0800F8B6 0x0800F994->0x0800B1D4 0x0800F9A0->0x0800F91E 0x0800F9AA->0x0800B1D4 0x0800F9B8->0x0800F91E 0x0800F9E4->eeprom_read_byte 0x0800FA12->0x0800D04C
0x0800FAC4,1184,code,0x0800FB78 0x0800FBC4 0x0800FD90 0x0800FDB8 0x0800FE24 0x0800FE8C,,,0x0800FAD0->eeprom_read_byte 0x0800FAE4->eeprom_read_byte 0x0800FAFC->eeprom_read_byte 0x0800FB10->eeprom_read_byte 0x0800FB24->0x080102D8 0x0800FB34->eeprom_read_byte 0x0800FB4A->eeprom_read_byte 0x0800FB84->keyboard_leds 0x0800FBA0->0x08010AFC 0x0800FBA4->0x0800C384 0x0800FBB6->0x08010B30 0x0800FBDC->0x0800C4B4 0x0800FC64->0x0800BA48 0x0800FCD8->0x0800BA48 0x0800FD2C->0x0800BA48 0x0800FD42->0x0800C584
0x08010088,1216,code,0x080100B4 0x080100D8 0x08010268 0x080102D8 0x0801037C 0x08010434 0x080104D0,,,0x08010090->memset 0x080100E2->memcpy 0x08010100->0x08010D62 0x08010122->0x08010D62 0x0801013A->0x08010B9C 0x08010142->0x080100B4 0x08010148->mousekey_off+0xEC 0x08010152->memcpy 0x08010178->0x0800FDB8 0x0801018E->0x0800FDB8 0x080101AE->0x0800FD90 0x080101B8->0x0800FD90 0x080101EC->0x0800FE24 0x08010202->0x0800FE24 0x08010222->0x0800FD90 0x0801022C->0x0800FD90
0x0801056C,92,code,0x08010596,0x08010596=via_eeprom_set_valid,0x08010596<-eeconfig_init_via@0x080105EA(bl~),0x08010570->eeprom_read_byte 0x0801057E->eeprom_read_byte 0x08010588->eeprom_read_byte 0x080105A2->0x0800D04C 0x080105B0->0x0800D04C 0x080105C4->0x0800D04C
0x0801060A,774,code,0x08010628 0x0801062C 0x0801064A 0x08010728 0x0801073E 0x080108F8 0x08010904,,,0x0801060C->__aeabi_idiv0|__aeabi_ldiv0|__cpu_init|__late_init|__malloc_lock|__malloc_unlock|_fini|dummy_cb|wireless_enter_bluetooth_pin_code_entry_kb 0x08010610->via_get_layout_options 0x08010614->__aeabi_idiv0|__aeabi_ldiv0|__cpu_init|__late_init|__malloc_lock|__malloc_unlock|_fini|dummy_cb|wireless_enter_bluetooth_pin_code_entry_kb 0x08010618->0x0801056C 0x0801063C->0x0800FAC4 0x08010664->0x0800ED08 0x0801066C->0x0800EC14 0x08010674->0x0800EC6C 0x0801067A->0x0800EECC 0x08010680->0x0800ECF0 0x08010686->0x0800ECFC 0x080106A2->0x0800ECF0 0x080106A8->0x0800ECFC 0x080106D2->rgb_matrix_enable_noeeprom 0x080106F4->0x0800ED08 0x08010738->0x0801064A
0x08010920,64,code,0x08010928 0x08010938,,,0x08010922->host_keyboard_leds
0x080109C0,812,code,0x08010A0C 0x08010AFC 0x08010B30 0x08010B64 0x08010B9C 0x08010BE4 0x08010BE6 0x08010BF0 0x08010C08 0x08010C1C 0x08010C20 0x08010C34 0x08010C38 0x08010C3A 0x08010C3C 0x08010C3E 0x08010C46 0x08010C48 0x08010C50 0x08010C74 0x08010C82 0x08010C94 0x08010CE8,0x08010B30=del_key_from_report,0x08010B30<-unregister_code@0x0800B538(bl),0x08010BE8->0x08010BE4 0x08010BFE->0x08010BE6 0x08010C10->0x08010BE6 0x08010C28->0x08010BE6 0x08010C40->0x08010C3C 0x08010C4A->0x08010C46 0x08010C52->0x08010C38 0x08010C56->0x0800CD50 0x08010C5A->0x08010C3A 0x08010C62->0x0800CBE4 0x08010C76->0x080124E4 0x08010C84->0x0800B39E 0x08010C96->0x0800C228 0x08010C9A->0x0800C254 0x08010C9E->0x08010B64 0x08010CA2->0x08010088
0x08010D58,36,code,0x08010D62 0x08010D70,,,0x08010D5A->timer_read32 0x08010D66->timer_read32 0x08010D74->timer_read32
0x08010DA0,184,code,0x08010DB0 0x08010DC8 0x08010DD4 0x08010DDE 0x08010DE4,,,0x08010DD6->0x08010DA0 0x08010DDA->__NVIC_SystemReset 0x08010DE0->__NVIC_SystemReset 0x08010DE6->0x08010DB0 0x08010DEC->0x08010DC8
0x08010FEE,354,code,0x08010FF0 0x0801110C,,,0x0801113C->0x080114AC 0x0801101A->0x08011998 0x0801103C->0x08011C08 0x0801109A->0x08011C58
0x080111AC,192,code,,,,0x080111C6->0x08011688 0x080111CC->0x08011688 0x080111D2->0x08011688 0x080111D8->0x080116A8 0x080111EA->usb_event_queue_enqueue.isra.0 0x080111F8->usb_event_queue_enqueue.isra.0 0x0801120C->0x0801163A 0x08011212->0x0801163A 0x08011218->0x0801163A 0x0801121E->0x08011662 0x08011232->0x0801167C 0x08011238->0x0801167C 0x0801123E->0x0801167C 0x08011244->0x08011682 0x080111F4->usb_event_queue_enqueue.isra.0
0x08011290,284,code,0x0801129E 0x080112A8 0x080112C2 0x080112E0 0x080112F4 0x080112FC 0x08011348,,,0x080112BC->0x08010C08 0x080112CA->0x08010C94 0x080112DA->0x08010C1C 0x080112EE->0x08010BF0 0x080112FE->0x08010C20 0x08011350->0x0801159C 0x08011356->0x080115FC 0x0801135E->0x0801159C 0x08011366->0x080115FC 0x0801136E->0x0801159C 0x08011376->0x080115FC 0x0801137C->0x080115D4 0x08011382->0x0801161C 0x08011388->0x08012A5E 0x08011390->chThdSleep 0x0801139C->0x08012A38
0x080113B8,32,code,,0x080113B8=send_report.isra.0,0x080113B8<-send_keyboard@0x080113D8(b) 0x080113B8<-send_nkro@0x080113E2(b) 0x080113B8<-send_mouse@0x080113EC(b),0x080113CA->0x08011796
0x08011400,1080,code,0x08011410 0x08011438 0x0801143C 0x0801143E 0x08011440 0x08011450 0x0801145C 0x08011460 0x0801148C 0x08011498 0x0801149C 0x080114AC 0x08011524 0x0801155E 0x08011594 0x0801159C 0x080115D4 0x080115FC 0x0801161C 0x0801163A 0x08011662 0x0801167C 0x08011682 0x08011688 ...,0x08011440=__early_init,0x08011440<-_crt0_entry@0x08008000(bl),0x0801141E->0x08011870 0x0801142C->0x0801073E 0x08011442->0x08011438 0x08011446->0x08014E84 0x0801144A->0x0801143C 0x08011452->__aeabi_idiv0|__aeabi_ldiv0|__cpu_init|__late_init|__malloc_lock|__malloc_unlock|_fini|dummy_cb|wireless_enter_bluetooth_pin_code_entry_kb 0x08011456->0x0801143E 0x08011462->usb_event_queue_init 0x08011468->0x08011348 0x0801149E->0x08011410 0x08011544->0x080126D2 0x08011556->0x08012B56 0x08011578->0x0801257C 0x080115C6->0x0801268C 0x080115EE->0x08012538 0x08011646->chThdDequeueAllI.constprop.0
0x08011870,118,code,0x080118BC,,,0x080118A6->0x08012606 0x080118C8->0x0801250E 0x080118DE->memcpy
0x08011918,60,code,,,,0x08011934->0x0801250E 0x0801194C->memcpy
0x08011996,90,code,0x08011998,,,
0x08011A18,76,code,,,,0x08011A38->0x0801250E 0x08011A4E->__aeabi_uldivmod
0x08011A9E,606,code,0x08011AA0 0x08011AF8 0x08011C08 0x08011C58 0x08011CA4 0x08011CBC 0x08011CE8,,,0x08011ACC->0x0801250E 0x08011AE2->__aeabi_uldivmod 0x08011B48->usb_endpoint_in_is_inactive 0x08011B7C->0x080113B8 0x08011BBE->usb_endpoint_in_is_inactive 0x08011BF4->0x080113B8 0x08011CF0->0x08011CBC
0x08011D56,88,code,0x08011D5C 0x08011D8C 0x08011DA4 0x08011DA8,,,0x08011D68->0x08011CA4 0x08011D70->0x08012180 0x08011DA4->0x08011F84 0x08011DAC->chSysGetStatusAndLockX.part.0+0xA
0x08011DEC,608,code,0x08011E26 0x08011F04 0x08011F18 0x08011F84,,,0x08011E36->0x08012530 0x08011E3A->0x0801250E 0x08011E7E->0x08012516 0x08011E84->0x0801250E 0x08011E94->0x08012530 0x08011EBA->0x0801250E 0x08011EEA->0x08011E26 0x08011F62->0x0801250E 0x08011F96->0x0801250E 0x08011FC4->0x08012526 0x08011FE0->0x0801250E 0x08011FF2->0x08011DEC 0x08011F56->0x08012526
0x080120E8,124,code,0x0801213C,0x080120E8=chSchGoSleepTimeoutS 0x0801213C=chSchDoPreemption,0x080120E8<-chThdSleep@0x0801228E(bl) 0x0801213C<-chSchRescheduleS@0x08012164(b),0x080120FC->0x08011F04 0x08012102->chSchGoSleepS 0x0801210C->0x08011F18 0x08012116->chSchGoSleepS 0x08012150->0x08012068 0x0801215C->__port_switch
0x08012180,270,code,0x08012200 0x08012214 0x08012264 0x08012284,0x08012284=chThdExit,0x08012284<-__port_thread_start@0x0800813C(bl),0x08012192->0x08012448 0x080121AE->0x0801250E 0x080121C6->0x08012200 0x080121E6->0x08012264 0x08012266->0x08012214 0x0801226E->0x080120C8 0x0801227C->chSchGoSleepS
0x080122D6,56,code,0x080122D8 0x080122F8,,,0x080122EA->0x080120E8 0x08012308->0x080120C8
0x08012348,224,code,0x08012354 0x080123B8 0x080123CC,,,0x0801237E->ch_sch_prio_insert 0x0801239A->0x080120C8 0x080123A2->ch_sch_prio_insert 0x080123C0->0x08012354 0x080123FA->0x080120C8 0x080123FE->chSchRescheduleS 0x080123AE->chSchGoSleepS
0x08012448,72,code,,,,
0x080124E4,470,code,0x0801250E 0x08012516 0x08012526 0x08012530 0x08012538 0x08012566 0x0801257C 0x08012590 0x080125B0 0x080125E2 0x08012606 0x0801268C,,,0x080124E6->0x080132E0 0x080124EA->0x08013B58 0x080124EE->0x080128A8 0x080124F2->0x08012928 0x080124F6->0x08012A1C 0x080124FA->0x08012910 0x080124FE->0x08011450 0x080125D2->0x080122D8 0x08012626->0x080125B0 0x0801264E->memcpy 0x08012666->0x080125E2 0x0801267C->memcpy 0x0801250A->0x08014DF4 0x08012578->chThdDequeueAllI.constprop.0 0x080125AC->0x080122F8
0x080126D2,108,code,0x080126EE 0x0801270C,,,0x0801272E->0x080122D8 0x08012708->0x080122F8
0x08012764,232,code,0x080127EE 0x08012810,,,0x08012784->0x0801270C 0x080127AC->memcpy 0x080127C8->obqPostFullBufferS 0x080127DE->memcpy 0x08012802->obqPostFullBufferS 0x0801283A->__aeabi_uldivmod 0x0801283E->chThdSleep
0x08012880,250,code,0x08012890 0x0801289C 0x080128A8 0x080128AC 0x080128C0 0x080128DC 0x080128F8 0x08012910 0x08012914 0x08012920 0x08012924 0x08012928 0x0801292C 0x0801293C 0x0801295E,0x0801293C=spiStart 0x0801295E=spiStop,0x0801293C<-spi_start@0x08010ECC(bl~) 0x0801295E<-spi_init@0x08010E58(bl) 0x0801295E<-spi_stop@0x08010FC8(bl),0x08012894->0x080123CC 0x080128A0->0x080123B8 0x080128CC->0x08013504 0x080128E6->0x0801352C 0x08012948->0x08014C68 0x08012968->0x08014D3C 0x080128A8->0x080134A8 0x080128B6->0x08012348 0x08012910->0x08014848 0x08012920->0x080148C0 0x08012924->0x0801499C 0x08012928->0x08014C3C 0x08012938->0x08012348
0x080129B2,1854,code,0x080129C0 0x080129C8 0x080129D8 0x080129FA 0x08012A1C 0x08012A20 0x08012A38 0x08012A5E 0x08012AB2 0x08012AE4 0x08012B32 0x08012B56 0x08012B7A 0x08012BB8 0x08012C2C 0x08012C8C 0x08012CA4 0x08012F6C 0x0801301E 0x08013096 0x080130C2,0x080129FA=spiSend,0x080129FA<-spi_transmit@0x08010FB4(bl),0x080129E2->0x080129B2 0x080129EE->0x080129C8 0x08012A04->0x080129C0 0x08012A10->0x080129C8 0x08012A4E->0x08013D94 0x08012A6A->0x08013E60 0x08012A8A->chThdResumeI 0x08012A9C->chThdResumeI 0x08012AA8->chSchRescheduleS 0x08012AC8->memset 0x08012AD4->memset 0x08012B0A->chThdResumeI 0x08012B1C->chThdResumeI 0x08012BA4->chThdSleep 0x08012BEC->chThdResumeI 0x08012BFE->chThdResumeI
0x0801328C,252,code,0x080132E0,0x0801328C=VectorB0,0x0801328C<-_vectors@0x080000B0(vec),0x0801328E->0x08014E3C 0x080132A0->0x08013096 0x080132A8->0x08013096 0x080132B0->0x08013096 0x080132B8->0x08013096 0x080132C0->0x08013096 0x080132C8->0x08013096 0x080132D0->0x08013096 0x08013372->0x080139A0 0x08013296->__port_irq_epilogue 0x080132DC->0x08013096
0x080134A8,194,code,0x08013504 0x0801352C 0x08013538 0x0801353C,,,0x080134AE->0x080128AC 0x0801355A->memcpy
0x08013626,74,code,0x08013632,,,0x08013636->_getpid|_isatty_r
0x080139A0,468,code,0x080139E4 0x08013A94 0x08013AEC 0x08013B58,,,0x08013A7A->0x08013096 0x08013A9A->0x080130C2
0x08013C4C,100,code,,,,
0x08013D72,866,code,0x08013D74 0x08013D94 0x08013E60 0x08013EA4 0x08013F54 0x08013F6C 0x08014084 0x0801408E 0x080140A8 0x080140C2,,,0x08013D7A->0x08012A20 0x08013DD0->0x08013096 0x08013DFC->chSysPolledDelayX 0x08013E08->chSysPolledDelayX 0x08013E18->otg_disable_ep 0x08013E6C->otg_disable_ep 0x08013E82->0x080130C2 0x08013EAE->otg_txfifo_flush.isra.0 0x08013EFC->chSysPolledDelayX 0x0801400C->otg_txfifo_flush.isra.0 0x0801405C->otg_txfifo_flush.isra.0 0x0801408A->otg_disable_ep
0x08014200,1242,code,0x0801428C 0x080143A0 0x0801468C 0x080146A0 0x080146B4 0x080146C8,0x080143A0=Vector14C,0x080143A0<-_vectors@0x0800014C(vec),0x080142DA->0x08014200 0x08014350->chThdResumeI 0x080143B8->0x08012BB8 0x080143EC->0x08012C8C 0x080143F6->otg_disable_ep 0x080143FC->0x08012C2C 0x0801444C->0x08012C8C 0x080144C8->chThdResumeI 0x08014528->otg_epout_handler.constprop.0 0x08014532->otg_epout_handler.constprop.0 0x0801453C->otg_epout_handler.constprop.0 0x08014546->otg_epout_handler.constprop.0 0x08014556->0x0801428C 0x08014560->0x0801428C 0x0801456A->0x0801428C 0x08014576->0x0801428C
0x080146F8,42,code,,,,
0x08014848,596,code,0x080148C0 0x0801499C,,,0x0801484E->0x08012914 0x08014866->rtc_enter_init.lto_priv.0 0x0801488C->0x08013AEC 0x08014894->0x08013096 0x0801489C->0x08013096 0x08014964->0x08011DA8 0x08014968->rtc_enter_init.lto_priv.0 0x080149A4->0x08011DA8 0x080149CA->chSysRestoreStatusX 0x080148A8->0x08013096 0x08014994->chSysRestoreStatusX
0x08014ACA,922,code,0x08014ACC 0x08014B74 0x08014C00 0x08014C3C 0x08014C68 0x08014D3C 0x08014D88 0x08014DBE 0x08014DF4 0x08014E3C,,,0x08014B66->spi_lld_configure 0x08014B82->0x08011D8C 0x08014B88->0x08014ACC 0x08014BA2->chThdResumeI 0x08014BDC->0x08014ACC 0x08014C0C->0x08011D8C 0x08014C12->0x08014ACC 0x08014C2C->chThdResumeI 0x08014C42->0x0801292C 0x08014C86->0x080139E4 0x08014C96->0x080139E4 0x08014CA0->0x08013A94 0x08014D18->spi_lld_configure 0x08014D46->0x08014ACC 0x08014D54->0x08013A94 0x08014D5A->0x08013A94
0x08014E82,134,code,0x08014E84,,,0x08014EB2->gpio_init 0x08014EBE->gpio_init 0x08014ECA->gpio_init 0x08014ED6->gpio_init 0x08014EE2->gpio_init 0x08014EEE->gpio_init 0x08014EF6->stm32_clock_init
0x080150C4,420,code,0x08015104 0x080151EC,,,0x080150D0->0x08014F20 0x080150DA->0x08014F20 0x080150F0->0x08014F20 0x0801512E->0x080153D4 0x0801513C->0x080150C4 0x08015158->0x08014F20 0x08015176->0x080150C4 0x080151AA->0x080153E0 0x080151DC->0x080153E0 0x080151F8->free|malloc|raise 0x08015208->__assert_func
0x0801543E,1802,code,0x08015440 0x080156A0 0x0801577C 0x080157A4 0x08015814 0x08015828 0x08015858 0x08015916 0x0801591E 0x08015934 0x08015956 0x08015A6C,0x08015440=_vfiprintf_r,0x08015440<-fiprintf@0x080153B0(bl),0x08015454->0x08015D7C 0x0801546E->0x08015EB8 0x08015480->0x08015A6C 0x080154B2->0x08015EBA 0x080154F0->__sfputs_r 0x0801552C->memchr 0x080155C0->memchr 0x080155E4->memchr 0x0801565C->0x08015EBA 0x08015678->0x0801577C 0x080158D8->0x080156A0 0x08015964->memchr 0x080159D6->0x08015D7C 0x08015A04->0x08015C54 0x08015A2E->0x08015C54 0x08015A50->0x08015A6C
0x08015C54,120,code,,,,0x08015C6A->0x08015D7C 0x08015C8A->0x08015EB8 0x08015C92->__sflush_r 0x08015CA6->0x08015EBA
0x08015D14,628,code,0x08015D20 0x08015D4C 0x08015D58 0x08015D64 0x08015D7C 0x08015DEC 0x08015EA4 0x08015EB6 0x08015EB8 0x08015EBA 0x08015EBC 0x08015F08,,,0x08015D2E->0x08015104 0x08015D44->memset 0x08015D80->0x08015D64 0x08015DA8->0x08015DEC 0x08015DB0->0x08015DEC 0x08015DB8->0x08015DEC 0x08015DC4->std 0x08015DCE->std 0x08015DD8->std 0x08015DF0->0x08015D4C 0x08015DFE->0x08015D7C 0x08015E24->0x08015EB6 0x08015E28->0x08015D58 0x08015E40->memset 0x08015E58->0x08015D20 0x08015E64->0x08015D58
0x08015FE2,36,code,,0x08015FE2=__sseek,0x08015FE2<-std@0x08015CCC(ptr),0x08015FEA->_lseek_r
0x0801609C,48,post-text(rodata/.data image),0x080160A6 0x080160A8,,,
0x0801667C,60,ascii-strings,,,,
0x080166C0,638,post-text(rodata/.data image),0x080166E4 0x080167E4 0x080167F4 0x08016804 0x08016814 0x08016894 0x080168E2 0x080168F4,,,0x080167DE->0x084069CC 0x080167D8->g_snled27351_leds+0xC0
0x08016AA8,204,post-text(rodata/.data image),0x08016B3C,,,
0x08016D74,36,post-text(rodata/.data image),,,,
0x08016F63,485,post-text(rodata/.data image),0x08016F7E 0x08016FFC 0x0801702E 0x0801705C 0x0801706E,,,0x08017127->0x0801733B
0x08017320,36,post-text(rodata/.data image),,,,
0x0801734C,624,post-text(rodata/.data image),,,,
0x0801783C,132,post-text(rodata/.data image),,,,
