dump_addr,size,ref_symbol,ref_elf,ref_addr,match_type,score,notes
0x080105C8,2,__aeabi_idiv0|__aeabi_ldiv0|__cpu_init|__late_init|__malloc_lock|__malloc_unlock|_fini|dummy_cb|wireless_enter_bluetooth_pin_code_entry_kb,ref1011_via_lto,0x080084EC,exact-ambiguous,1.000,tiny body placed (adjacent) ; identical body for: __aeabi_idiv0|__aeabi_ldiv0|__cpu_init|__late_init|__malloc_lock|__malloc_unlock|_fini|dummy_cb|wireless_enter_bluetooth_pin_code_entry_kb
0x080105CA,10,via_get_layout_options,ref1011_via_lto,0x0800A43A,exact,1.000,
0x080105D4,2,__aeabi_idiv0|__aeabi_ldiv0|__cpu_init|__late_init|__malloc_lock|__malloc_unlock|_fini|dummy_cb|wireless_enter_bluetooth_pin_code_entry_kb,ref1011_via_lto,0x080084EC,exact-ambiguous,1.000,tiny body placed (adjacent) ; identical body for: __aeabi_idiv0|__aeabi_ldiv0|__cpu_init|__late_init|__malloc_lock|__malloc_unlock|_fini|dummy_cb|wireless_enter_bluetooth_pin_code_entry_kb
0x080105EA,32,eeconfig_init_via,ref1011_via_lto,0x0800C4C6,fuzzy,0.870,
0x08010910,16,host_keyboard_leds,ref1011_via_lto,0x0800A7E4,exact,1.000,
0x08010960,48,host_system_send,ref1011_via_lto,0x0800B158,fuzzy-anchored,0.739,call-anchored: b.w from unregister_code@0x0800B538+0x44 ; xrefs: unregister_code@0x0800B538(b)
0x08010990,48,host_consumer_send,ref1011_via_lto,0x0800B188,fuzzy-anchored,0.739,call-anchored: b.w from unregister_code@0x0800B538+0x58 ; xrefs: unregister_code@0x0800B538(b)
0x08010CEC,108,timer_read32,ref1011_via_lto,0x08009E34,fuzzy-anchored,0.764,call-anchored: bl from report_buffer_init@0x08008B5C+0x1C ; xrefs: report_buffer_init@0x08008B5C(bl) indicator_battery_low_enable@0x0800977C(bl) indicator_battery_low_enable@0x0800977C(bl) lpm_timer_reset@0x0800A020(bl) ...
0x08010D7C,36,__NVIC_SystemReset,ref1011_via_lto,0x0800A0C4,exact,1.000,
0x08010E58,116,spi_init,ref1011_via_lto,0x080131C0,exact,1.000,
0x08010ECC,232,spi_start,ref1011_via_lto,0x08013234,fuzzy,0.865,
0x08010FB4,20,spi_transmit,ref1011_via_lto,0x08013310,exact,1.000,
0x08010FC8,36,spi_stop,ref1011_via_lto,0x08013324,exact,1.000,
0x08010FEC,2,__aeabi_idiv0|__aeabi_ldiv0|__cpu_init|__late_init|__malloc_lock|__malloc_unlock|_fini|dummy_cb|wireless_enter_bluetooth_pin_code_entry_kb,ref1011_via_lto,0x080084EC,exact-ambiguous,1.000,tiny body placed (adjacent) ; identical body for: __aeabi_idiv0|__aeabi_ldiv0|__cpu_init|__late_init|__malloc_lock|__malloc_unlock|_fini|dummy_cb|wireless_enter_bluetooth_pin_code_entry_kb
0x08011150,52,set_led_transfer_cb,ref1011_via_lto,0x0800FFA0,exact,1.000,
0x08011184,40,usb_event_queue_enqueue.isra.0,ref1011_via_lto,0x0800FF78,exact,1.000,
0x0801126C,36,usb_event_queue_init,ref1011_via_lto,0x08010C30,exact,1.000,
0x080113AC,12,keyboard_leds,ref1011_via_lto,0x08010184,exact,1.000,
0x080113D8,10,send_keyboard,ref1011_via_lto,0x08011B00,exact,1.000,
0x080113E2,10,send_nkro,ref1011_via_lto,0x08011B0A,exact,1.000,
0x080113EC,10,send_mouse,ref1011_via_lto,0x08011B14,exact,1.000,
0x080113F6,10,send_extra,ref1011_via_lto,0x08011B1E,exact,1.000,
0x08011838,56,usb_endpoint_in_is_inactive,ref1011_via_lto,0x08010D1C,exact,1.000,
0x080118E6,22,usb_get_report,ref1011_via_lto,0x08010A82,exact,1.000,
0x080118FC,28,usb_reset_report,ref1011_via_lto,0x08010A22,exact,1.000,
0x08011954,28,usb_shared_get_report,ref1011_via_lto,0x08010ABC,exact,1.000,
0x08011970,38,usb_shared_reset_report,ref1011_via_lto,0x08010A3E,exact,1.000,
0x080119F0,28,usb_set_idle_rate,ref1011_via_lto,0x08010190,exact,1.000,
0x08011A0C,12,usb_get_idle_rate,ref1011_via_lto,0x080101AC,exact,1.000,
0x08011A64,36,usb_shared_set_idle_rate,ref1011_via_lto,0x08010208,exact,1.000,
0x08011A88,22,usb_shared_get_idle_rate,ref1011_via_lto,0x0801022C,exact,1.000,
0x08011CFC,2,__cpu_init,ref1011_via_lto,0x0800A7E0,exact-ambiguous,1.000,tiny body placed (vote) ; ambiguous body {__aeabi_idiv0|__aeabi_ldiv0|__cpu_init|__late_init|__malloc_lock|__malloc_unlock|_fini|dummy_cb|wireless_enter_bluetooth_pin_code_entry_kb} resolved by caller: bl from _crt0_entry@0x08008000+0x64 ; same body also matches: __aeabi_idiv0|__aeabi_ldiv0|__late_init|__malloc_lock|__malloc_unlock|_fini|dummy_cb|wireless_enter_bluetooth_pin_code_entry_kb ; xrefs: _crt0_entry@0x08008000(bl)
0x08011CFE,2,__late_init,ref1011_via_lto,0x08010D54,exact-ambiguous,1.000,tiny body placed (vote) ; ambiguous body {__aeabi_idiv0|__aeabi_ldiv0|__cpu_init|__late_init|__malloc_lock|__malloc_unlock|_fini|dummy_cb|wireless_enter_bluetooth_pin_code_entry_kb} resolved by caller: bl from bloop@0x080080A6+0xE ; same body also matches: __aeabi_idiv0|__aeabi_ldiv0|__cpu_init|__malloc_lock|__malloc_unlock|_fini|dummy_cb|wireless_enter_bluetooth_pin_code_entry_kb ; xrefs: bloop@0x080080A6(bl)
0x08011D04,82,__init_ram_areas,ref1011_via_lto,0x08010D58,fuzzy-anchored,0.706,call-anchored: bl from bloop@0x080080A6+0xA ; xrefs: bloop@0x080080A6(bl)
0x08011DAE,12,chSysGetStatusAndLockX.part.0,ref1011_via_lto,0x08010DD8,exact,1.000,
0x08011DBA,30,chSysRestoreStatusX,ref1011_via_lto,0x08011834,exact,1.000,
0x08011DD8,20,chSysPolledDelayX,ref1011_via_lto,0x08010DB0,exact,1.000,xrefs: otg_txfifo_flush.isra.0@0x08013D5E(b)
0x0801204C,28,__sch_ready_behind.isra.0,ref1011_via_lto,0x08010DE4,exact,1.000,xrefs: __sch_wakeup@0x08012084(bl~)
0x08012084,68,__sch_wakeup,ref1011_via_lto,0x08010E00,fuzzy,0.945,
0x080120CC,28,chSchGoSleepS,ref1011_via_lto,0x08010B94,exact,1.000,
0x08012164,24,chSchRescheduleS,ref1011_via_lto,0x0801181C,exact,1.000,xrefs: chSysRestoreStatusX@0x08011DBA(bl)
0x0801217C,4,__idle_thread.lto_priv.0,ref1011_via_lto,0x0801029C,exact,1.000,tiny body placed (adjacent)
0x0801228E,24,chThdSleep,ref1011_via_lto,0x08011B4C,exact,1.000,xrefs: spi_init@0x08010E58(bl)
0x080122C4,18,chThdResumeI,ref1011_via_lto,0x08010EB4,exact,1.000,xrefs: otg_epout_handler.constprop.0@0x08014150(bl~)
0x0801230E,28,chThdDequeueAllI.constprop.0,ref1011_via_lto,0x08011568,fuzzy,0.923,
0x0801232A,30,ch_sch_prio_insert,ref1011_via_lto,0x080102A0,exact,1.000,
0x08012428,32,SVC_Handler,ref1011_via_lto,0x08011B64,exact,1.000,xrefs: _vectors@0x0800002C(vec)
0x08012490,84,__port_irq_epilogue,ref1011_via_lto,0x08010BD4,fuzzy-anchored,0.580,call-anchored: b.w from VectorE0@0x0801321C+0x64 ; xrefs: VectorE0@0x0801321C(b) Vector48@0x0801475C(b) Vector9C@0x080131B8(b) VectorE4@0x080147FC(b) ...
0x080126BA,24,obqResetI,ref1011_via_lto,0x08011586,fuzzy,0.900,
0x0801273E,38,obqPostFullBufferS,ref1011_via_lto,0x080102BE,exact,1.000,
0x0801284C,26,flashGetSectorOffset,ref1011_via_lto,0x08011B84,exact,1.000,xrefs: efl_lld_verify_erase@0x080136A8(bl~)
0x08012866,26,flashGetSectorSize,ref1011_via_lto,0x08011B9E,exact,1.000,xrefs: efl_lld_verify_erase@0x080136A8(bl~)
0x0801297A,28,spiSelect,ref1011_via_lto,0x08011D34,fuzzy,0.917,xrefs: spi_start@0x08010ECC(bl~)
0x08012996,28,spiUnselect,ref1011_via_lto,0x08011D4E,fuzzy-anchored,0.880,call-anchored: bl from spi_stop@0x08010FC8+0xA ; xrefs: spi_stop@0x08010FC8(bl)
0x080130F0,40,Vector58,ref1011_via_lto,0x08012054,exact,1.000,xrefs: _vectors@0x08000058(vec)
0x08013118,40,Vector5C,ref1011_via_lto,0x0801207C,exact,1.000,xrefs: _vectors@0x0800005C(vec)
0x08013140,40,Vector60,ref1011_via_lto,0x080120A4,exact,1.000,xrefs: _vectors@0x08000060(vec)
0x08013168,40,Vector64,ref1011_via_lto,0x080120CC,exact,1.000,xrefs: _vectors@0x08000064(vec)
0x08013190,40,Vector68,ref1011_via_lto,0x080120F4,exact,1.000,xrefs: _vectors@0x08000068(vec)
0x080131B8,100,Vector9C,ref1011_via_lto,0x0801211C,exact,1.000,xrefs: _vectors@0x0800009C(vec)
0x0801321C,112,VectorE0,ref1011_via_lto,0x08012180,exact,1.000,xrefs: _vectors@0x080000E0(vec)
0x08013388,248,stm32_clock_init,ref1011_via_lto,0x080122CC,exact,1.000,
0x08013480,40,stm32_flash_check_errors,ref1011_via_lto,0x08010300,fuzzy-anchored,0.872,call-anchored: bl from efl_lld_query_erase@0x08013678+0x1A ; xrefs: efl_lld_query_erase@0x08013678(bl) efl_lld_program@0x0801356A(bl~)
0x0801356A,188,efl_lld_program,ref1011_via_lto,0x0801032A,fuzzy,0.877,
0x08013670,4,_close_r|_lseek_r|null_sendchar_func|sendchar,ref1011_via_lto,0x08008C0C,exact-ambiguous,1.000,tiny body placed (adjacent) ; identical body for: _close_r|_lseek_r|null_sendchar_func|sendchar
0x08013674,4,_getpid|_isatty_r,ref1011_via_lto,0x0801319A,exact-ambiguous,1.000,tiny body placed (adjacent) ; identical body for: _getpid|_isatty_r
0x08013678,48,efl_lld_query_erase,ref1011_via_lto,0x0801042A,exact,1.000,
0x080136A8,72,efl_lld_verify_erase,ref1011_via_lto,0x08011BB8,fuzzy,0.984,
0x080136F0,40,Vector6C,ref1011_via_lto,0x080124B8,exact,1.000,xrefs: _vectors@0x0800006C(vec)
0x08013718,44,Vector70,ref1011_via_lto,0x080124E0,fuzzy-anchored,0.649,call-anchored: vector slot 0x70 ; xrefs: _vectors@0x08000070(vec)
0x08013744,44,Vector74,ref1011_via_lto,0x0801250C,fuzzy-anchored,0.649,call-anchored: vector slot 0x74 ; xrefs: _vectors@0x08000074(vec)
0x08013770,44,Vector78,ref1011_via_lto,0x08012538,fuzzy-anchored,0.727,call-anchored: vector slot 0x78 ; xrefs: _vectors@0x08000078(vec)
0x0801379C,40,Vector7C,ref1011_via_lto,0x08012564,exact,1.000,xrefs: _vectors@0x0800007C(vec)
