dump_addr,size,ref_symbol,ref_elf,ref_addr,match_type,score,notes
0x0800EB90,100,rgb_matrix_init,ref1011_via,0x0800EAB4,fuzzy-anchored,0.842,call-anchored: b.w from quantum_init@0x0800C63E+0xE ; xrefs: quantum_init@0x0800C63E(b) factory_test_task@0x0800AE40(bl~)
0x0800EBF4,32,rgb_matrix_disable_noeeprom,ref1011_via,0x0800EB18,fuzzy-anchored,0.923,call-anchored: b.w from indicator_stop@0x08009754+0x1E ; xrefs: indicator_stop@0x08009754(b)
0x0800EC14,16,rgb_matrix_is_enabled,ref1011_via,0x0800EB38,exact,1.000,xrefs: bat_level_animiation_update@0x0800A738(bl) led_update_kb@0x08009CB4(bl) led_update_kb@0x08009CB4(bl) via_qmk_rgb_matrix_get_value@0x08010650(bl) ...
0x0800EC9C,32,rgb_matrix_step_reverse_helper,ref1011_via,0x0800EBCC,exact,1.000,
0x0800ECBC,6,oneshot_enable|rgb_matrix_decrease_hue|rgb_matrix_decrease_sat|rgb_matrix_decrease_speed|rgb_matrix_decrease_val|rgb_matrix_increase_hue|rgb_matrix_increase_sat|rgb_matrix_increase_speed|rgb_matrix_increase_val|rgb_matrix_step|rgb_matrix_step_reverse|rgb_matrix_toggle,ref1011_via,0x0800C360,exact-ambiguous,1.000,tiny body placed (adjacent) ; identical body for: oneshot_enable|rgb_matrix_decrease_hue|rgb_matrix_decrease_sat|rgb_matrix_decrease_speed|rgb_matrix_decrease_val|rgb_matrix_increase_hue|rgb_matrix_increase_sat|rgb_matrix_increase_speed|rgb_matrix_increase_val|rgb_matrix_step|rgb_matrix_step_reverse|rgb_matrix_toggle
0x0800ECC4,36,rgb_matrix_sethsv_eeprom_helper,ref1011_via,0x0800EBF4,fuzzy-anchored,0.774,call-anchored: bl from rgb_matrix_decrease_val_helper@0x0800EE7C+0x16 ; xrefs: rgb_matrix_decrease_val_helper@0x0800EE7C(bl) rgb_matrix_increase_hue_helper@0x0800ED14(b)
0x0800ECF0,12,rgb_matrix_get_hue,ref1011_via,0x0800EC1C,exact,1.000,xrefs: via_qmk_rgb_matrix_get_value@0x08010650(bl)
0x0800ECFC,12,rgb_matrix_get_sat,ref1011_via,0x0800EC28,exact,1.000,xrefs: via_qmk_rgb_matrix_get_value@0x08010650(bl)
0x0800ED08,12,rgb_matrix_get_val,ref1011_via,0x0800EC34,exact,1.000,xrefs: via_qmk_rgb_matrix_get_value@0x08010650(bl)
0x0800ED14,20,rgb_matrix_increase_hue_helper,ref1011_via,0x0800EC40,exact,1.000,
0x0800ED28,6,oneshot_enable|rgb_matrix_decrease_hue|rgb_matrix_decrease_sat|rgb_matrix_decrease_speed|rgb_matrix_decrease_val|rgb_matrix_increase_hue|rgb_matrix_increase_sat|rgb_matrix_increase_speed|rgb_matrix_increase_val|rgb_matrix_step|rgb_matrix_step_reverse|rgb_matrix_toggle,ref1011_via,0x0800C360,exact-ambiguous,1.000,tiny body placed (adjacent) ; identical body for: oneshot_enable|rgb_matrix_decrease_hue|rgb_matrix_decrease_sat|rgb_matrix_decrease_speed|rgb_matrix_decrease_val|rgb_matrix_increase_hue|rgb_matrix_increase_sat|rgb_matrix_increase_speed|rgb_matrix_increase_val|rgb_matrix_step|rgb_matrix_step_reverse|rgb_matrix_toggle
0x0800EDA8,48,rgb_matrix_increase_val_helper,ref1011_via,0x0800ECD0,fuzzy-anchored,0.842,call-anchored: bl from rgb_matrix_toggle_eeprom_helper@0x0800EDD8+0x28 ; xrefs: rgb_matrix_toggle_eeprom_helper@0x0800EDD8(bl) rgb_matrix_enable_noeeprom@0x0800EE1C(bl) rgb_matrix_enable@0x0800EE50(bl)
0x0800EDD8,56,rgb_matrix_toggle_eeprom_helper,ref1011_via,0x0800ECFC,exact,1.000,xrefs: rgb_matrix_decrease_val_helper@0x0800EE7C(b)
0x0800EE10,6,eeconfig_init_user|encoder0_pad_cb|layer_clear|oneshot_disable|quantum_task|rgb_matrix_toggle_noeeprom,ref1011_via,0x0800AA62,exact-ambiguous,1.000,tiny body placed (adjacent) ; identical body for: eeconfig_init_user|encoder0_pad_cb|layer_clear|oneshot_disable|quantum_task|rgb_matrix_toggle_noeeprom
0x0800EE16,6,oneshot_enable|rgb_matrix_decrease_hue|rgb_matrix_decrease_sat|rgb_matrix_decrease_speed|rgb_matrix_decrease_val|rgb_matrix_increase_hue|rgb_matrix_increase_sat|rgb_matrix_increase_speed|rgb_matrix_increase_val|rgb_matrix_step|rgb_matrix_step_reverse|rgb_matrix_toggle,ref1011_via,0x0800C360,exact-ambiguous,1.000,tiny body placed (adjacent) ; identical body for: oneshot_enable|rgb_matrix_decrease_hue|rgb_matrix_decrease_sat|rgb_matrix_decrease_speed|rgb_matrix_decrease_val|rgb_matrix_increase_hue|rgb_matrix_increase_sat|rgb_matrix_increase_speed|rgb_matrix_increase_val|rgb_matrix_step|rgb_matrix_step_reverse|rgb_matrix_toggle
0x0800EE1C,52,rgb_matrix_enable_noeeprom,ref1011_via,0x0800ED40,exact,1.000,xrefs: rgb_matrix_enable@0x0800EE50(bl) indicator_enable@0x080096E4(b)
0x0800EE50,36,rgb_matrix_enable,ref1011_via,0x0800ED74,exact,1.000,xrefs: factory_test_task@0x0800AE40(bl~) factory_test_task@0x0800AE40(bl~)
0x0800EE74,6,oneshot_enable|rgb_matrix_decrease_hue|rgb_matrix_decrease_sat|rgb_matrix_decrease_speed|rgb_matrix_decrease_val|rgb_matrix_increase_hue|rgb_matrix_increase_sat|rgb_matrix_increase_speed|rgb_matrix_increase_val|rgb_matrix_step|rgb_matrix_step_reverse|rgb_matrix_toggle,ref1011_via,0x0800C360,exact-ambiguous,1.000,tiny body placed (adjacent) ; identical body for: oneshot_enable|rgb_matrix_decrease_hue|rgb_matrix_decrease_sat|rgb_matrix_decrease_speed|rgb_matrix_decrease_val|rgb_matrix_increase_hue|rgb_matrix_increase_sat|rgb_matrix_increase_speed|rgb_matrix_increase_val|rgb_matrix_step|rgb_matrix_step_reverse|rgb_matrix_toggle
0x0800EE7C,56,rgb_matrix_decrease_val_helper,ref1011_via,0x0800EDA0,exact,1.000,
0x0800EEB4,6,oneshot_enable|rgb_matrix_decrease_hue|rgb_matrix_decrease_sat|rgb_matrix_decrease_speed|rgb_matrix_decrease_val|rgb_matrix_increase_hue|rgb_matrix_increase_sat|rgb_matrix_increase_speed|rgb_matrix_increase_val|rgb_matrix_step|rgb_matrix_step_reverse|rgb_matrix_toggle,ref1011_via,0x0800C360,exact-ambiguous,1.000,tiny body placed (adjacent) ; identical body for: oneshot_enable|rgb_matrix_decrease_hue|rgb_matrix_decrease_sat|rgb_matrix_decrease_speed|rgb_matrix_decrease_val|rgb_matrix_increase_hue|rgb_matrix_increase_sat|rgb_matrix_increase_speed|rgb_matrix_increase_val|rgb_matrix_step|rgb_matrix_step_reverse|rgb_matrix_toggle
0x0800EEBC,16,rgb_matrix_set_speed_noeeprom,ref1011_via,0x0800EDE0,exact,1.000,
0x0800EECC,12,rgb_matrix_get_speed,ref1011_via,0x0800EDF0,exact,1.000,xrefs: via_qmk_rgb_matrix_get_value@0x08010650(bl)
0x0800EED8,24,rgb_matrix_increase_speed_helper,ref1011_via,0x0800EDFC,exact,1.000,
