dump_addr,size,ref_symbol,ref_elf,ref_addr,match_type,score,notes
0x0800E06E,4,_getpid|_isatty_r|dip_switch_update_mask_user|is_keyboard_master|led_update_user|matrix_can_read|pre_process_record_user|process_action_kb|process_record_keychron_kb|rgb_matrix_indicators_advanced_user|rgb_matrix_indicators_user|shutdown_user,ref1011_via,0x0800A9EC,exact-ambiguous,1.000,tiny body placed (adjacent) ; identical body for: _getpid|_isatty_r|dip_switch_update_mask_user|is_keyboard_master|led_update_user|matrix_can_read|pre_process_record_user|process_action_kb|process_record_keychron_kb|rgb_matrix_indicators_advanced_user|rgb_matrix_indicators_user|shutdown_user
0x0800E178,12,BAND_SPIRAL_VAL|CYCLE_ALL|CYCLE_LEFT_RIGHT|CYCLE_OUT_IN|CYCLE_OUT_IN_DUAL|CYCLE_PINWHEEL|CYCLE_SPIRAL|CYCLE_UP_DOWN|DUAL_BEACON|RAINBOW_BEACON|RAINBOW_MOVING_CHEVRON|SOLID_REACTIVE_SIMPLE,ref1011_via,0x0800E038,exact-ambiguous,1.000,identical body for: BAND_SPIRAL_VAL|CYCLE_ALL|CYCLE_LEFT_RIGHT|CYCLE_OUT_IN|CYCLE_OUT_IN_DUAL|CYCLE_PINWHEEL|CYCLE_SPIRAL|CYCLE_UP_DOWN|DUAL_BEACON|RAINBOW_BEACON|RAINBOW_MOVING_CHEVRON|SOLID_REACTIVE_SIMPLE
0x0800E184,12,BAND_SPIRAL_VAL|CYCLE_ALL|CYCLE_LEFT_RIGHT|CYCLE_OUT_IN|CYCLE_OUT_IN_DUAL|CYCLE_PINWHEEL|CYCLE_SPIRAL|CYCLE_UP_DOWN|DUAL_BEACON|RAINBOW_BEACON|RAINBOW_MOVING_CHEVRON|SOLID_REACTIVE_SIMPLE,ref1011_via,0x0800E038,exact-ambiguous,1.000,identical body for: BAND_SPIRAL_VAL|CYCLE_ALL|CYCLE_LEFT_RIGHT|CYCLE_OUT_IN|CYCLE_OUT_IN_DUAL|CYCLE_PINWHEEL|CYCLE_SPIRAL|CYCLE_UP_DOWN|DUAL_BEACON|RAINBOW_BEACON|RAINBOW_MOVING_CHEVRON|SOLID_REACTIVE_SIMPLE
0x0800E190,12,BAND_SPIRAL_VAL|CYCLE_ALL|CYCLE_LEFT_RIGHT|CYCLE_OUT_IN|CYCLE_OUT_IN_DUAL|CYCLE_PINWHEEL|CYCLE_SPIRAL|CYCLE_UP_DOWN|DUAL_BEACON|RAINBOW_BEACON|RAINBOW_MOVING_CHEVRON|SOLID_REACTIVE_SIMPLE,ref1011_via,0x0800E038,exact-ambiguous,1.000,identical body for: BAND_SPIRAL_VAL|CYCLE_ALL|CYCLE_LEFT_RIGHT|CYCLE_OUT_IN|CYCLE_OUT_IN_DUAL|CYCLE_PINWHEEL|CYCLE_SPIRAL|CYCLE_UP_DOWN|DUAL_BEACON|RAINBOW_BEACON|RAINBOW_MOVING_CHEVRON|SOLID_REACTIVE_SIMPLE
0x0800E254,12,BAND_SPIRAL_VAL|CYCLE_ALL|CYCLE_LEFT_RIGHT|CYCLE_OUT_IN|CYCLE_OUT_IN_DUAL|CYCLE_PINWHEEL|CYCLE_SPIRAL|CYCLE_UP_DOWN|DUAL_BEACON|RAINBOW_BEACON|RAINBOW_MOVING_CHEVRON|SOLID_REACTIVE_SIMPLE,ref1011_via,0x0800E038,exact-ambiguous,1.000,identical body for: BAND_SPIRAL_VAL|CYCLE_ALL|CYCLE_LEFT_RIGHT|CYCLE_OUT_IN|CYCLE_OUT_IN_DUAL|CYCLE_PINWHEEL|CYCLE_SPIRAL|CYCLE_UP_DOWN|DUAL_BEACON|RAINBOW_BEACON|RAINBOW_MOVING_CHEVRON|SOLID_REACTIVE_SIMPLE
0x0800E260,12,BAND_SPIRAL_VAL|CYCLE_ALL|CYCLE_LEFT_RIGHT|CYCLE_OUT_IN|CYCLE_OUT_IN_DUAL|CYCLE_PINWHEEL|CYCLE_SPIRAL|CYCLE_UP_DOWN|DUAL_BEACON|RAINBOW_BEACON|RAINBOW_MOVING_CHEVRON|SOLID_REACTIVE_SIMPLE,ref1011_via,0x0800E038,exact-ambiguous,1.000,identical body for: BAND_SPIRAL_VAL|CYCLE_ALL|CYCLE_LEFT_RIGHT|CYCLE_OUT_IN|CYCLE_OUT_IN_DUAL|CYCLE_PINWHEEL|CYCLE_SPIRAL|CYCLE_UP_DOWN|DUAL_BEACON|RAINBOW_BEACON|RAINBOW_MOVING_CHEVRON|SOLID_REACTIVE_SIMPLE
0x0800E304,12,BAND_SPIRAL_VAL|CYCLE_ALL|CYCLE_LEFT_RIGHT|CYCLE_OUT_IN|CYCLE_OUT_IN_DUAL|CYCLE_PINWHEEL|CYCLE_SPIRAL|CYCLE_UP_DOWN|DUAL_BEACON|RAINBOW_BEACON|RAINBOW_MOVING_CHEVRON|SOLID_REACTIVE_SIMPLE,ref1011_via,0x0800E038,exact-ambiguous,1.000,identical body for: BAND_SPIRAL_VAL|CYCLE_ALL|CYCLE_LEFT_RIGHT|CYCLE_OUT_IN|CYCLE_OUT_IN_DUAL|CYCLE_PINWHEEL|CYCLE_SPIRAL|CYCLE_UP_DOWN|DUAL_BEACON|RAINBOW_BEACON|RAINBOW_MOVING_CHEVRON|SOLID_REACTIVE_SIMPLE
0x0800E310,12,BAND_SPIRAL_VAL|CYCLE_ALL|CYCLE_LEFT_RIGHT|CYCLE_OUT_IN|CYCLE_OUT_IN_DUAL|CYCLE_PINWHEEL|CYCLE_SPIRAL|CYCLE_UP_DOWN|DUAL_BEACON|RAINBOW_BEACON|RAINBOW_MOVING_CHEVRON|SOLID_REACTIVE_SIMPLE,ref1011_via,0x0800E038,exact-ambiguous,1.000,identical body for: BAND_SPIRAL_VAL|CYCLE_ALL|CYCLE_LEFT_RIGHT|CYCLE_OUT_IN|CYCLE_OUT_IN_DUAL|CYCLE_PINWHEEL|CYCLE_SPIRAL|CYCLE_UP_DOWN|DUAL_BEACON|RAINBOW_BEACON|RAINBOW_MOVING_CHEVRON|SOLID_REACTIVE_SIMPLE
0x0800E31C,12,BAND_SPIRAL_VAL|CYCLE_ALL|CYCLE_LEFT_RIGHT|CYCLE_OUT_IN|CYCLE_OUT_IN_DUAL|CYCLE_PINWHEEL|CYCLE_SPIRAL|CYCLE_UP_DOWN|DUAL_BEACON|RAINBOW_BEACON|RAINBOW_MOVING_CHEVRON|SOLID_REACTIVE_SIMPLE,ref1011_via,0x0800E038,exact-ambiguous,1.000,identical body for: BAND_SPIRAL_VAL|CYCLE_ALL|CYCLE_LEFT_RIGHT|CYCLE_OUT_IN|CYCLE_OUT_IN_DUAL|CYCLE_PINWHEEL|CYCLE_SPIRAL|CYCLE_UP_DOWN|DUAL_BEACON|RAINBOW_BEACON|RAINBOW_MOVING_CHEVRON|SOLID_REACTIVE_SIMPLE
0x0800E328,12,BAND_SPIRAL_VAL|CYCLE_ALL|CYCLE_LEFT_RIGHT|CYCLE_OUT_IN|CYCLE_OUT_IN_DUAL|CYCLE_PINWHEEL|CYCLE_SPIRAL|CYCLE_UP_DOWN|DUAL_BEACON|RAINBOW_BEACON|RAINBOW_MOVING_CHEVRON|SOLID_REACTIVE_SIMPLE,ref1011_via,0x0800E038,exact-ambiguous,1.000,identical body for: BAND_SPIRAL_VAL|CYCLE_ALL|CYCLE_LEFT_RIGHT|CYCLE_OUT_IN|CYCLE_OUT_IN_DUAL|CYCLE_PINWHEEL|CYCLE_SPIRAL|CYCLE_UP_DOWN|DUAL_BEACON|RAINBOW_BEACON|RAINBOW_MOVING_CHEVRON|SOLID_REACTIVE_SIMPLE
