start,size,kind,fn_starts,suggested_names,callers,callees
0x080104D0,120,code,,0x080104D0=process_tri_layer,0x080104D0<-process_record_quantum@0x0800B2E0(bl~),0x080104EE->get_mods|get_transport|get_tri_layer_adjust_layer|get_tri_layer_lower_layer|get_tri_layer_upper_layer|keyboard_leds|rgb_matrix_is_driver_shutdown|wireless_get_state 0x080104F2->layer_on 0x080104F6->get_mods|get_transport|get_tri_layer_adjust_layer|get_tri_layer_lower_layer|get_tri_layer_upper_layer|keyboard_leds|rgb_matrix_is_driver_shutdown|wireless_get_state 0x080104FC->get_mods|get_transport|get_tri_layer_adjust_layer|get_tri_layer_lower_layer|get_tri_layer_upper_layer|keyboard_leds|rgb_matrix_is_driver_shutdown|wireless_get_state 0x08010502->get_mods|get_transport|get_tri_layer_adjust_layer|get_tri_layer_lower_layer|get_tri_layer_upper_layer|keyboard_leds|rgb_matrix_is_driver_shutdown|wireless_get_state 0x0801050C->update_tri_layer 0x08010514->get_mods|get_transport|get_tri_layer_adjust_layer|get_tri_layer_lower_layer|get_tri_layer_upper_layer|keyboard_leds|rgb_matrix_is_driver_shutdown|wireless_get_state 0x08010518->layer_off 0x0801051C->get_mods|get_transport|get_tri_layer_adjust_layer|get_tri_layer_lower_layer|get_tri_layer_upper_layer|keyboard_leds|rgb_matrix_is_driver_shutdown|wireless_get_state 0x08010522->get_mods|get_transport|get_tri_layer_adjust_layer|get_tri_layer_lower_layer|get_tri_layer_upper_layer|keyboard_leds|rgb_matrix_is_driver_shutdown|wireless_get_state 0x08010528->get_mods|get_transport|get_tri_layer_adjust_layer|get_tri_layer_lower_layer|get_tri_layer_upper_layer|keyboard_leds|rgb_matrix_is_driver_shutdown|wireless_get_state 0x08010532->update_tri_layer 0x0801053C->get_mods|get_transport|get_tri_layer_adjust_layer|get_tri_layer_lower_layer|get_tri_layer_upper_layer|keyboard_leds|rgb_matrix_is_driver_shutdown|wireless_get_state 0x08010542->get_mods|get_transport|get_tri_layer_adjust_layer|get_tri_layer_lower_layer|get_tri_layer_upper_layer|keyboard_leds|rgb_matrix_is_driver_shutdown|wireless_get_state
0x0801068E,118,code,,,,0x080106A2->rgb_matrix_get_hue 0x080106A8->rgb_matrix_get_sat 0x080106D2->rgb_matrix_enable_noeeprom 0x080106F4->rgb_matrix_get_val 0x080106C0->0x0800ECE8 0x080106CE->rgb_matrix_disable_noeeprom 0x080106DE->0x0800EC60 0x080106EA->rgb_matrix_set_speed_noeeprom
0x080109C0,176,code,0x08010A0C,0x080109C0=has_anykey 0x08010A0C=is_key_pressed,0x080109C0<-get_mods_for_report@0x0800C2E4(bl~) 0x08010A0C<-register_code@0x0800B4A8(bl),
0x08010FEE,286,code,0x08010FF0,,,0x0801101A->0x08011998 0x0801103C->usb_get_idle_cb 0x0801109A->usb_set_idle_cb
0x08011290,184,code,0x0801129E 0x080112A8 0x080112C2 0x080112E0 0x080112F4 0x080112FC,,,0x080112BC->usb_device_state_set_suspend 0x080112CA->suspend_wakeup_init 0x080112DA->0x08010C1C 0x080112EE->0x08010BF0 0x080112FE->usb_device_state_set_reset
0x0801159A,58,code,,,,0x080115C6->obqObjectInit
0x080118BC,42,code,,,,0x080118C8->stGetCounter 0x080118DE->memcpy
0x08011996,90,code,0x08011998,,,
0x08011A18,76,code,,,,0x08011A38->stGetCounter 0x08011A4E->__aeabi_uldivmod
0x08011A9E,90,code,0x08011AA0,,,0x08011ACC->stGetCounter 0x08011AE2->__aeabi_uldivmod
0x08011EB4,100,code,0x08011F04,0x08011F04=chVTDoSetI,0x08011F04<-chSchGoSleepTimeoutS@0x080120E8(bl~),0x08011EBA->stGetCounter 0x08011EEA->vt_set_alarm 0x08011ED4->vt_insert_first.constprop.0 0x08011EF8->ch_dlist_insert
0x08012606,134,code,,0x08012606=ibqReadTimeout,0x08012606<-usb_endpoint_out_receive@0x08011870(bl~),0x08012626->ibqGetFullBufferTimeoutS 0x0801264E->memcpy 0x08012666->ibqReleaseEmptyBufferS 0x0801267C->memcpy
0x08012764,138,code,,0x08012764=obqWriteTimeout,0x08012764<-usb_endpoint_in_send@0x08011796(bl~),0x08012784->obqGetEmptyBufferTimeoutS 0x080127AC->memcpy 0x080127C8->obqPostFullBufferS 0x080127DE->memcpy
0x0801280E,62,code,0x08012810,,,0x0801283A->__aeabi_uldivmod 0x0801283E->chThdSleep
0x08012A5E,84,code,,0x08012A5E=usbStop,0x08012A5E<-pre_enter_low_power_mode@0x0800A078(bl~),0x08012A6A->usb_lld_stop 0x08012A8A->chThdResumeI 0x08012A9C->chThdResumeI 0x08012AA8->chSchRescheduleS
0x08012AE4,78,code,,,,0x08012B0A->chThdResumeI 0x08012B1C->chThdResumeI 0x08012B2E->0x08014084
0x08012BB8,116,code,,0x08012BB8=_usb_reset,0x08012BB8<-Vector14C@0x080143A0(bl~),0x08012BEC->chThdResumeI 0x08012BFE->chThdResumeI 0x08012C14->usb_lld_reset
0x08012CA2,714,code,0x08012CA4,,,0x08012CBA->usb_lld_read_setup 0x08012CD2->usb_lld_stall_in 0x08012CDA->usb_lld_stall_out 0x08012D36->usbStartTransmitI 0x08012E2E->usb_lld_set_address 0x08012E62->0x08012AE4 0x08012EAA->0x080140A8 0x08012EC0->0x0801408E 0x08012EE0->usb_lld_clear_in 0x08012EE6->usb_lld_clear_out 0x08012F06->usb_lld_stall_in 0x08012F0C->usb_lld_stall_out 0x08012F24->usbStartReceiveI 0x08012F42->usbStartReceiveI 0x08012F5A->usbStartTransmitI
0x0801353C,46,code,,,,0x0801355A->memcpy
0x08013678,48,code,,,,0x08013692->stm32_flash_check_errors
0x080139E4,176,code,,0x080139E4=dmaStreamAllocI,0x080139E4<-spi_lld_start@0x08014C68(bl~) 0x080139E4<-spi_lld_start@0x08014C68(bl~),0x08013A7A->nvicEnableVector
0x08013AEC,108,code,,,,
0x08014084,62,code,0x0801408E 0x080140A8,,,0x0801408A->otg_disable_ep
0x08014200,140,code,,0x08014200=usb_lld_start_in,0x08014200<-otg_epin_handler.constprop.0@0x0801428C(bl~),
0x080146F8,42,code,,,,
0x08014848,340,code,0x080148C0,,,0x0801484E->rtcObjectInit 0x08014866->rtc_enter_init 0x0801488C->0x08013AEC 0x08014894->nvicEnableVector 0x0801489C->nvicEnableVector 0x08014964->chSysGetStatusAndLockX 0x08014968->rtc_enter_init 0x080148A8->nvicEnableVector 0x08014994->chSysRestoreStatusX
0x080150C4,420,code,0x08015104 0x080151EC,0x080151EC=rand,0x080151EC<-DIGITAL_RAIN@0x0800DDE8(bl~),0x080150D0->_sbrk_r 0x080150DA->_sbrk_r 0x080150F0->_sbrk_r 0x0801512E->0x080153D4 0x0801513C->0x080150C4 0x08015158->_sbrk_r 0x08015176->0x080150C4 0x080151AA->0x080153E0 0x080151DC->0x080153E0 0x080151F8->free|malloc|raise 0x08015208->__assert_func
