start,size,kind,fn_starts,suggested_names,callers,callees
0x08012BC4,32,code,,0x08012BC4=send_report.isra.0,0x08012BC4<-send_keyboard@0x08012BE4(b) 0x08012BC4<-send_nkro@0x08012BEE(b) 0x08012BC4<-send_mouse@0x08012BF8(b),0x08012BD6->0x08012FA2
0x08012C0C,1076,code,0x08012C1C 0x08012C44 0x08012C48 0x08012C4A 0x08012C4C 0x08012C5C 0x08012C68 0x08012C6C 0x08012C98 0x08012CA4 0x08012CA8 0x08012CB8 0x08012D30 0x08012D6A 0x08012DA0 0x08012DA8 0x08012DE0 0x08012E08 0x08012E28 0x08012E46 0x08012E6E 0x08012E88 0x08012E8E 0x08012E94 ...,0x08012C0C=raw_hid_send.part.0 0x08012C4C=__early_init,0x08012C0C<-factory_test_send@0x0800CB44(bl~) 0x08012C4C<-_crt0_entry@0x08008000(bl),0x08012C2A->0x08013078 0x08012C38->0x0800C908 0x08012C4E->0x08012C44 0x08012C52->0x08016608 0x08012C56->0x08012C48 0x08012C5E->__aeabi_idiv0|__aeabi_ldiv0|__cpu_init|__late_init|__malloc_lock|__malloc_unlock|_fini|dummy_cb|td0_reset|wireless_enter_bluetooth_pin_code_entry_kb 0x08012C62->0x08012C4A 0x08012C6E->usb_event_queue_init 0x08012C74->0x08012B50 0x08012CAA->0x08012C1C 0x08012D50->0x08013EBA 0x08012D62->0x08014334 0x08012D84->0x08013D68 0x08012DD2->0x08013E74 0x08012DFA->0x08013D24 0x08012E52->chThdDequeueAllI.constprop.0
0x08013078,114,code,0x080130C4,,,0x080130AE->0x08013DF2 0x080130D0->0x08013CFA 0x080130E4->0x0800883C
0x0801311C,60,code,,,,0x08013138->0x08013CFA 0x08013150->0x0800883C
0x0801319A,90,code,0x0801319C,,,
0x0801321C,80,code,,,,0x0801323C->0x08013CFA 0x08013256->__aeabi_uldivmod
0x080132A6,582,code,0x080132A8 0x08013304 0x080133F8 0x08013448 0x08013494 0x080134AC 0x080134D8,,,0x080132D4->0x08013CFA 0x080132EE->__aeabi_uldivmod 0x0801334A->usb_endpoint_in_is_inactive 0x08013376->0x08012BC4 0x080133AA->usb_endpoint_in_is_inactive 0x080133E6->0x08012BC4 0x080134E0->0x080134AC
0x08013546,88,code,0x0801354C 0x0801357C 0x08013594 0x08013598,,,0x08013558->0x08013494 0x08013560->0x0801396C 0x08013594->0x08013774 0x0801359C->chSysGetStatusAndLockX.part.0+0xA
0x080135DC,604,code,0x080135EC 0x08013616 0x080136F4 0x08013708 0x08013774,,,0x08013626->0x08013D1C 0x0801362A->0x08013CFA 0x0801366E->0x08013D02 0x08013674->0x08013CFA 0x08013684->0x08013D1C 0x080136AA->0x08013CFA 0x080136DA->0x08013616 0x08013752->0x08013CFA 0x08013786->0x08013CFA 0x080137B2->0x08013D12 0x080137CE->0x08013CFA 0x080137E0->0x080135DC 0x0801380C->0x080135EC 0x08013746->0x08013D12
0x080138D4,124,code,0x08013928,0x080138D4=chSchGoSleepTimeoutS 0x08013928=chSchDoPreemption,0x080138D4<-chThdSleep@0x08013A7A(bl) 0x08013928<-chSchRescheduleS@0x08013950(b),0x080138E8->0x080136F4 0x080138EE->chSchGoSleepS 0x080138F8->0x08013708 0x08013902->chSchGoSleepS 0x0801393C->0x08013854 0x08013948->__port_switch
0x0801396C,270,code,0x080139EC 0x08013A00 0x08013A50 0x08013A70,0x08013A70=chThdExit,0x08013A70<-__port_thread_start@0x0800813C(bl),0x0801397E->0x08013C34 0x0801399A->0x08013CFA 0x080139B2->0x080139EC 0x080139D2->0x08013A50 0x08013A52->0x08013A00 0x08013A5A->0x080138B4 0x08013A68->chSchGoSleepS
0x08013A92,104,code,0x08013A94 0x08013AB0 0x08013AC4 0x08013AE4,0x08013AB0=chThdResumeI,0x08013AB0<-otg_epout_handler.constprop.0@0x08015910(bl~),0x08013AA0->0x080138D4 0x08013ABC->0x080138B4 0x08013AD6->0x080138D4 0x08013AF4->0x080138B4
0x08013B34,224,code,0x08013B40 0x08013BA4 0x08013BB8,,,0x08013B6A->ch_sch_prio_insert 0x08013B86->0x080138B4 0x08013B8E->ch_sch_prio_insert 0x08013BAC->0x08013B40 0x08013BE6->0x080138B4 0x08013BEA->chSchRescheduleS 0x08013B9A->chSchGoSleepS
0x08013C34,72,code,,,,
0x08013CD0,466,code,0x08013CFA 0x08013D02 0x08013D12 0x08013D1C 0x08013D24 0x08013D52 0x08013D68 0x08013D7C 0x08013D9C 0x08013DCE 0x08013DF2 0x08013E74,,,0x08013CD2->0x08014AB4 0x08013CD6->0x0801531C 0x08013CDA->0x0801408C 0x08013CDE->0x0801410C 0x08013CE2->0x08014200 0x08013CE6->0x080140F4 0x08013CEA->0x08012C5C 0x08013DBE->0x08013AC4 0x08013E12->0x08013D9C 0x08013E3A->0x0800883C 0x08013E50->0x08013DCE 0x08013E66->0x0800883C 0x08013CF6->0x08016578 0x08013D64->chThdDequeueAllI.constprop.0 0x08013D98->0x08013AE4
0x08013EBA,108,code,0x08013ED6 0x08013EF4,,,0x08013F16->0x08013AC4 0x08013EF0->0x08013AE4
0x08013F4C,228,code,0x08013FD2 0x08013FF4,,,0x08013F6C->0x08013EF4 0x08013F94->0x0800883C 0x08013FAE->obqPostFullBufferS 0x08013FC4->0x0800883C 0x08013FE6->obqPostFullBufferS 0x0801401E->__aeabi_uldivmod 0x08014022->chThdSleep
0x08014064,250,code,0x08014074 0x08014080 0x0801408C 0x08014090 0x080140A4 0x080140C0 0x080140DC 0x080140F4 0x080140F8 0x08014104 0x08014108 0x0801410C 0x08014110 0x08014120 0x08014142,0x08014120=spiStart 0x08014142=spiStop,0x08014120<-spi_start@0x080126E8(bl) 0x08014142<-spi_init@0x08012674(bl) 0x08014142<-spi_stop@0x080127D8(bl),0x08014078->0x08013BB8 0x08014084->0x08013BA4 0x080140B0->0x08014CD4 0x080140CA->0x08014CFC 0x0801412C->0x080163F4 0x0801414C->0x080164C0 0x0801408C->0x08014C78 0x0801409A->0x08013B34 0x080140F4->0x08015FE0 0x08014104->0x08016058 0x08014108->0x08016130 0x0801410C->0x080163C8 0x0801411C->0x08013B34
0x08014196,1838,code,0x080141A4 0x080141AC 0x080141BC 0x080141DE 0x08014200 0x08014204 0x0801421C 0x08014242 0x08014294 0x080142C6 0x08014310 0x08014334 0x08014358 0x08014396 0x08014406 0x08014462 0x08014478 0x08014740 0x080147F2 0x0801486A 0x08014896,0x080141DE=spiSend,0x080141DE<-spi_transmit@0x080127C4(bl),0x080141C6->0x08014196 0x080141D2->0x080141AC 0x080141E8->0x080141A4 0x080141F4->0x080141AC 0x08014232->0x08015558 0x0801424E->0x08015624 0x08014270->0x08013AB0 0x08014280->0x08013AB0 0x0801428A->chSchRescheduleS 0x080142AA->0x08008798 0x080142B6->0x08008798 0x080142EC->0x08013AB0 0x080142FC->0x08013AB0 0x08014382->chThdSleep 0x080143CA->0x08013AB0 0x080143DA->0x08013AB0
