dump_addr,size,ref_symbol,ref_elf,ref_addr,match_type,score,notes
0x0801298C,40,usb_event_queue_enqueue.isra.0,"ref1011_default_lto,ref1011_feat_lto",0x0800B514,exact,1.000,
0x08012A74,36,usb_event_queue_init,"ref1011_default_lto,ref1011_feat_lto",0x0800A708,exact,1.000,
0x08012BB8,12,keyboard_leds,"ref1011_default_lto,ref1011_feat_lto",0x0800FFF8,exact,1.000,
0x08012BE4,10,send_keyboard,"ref1011_default_lto,ref1011_feat_lto",0x0801188C,exact,1.000,
0x08012BEE,10,send_nkro,"ref1011_default_lto,ref1011_feat_lto",0x08011896,exact,1.000,
0x08012BF8,10,send_mouse,"ref1011_default_lto,ref1011_feat_lto",0x080118A0,exact,1.000,
0x08012C02,10,send_extra,"ref1011_default_lto,ref1011_feat_lto",0x080118AA,exact,1.000,
0x08013040,56,usb_endpoint_in_is_inactive,"ref1011_default_lto,ref1011_feat_lto",0x08010AA4,exact,1.000,
0x080130EA,22,usb_get_report,"ref1011_default_lto,ref1011_feat_lto",0x080108F6,exact,1.000,
0x08013100,28,usb_reset_report,"ref1011_default_lto,ref1011_feat_lto",0x08010896,exact,1.000,
0x08013158,28,usb_shared_get_report,"ref1011_default_lto,ref1011_feat_lto",0x08010930,exact,1.000,
0x08013174,38,usb_shared_reset_report,"ref1011_default_lto,ref1011_feat_lto",0x080108B2,exact,1.000,
0x080131F4,28,usb_set_idle_rate,"ref1011_default_lto,ref1011_feat_lto",0x08010004,exact,1.000,
0x08013210,12,usb_get_idle_rate,"ref1011_default_lto,ref1011_feat_lto",0x08010020,exact,1.000,
0x0801326C,36,usb_shared_set_idle_rate,"ref1011_default_lto,ref1011_feat_lto",0x0801007C,exact,1.000,
0x08013290,22,usb_shared_get_idle_rate,"ref1011_default_lto,ref1011_feat_lto",0x080100A0,exact,1.000,
0x080134EC,2,__cpu_init,"ref1011_default_lto,ref1011_feat_lto",0x0800B510,exact-ambiguous,1.000,tiny body placed (vote) ; ambiguous body {__aeabi_idiv0|__aeabi_ldiv0|__cpu_init|__late_init|__malloc_lock|__malloc_unlock|_fini|dummy_cb|td0_reset|wireless_enter_bluetooth_pin_code_entry_kb} resolved by caller: bl from _crt0_entry@0x08008000+0x64 ; same body also matches: __aeabi_idiv0|__aeabi_ldiv0|__late_init|__malloc_lock|__malloc_unlock|_fini|dummy_cb|td0_reset|wireless_enter_bluetooth_pin_code_entry_kb ; xrefs: _crt0_entry@0x08008000(bl)
0x080134EE,2,__late_init,"ref1011_default_lto,ref1011_feat_lto",0x08010ADC,exact-ambiguous,1.000,tiny body placed (vote) ; ambiguous body {__aeabi_idiv0|__aeabi_ldiv0|__cpu_init|__late_init|__malloc_lock|__malloc_unlock|_fini|dummy_cb|td0_reset|wireless_enter_bluetooth_pin_code_entry_kb} resolved by caller: bl from bloop@0x080080A6+0xE ; same body also matches: __aeabi_idiv0|__aeabi_ldiv0|__cpu_init|__malloc_lock|__malloc_unlock|_fini|dummy_cb|td0_reset|wireless_enter_bluetooth_pin_code_entry_kb ; xrefs: bloop@0x080080A6(bl)
0x080134F4,82,__init_ram_areas,ref1011_feat_lto,0x08010AE0,fuzzy-anchored,0.676,call-anchored: bl from bloop@0x080080A6+0xA ; xrefs: bloop@0x080080A6(bl)
0x0801359E,12,chSysGetStatusAndLockX.part.0,"ref1011_default_lto,ref1011_feat_lto",0x08010B60,exact,1.000,
0x080135AA,30,chSysRestoreStatusX,"ref1011_default_lto,ref1011_feat_lto",0x080115C0,exact,1.000,
0x080135C8,20,chSysPolledDelayX,"ref1011_default_lto,ref1011_feat_lto",0x08010B38,exact,1.000,xrefs: otg_txfifo_flush.isra.0@0x08015522(b)
0x08013838,28,__sch_ready_behind.isra.0,"ref1011_default_lto,ref1011_feat_lto",0x08010B6C,exact,1.000,xrefs: __sch_wakeup@0x08013870(bl~)
0x08013870,68,__sch_wakeup,ref1011_feat_lto,0x08010B88,fuzzy,0.945,
0x080138B8,28,chSchGoSleepS,"ref1011_default_lto,ref1011_feat_lto",0x08010A08,exact,1.000,
0x08013950,24,chSchRescheduleS,"ref1011_default_lto,ref1011_feat_lto",0x080115A8,exact,1.000,xrefs: chSysRestoreStatusX@0x080135AA(bl)
0x08013968,4,__idle_thread.lto_priv.0,"ref1011_default_lto,ref1011_feat_lto",0x08010110,exact,1.000,tiny body placed (adjacent)
0x08013A7A,24,chThdSleep,"ref1011_default_lto,ref1011_feat_lto",0x080118D8,exact,1.000,xrefs: spi_init@0x08012674(bl)
0x08013AFA,28,chThdDequeueAllI.constprop.0,ref1011_feat_lto,0x080112F0,fuzzy,0.923,
0x08013B16,30,ch_sch_prio_insert,"ref1011_default_lto,ref1011_feat_lto",0x08010114,exact,1.000,
0x08013C14,32,SVC_Handler,"ref1011_default_lto,ref1011_feat_lto",0x080118F0,exact,1.000,xrefs: _vectors@0x0800002C(vec)
0x08013C7C,84,__port_irq_epilogue,ref1011_feat_lto,0x08010A24,fuzzy-anchored,0.580,call-anchored: b.w from VectorE0@0x080149F0+0x64 ; xrefs: VectorE0@0x080149F0(b) Vector48@0x08015EF4(b) Vector9C@0x0801498C(b) VectorE4@0x08015F94(b) ...
0x08013EA2,24,obqResetI,ref1011_feat_lto,0x0801130E,fuzzy,0.900,
0x08013F26,38,obqPostFullBufferS,"ref1011_default_lto,ref1011_feat_lto",0x08010132,exact,1.000,
0x08014030,26,flashGetSectorOffset,"ref1011_default_lto,ref1011_feat_lto",0x08011910,exact,1.000,xrefs: efl_lld_verify_erase@0x08014E6E(bl)
0x0801404A,26,flashGetSectorSize,"ref1011_default_lto,ref1011_feat_lto",0x0801192A,exact,1.000,xrefs: efl_lld_verify_erase@0x08014E6E(bl)
0x0801415E,28,spiSelect,ref1011_feat_lto,0x08011AC0,fuzzy-anchored,0.917,call-anchored: bl from spi_start@0x080126E8+0x6A ; xrefs: spi_start@0x080126E8(bl)
0x0801417A,28,spiUnselect,ref1011_feat_lto,0x08011ADA,fuzzy-anchored,0.880,call-anchored: bl from spi_stop@0x080127D8+0xA ; xrefs: spi_stop@0x080127D8(bl)
0x080148C4,40,Vector58,"ref1011_default_lto,ref1011_feat_lto",0x08011DE0,exact,1.000,xrefs: _vectors@0x08000058(vec)
0x080148EC,40,Vector5C,"ref1011_default_lto,ref1011_feat_lto",0x08011E08,exact,1.000,xrefs: _vectors@0x0800005C(vec)
0x08014914,40,Vector60,"ref1011_default_lto,ref1011_feat_lto",0x08011E30,exact,1.000,xrefs: _vectors@0x08000060(vec)
0x0801493C,40,Vector64,"ref1011_default_lto,ref1011_feat_lto",0x08011E58,exact,1.000,xrefs: _vectors@0x08000064(vec)
0x08014964,40,Vector68,"ref1011_default_lto,ref1011_feat_lto",0x08011E80,exact,1.000,xrefs: _vectors@0x08000068(vec)
0x0801498C,100,Vector9C,"ref1011_default_lto,ref1011_feat_lto",0x08011EA8,exact,1.000,xrefs: _vectors@0x0800009C(vec)
0x080149F0,112,VectorE0,"ref1011_default_lto,ref1011_feat_lto",0x08011F0C,exact,1.000,xrefs: _vectors@0x080000E0(vec)
0x08014B5C,248,stm32_clock_init,"ref1011_default_lto,ref1011_feat_lto",0x08012058,exact,1.000,
0x08014C54,36,stm32_flash_check_errors,ref1011_feat_lto,0x08010174,fuzzy,0.895,xrefs: efl_lld_query_erase@0x08014E3C(bl~)
0x08014DEA,12,efl_lld_start_erase_all,"ref1011_default_lto,ref1011_feat_lto",0x0801024C,exact,1.000,
0x08014DF6,70,efl_lld_start_erase_sector,ref1011_feat_lto,0x08010258,fuzzy,0.918,
0x08014E3C,50,efl_lld_query_erase,ref1011_feat_lto,0x0801029E,fuzzy,0.889,
0x08014E6E,70,efl_lld_verify_erase,"ref1011_default_lto,ref1011_feat_lto",0x08011944,exact,1.000,
0x08014EB4,40,Vector6C,"ref1011_default_lto,ref1011_feat_lto",0x08012244,exact,1.000,xrefs: _vectors@0x0800006C(vec)
0x08014EDC,44,Vector70,ref1011_feat_lto,0x0801226C,fuzzy-anchored,0.649,call-anchored: vector slot 0x70 ; xrefs: _vectors@0x08000070(vec)
0x08014F08,44,Vector74,ref1011_feat_lto,0x08012298,fuzzy-anchored,0.649,call-anchored: vector slot 0x74 ; xrefs: _vectors@0x08000074(vec)
0x08014F34,44,Vector78,ref1011_feat_lto,0x080122C4,fuzzy-anchored,0.727,call-anchored: vector slot 0x78 ; xrefs: _vectors@0x08000078(vec)
0x08014F60,40,Vector7C,"ref1011_default_lto,ref1011_feat_lto",0x080122F0,exact,1.000,xrefs: _vectors@0x0800007C(vec)
