dump_addr,size,ref_symbol,ref_elf,ref_addr,match_type,score,notes
0x08014CD4,40,efl_lld_start,"ref1011_default,ref1011_feat",0x08013174,exact,1.000,xrefs: eflStart@0x080140A4(bl)
0x08014CFC,12,efl_lld_stop,"ref1011_default,ref1011_feat",0x0801319C,exact,1.000,xrefs: eflStop@0x080140C0(bl)
0x08014D08,4,efl_lld_get_descriptor,"ref1011_default,ref1011_feat",0x080131A8,exact,1.000,tiny body placed (adjacent)
0x08014D0C,46,efl_lld_read,ref1011_feat,0x080131AC,fuzzy,0.889,
0x08014D3A,162,efl_lld_program,ref1011_feat,0x080131DA,fuzzy,0.978,
0x08014DE8,2,Reset_Handler,"ref1011_default,ref1011_feat",0x0800811C,exact,1.000,size inferred from next symbol (asm routine) ; tiny body placed (adjacent)
0x08014DEA,12,efl_lld_start_erase_all,"ref1011_default,ref1011_feat",0x08013288,exact,1.000,
0x08014E34,4,_close_r|_lseek_r|null_sendchar_func|rgb_matrix_map_row_column_to_led_kb|sendchar,"ref1011_default,ref1011_feat",0x0800CD30,exact-ambiguous,1.000,tiny body placed (adjacent) ; identical body for: _close_r|_lseek_r|null_sendchar_func|rgb_matrix_map_row_column_to_led_kb|sendchar
0x08014E38,4,_getpid|_isatty_r|dip_switch_update_mask_user|is_keyboard_master|led_update_user|matrix_can_read|pre_process_record_user|process_action_kb|process_record_keychron_kb|rgb_matrix_indicators_advanced_user|rgb_matrix_indicators_user|shutdown_user,"ref1011_default,ref1011_feat",0x0800A9EC,exact-ambiguous,1.000,tiny body placed (adjacent) ; identical body for: _getpid|_isatty_r|dip_switch_update_mask_user|is_keyboard_master|led_update_user|matrix_can_read|pre_process_record_user|process_action_kb|process_record_keychron_kb|rgb_matrix_indicators_advanced_user|rgb_matrix_indicators_user|shutdown_user
0x08014E3C,50,efl_lld_query_erase,"ref1011_default,ref1011_feat",0x080132DA,exact,1.000,
0x08014E6E,70,efl_lld_verify_erase,"ref1011_default,ref1011_feat",0x0801330C,exact,1.000,
0x08014EB4,40,Vector6C,"ref1011_default,ref1011_feat",0x08013354,exact,1.000,xrefs: _vectors@0x0800006C(vec)
0x08014EDC,44,Vector70,ref1011_feat,0x0801337C,fuzzy-anchored,0.649,call-anchored: vector slot 0x70 ; xrefs: _vectors@0x08000070(vec)
0x08014F08,44,Vector74,ref1011_feat,0x080133A8,fuzzy-anchored,0.649,call-anchored: vector slot 0x74 ; xrefs: _vectors@0x08000074(vec)
0x08014F34,44,Vector78,ref1011_feat,0x080133D4,fuzzy-anchored,0.727,call-anchored: vector slot 0x78 ; xrefs: _vectors@0x08000078(vec)
0x08014F60,40,Vector7C,"ref1011_default,ref1011_feat",0x08013400,exact,1.000,xrefs: _vectors@0x0800007C(vec)
0x08014F88,44,Vector80,ref1011_feat,0x08013428,fuzzy-anchored,0.649,call-anchored: vector slot 0x80 ; xrefs: _vectors@0x08000080(vec)
0x08014FB4,44,Vector84,ref1011_feat,0x08013454,fuzzy-anchored,0.649,call-anchored: vector slot 0x84 ; xrefs: _vectors@0x08000084(vec)
0x08014FE0,44,VectorFC,ref1011_feat,0x08013480,fuzzy-anchored,0.727,call-anchored: vector slot 0xFC ; xrefs: _vectors@0x080000FC(vec)
0x0801500C,40,Vector120,"ref1011_default,ref1011_feat",0x080134AC,exact,1.000,xrefs: _vectors@0x08000120(vec)
0x08015034,44,Vector124,ref1011_feat,0x080134D4,fuzzy-anchored,0.649,call-anchored: vector slot 0x124 ; xrefs: _vectors@0x08000124(vec)
0x08015060,44,Vector128,ref1011_feat,0x08013500,fuzzy-anchored,0.649,call-anchored: vector slot 0x128 ; xrefs: _vectors@0x08000128(vec)
0x0801508C,44,Vector12C,ref1011_feat,0x0801352C,fuzzy-anchored,0.727,call-anchored: vector slot 0x12C ; xrefs: _vectors@0x0800012C(vec)
0x080150B8,40,Vector130,"ref1011_default,ref1011_feat",0x08013558,exact,1.000,xrefs: _vectors@0x08000130(vec)
0x080150E0,44,Vector150,ref1011_feat,0x08013580,fuzzy-anchored,0.649,call-anchored: vector slot 0x150 ; xrefs: _vectors@0x08000150(vec)
0x0801510C,44,Vector154,ref1011_feat,0x080135AC,fuzzy-anchored,0.649,call-anchored: vector slot 0x154 ; xrefs: _vectors@0x08000154(vec)
0x08015138,44,Vector158,ref1011_feat,0x080135D8,fuzzy-anchored,0.667,call-anchored: vector slot 0x158 ; xrefs: _vectors@0x08000158(vec)
0x08015164,68,dmaInit,"ref1011_default,ref1011_feat",0x08013608,exact,1.000,xrefs: hal_lld_init@0x08014AB4(bl)
0x080151A8,176,dmaStreamAllocI,ref1011_feat,0x0801364C,fuzzy-anchored,0.618,call-anchored: bl from spi_lld_start@0x080163F4+0x1E ; xrefs: spi_lld_start@0x080163F4(bl) spi_lld_start@0x080163F4(bl)
0x08015258,88,dmaStreamFreeI,"ref1011_default,ref1011_feat",0x080136FC,exact,1.000,xrefs: spi_lld_start@0x080163F4(bl) spi_lld_stop@0x080164C0(bl) spi_lld_stop@0x080164C0(bl)
0x0801531C,28,_pal_lld_init,"ref1011_default,ref1011_feat",0x080137C8,exact,1.000,xrefs: halInit@0x08013CD0(bl)
0x08015338,216,_pal_lld_setgroupmode,ref1011_feat,0x080137E4,fuzzy-anchored,0.733,call-anchored: bl from lpm_task@0x0800BDCC+0x90 ; xrefs: lpm_task@0x0800BDCC(bl) lpm_task@0x0800BDCC(bl) lpm_task@0x0800BDCC(bl) lpm_task@0x0800BDCC(bl) ...
0x08015410,100,_pal_lld_enablepadevent,ref1011_feat,0x080138B0,fuzzy,0.911,xrefs: pre_enter_low_power_mode@0x0800BCC8(bl~) pre_enter_low_power_mode@0x0800BCC8(bl~) pre_enter_low_power_mode@0x0800BCC8(bl~) pre_enter_low_power_mode@0x0800BCC8(bl~) ...
0x08015474,88,_pal_lld_disablepadevent,"ref1011_default,ref1011_feat",0x08013914,exact,1.000,xrefs: lpm_task@0x0800BDCC(bl) lpm_task@0x0800BDCC(bl) lpm_task@0x0800BDCC(bl) lpm_task@0x0800BDCC(bl) ...
0x080154CC,86,otg_disable_ep,ref1011_feat,0x0801396C,fuzzy-anchored,0.966,call-anchored: bl from usb_lld_start@0x08015558+0x84 ; xrefs: usb_lld_start@0x08015558(bl) usb_lld_stop@0x08015624(bl~) Vector14C@0x08015B5C(bl~)
0x08015522,20,otg_txfifo_flush.isra.0,"ref1011_default,ref1011_feat",0x080139C2,exact,1.000,xrefs: usb_lld_reset@0x08015668(bl) usb_lld_init_endpoint@0x08015730(bl~) usb_lld_init_endpoint@0x08015730(bl~) Vector14C@0x08015B5C(bl~)
0x08015538,32,usb_lld_init,ref1011_feat,0x080139D8,fuzzy-anchored,0.917,call-anchored: b.w from usbInit@0x08014200+0x0 ; xrefs: usbInit@0x08014200(b)
0x08015558,204,usb_lld_start,"ref1011_default,ref1011_feat",0x080139F8,exact,1.000,xrefs: usbStart@0x0801421C(bl~)
0x08015624,68,usb_lld_stop,ref1011_feat,0x08013AC4,fuzzy,0.963,xrefs: usbStop@0x08014242(bl~)
0x08015668,176,usb_lld_reset,"ref1011_default,ref1011_feat",0x08013B08,exact,1.000,xrefs: _usb_reset@0x08014396(bl~)
0x08015718,24,usb_lld_set_address,"ref1011_default,ref1011_feat",0x08013BB8,exact,1.000,xrefs: _usb_ep0setup@0x08014478(bl~)
0x08015730,276,usb_lld_init_endpoint,ref1011_feat,0x08013BD0,fuzzy-anchored,0.830,call-anchored: b.w from usbInitEndpointI@0x08014294+0x2E ; xrefs: usbInitEndpointI@0x08014294(b)
0x0801584A,4,_getpid_r|bootmagic_lite_reset_eeprom|chSchReadyI|chSysTimerHandlerI|default_layer_set|early_hardware_init_pre|eeconfig_init|eeprom_driver_erase|eeprom_driver_init|eflInit|housekeeping_task_kb|indicator_disable|itoa|keycode_at_encodermap_location|keycode_at_keymap_location|process_record_user|protocol_pre_task|protocol_setup|rtcGetTime|rtcInit|rtcSetTime|rtc_timer_init|spiInit|stInit|timer_init|usbInit|usb_device_state_init|usb_device_state_set_resume|wireless_enter_reset_kb,"ref1011_default,ref1011_feat",0x080096CA,exact-ambiguous,1.000,tiny body placed (adjacent) ; identical body for: _getpid_r|bootmagic_lite_reset_eeprom|chSchReadyI|chSysTimerHandlerI|default_layer_set|early_hardware_init_pre|eeconfig_init|eeprom_driver_erase|eeprom_driver_init|eflInit|housekeeping_task_kb|indicator_disable|itoa|keycode_at_encodermap_location|keycode_at_keymap_location|process_record_user|protocol_pre_task|protocol_setup|rtcGetTime|rtcInit|rtcSetTime|rtc_timer_init|spiInit|stInit|timer_init|usbInit|usb_device_state_init|usb_device_state_set_resume|wireless_enter_reset_kb
0x0801584E,26,usb_lld_get_status_out,"ref1011_default,ref1011_feat",0x08013CE2,exact,1.000,xrefs: _usb_ep0setup@0x08014478(bl~)
0x08015868,26,usb_lld_get_status_in,"ref1011_default,ref1011_feat",0x08013CFC,exact,1.000,xrefs: _usb_ep0setup@0x08014478(bl~)
0x08015882,18,usb_lld_read_setup,ref1011_feat,0x08013D16,fuzzy,0.923,xrefs: _usb_ep0setup@0x08014478(bl~)
0x08015894,124,usb_lld_start_out,ref1011_feat,0x08013D26,fuzzy,0.857,xrefs: otg_epout_handler.constprop.0@0x08015910(bl~)
0x08015910,176,otg_epout_handler.constprop.0,ref1011_feat,0x08013D98,fuzzy,0.925,xrefs: Vector14C@0x08015B5C(bl~) Vector14C@0x08015B5C(bl~) Vector14C@0x08015B5C(bl~) Vector14C@0x08015B5C(bl~)
0x08015A4C,272,otg_epin_handler.constprop.0,ref1011_feat,0x08013ED4,fuzzy,0.888,xrefs: Vector14C@0x08015B5C(bl~) Vector14C@0x08015B5C(bl~) Vector14C@0x08015B5C(bl~) Vector14C@0x08015B5C(bl~)
0x08015B5C,712,Vector14C,ref1011_feat,0x08013FE0,fuzzy-anchored,0.660,call-anchored: vector slot 0x14C ; xrefs: _vectors@0x0800014C(vec)
0x08015E24,20,usb_lld_stall_out,"ref1011_default,ref1011_feat",0x080142BC,exact,1.000,xrefs: _usb_ep0in@0x08014740(bl) _usb_ep0out@0x080147F2(bl) _usb_ep0setup@0x08014478(bl~) _usb_ep0setup@0x08014478(bl~)
0x08015E38,20,usb_lld_stall_in,"ref1011_default,ref1011_feat",0x080142D0,exact,1.000,xrefs: _usb_ep0in@0x08014740(bl) _usb_ep0out@0x080147F2(bl) _usb_ep0setup@0x08014478(bl~) _usb_ep0setup@0x08014478(bl~)
0x08015E4C,20,usb_lld_clear_out,"ref1011_default,ref1011_feat",0x080142E4,exact,1.000,xrefs: _usb_ep0setup@0x08014478(bl~)
0x08015E60,20,usb_lld_clear_in,"ref1011_default,ref1011_feat",0x080142F8,exact,1.000,xrefs: _usb_ep0setup@0x08014478(bl~)
0x08015E74,24,rtc_enter_init,"ref1011_default,ref1011_feat",0x0801430C,exact,1.000,xrefs: rtc_lld_init@0x08015FE0(bl~)
0x08015E8C,4,_getsize,"ref1011_default,ref1011_feat",0x08014324,exact,1.000,tiny body placed (adjacent)
0x08015EBA,56,_write,ref1011_feat,0x08014352,fuzzy,0.930,
0x08015EF2,2,Reset_Handler,"ref1011_default,ref1011_feat",0x0800811C,exact,1.000,size inferred from next symbol (asm routine) ; tiny body placed (adjacent)
0x08015EF4,104,Vector48,"ref1011_default,ref1011_feat",0x08014390,exact,1.000,xrefs: _vectors@0x08000048(vec)
0x08015F5C,56,Vector4C,"ref1011_default,ref1011_feat",0x080143F8,exact,1.000,xrefs: _vectors@0x0800004C(vec)
0x08015F94,76,VectorE4,"ref1011_default,ref1011_feat",0x08014430,exact,1.000,xrefs: _vectors@0x080000E4(vec)
0x08015FE0,120,rtc_lld_init,ref1011_feat,0x0801447C,fuzzy-anchored,0.866,call-anchored: b.w from rtcInit@0x080140F4+0x0 ; xrefs: rtcInit@0x080140F4(b)
0x08016130,252,rtc_lld_get_time,"ref1011_default,ref1011_feat",0x080145CC,exact,1.000,
0x0801622C,46,spi_lld_configure,"ref1011_default,ref1011_feat",0x080146C8,exact,1.000,xrefs: spi_lld_start@0x080163F4(bl)
0x0801625C,168,spi_lld_stop_abort.isra.0,ref1011_feat,0x080146F8,fuzzy-anchored,0.946,call-anchored: bl from spi_lld_stop@0x080164C0+0xA ; xrefs: spi_lld_stop@0x080164C0(bl) spi_lld_serve_tx_interrupt@0x08016304(bl) spi_lld_serve_rx_interrupt@0x08016340(bl~) spi_lld_serve_rx_interrupt@0x08016340(bl~)
