start,size,kind,fn_starts,suggested_names,callers,callees
0x0800E504,68,code,0x0800E534,0x0800E534=reset_oneshot_layer,0x0800E534<-clear_oneshot_layer_state@0x0800E548(b),0x0800E516->layer_on 0x0800E51E->bootmagic|default_layer_state_set_kb|dip_switch_update_mask_kb|host_keyboard_led_state|keyboard_pre_init_kb|layer_state_set_kb|matrix_init_kb|matrix_output_unselect_delay|matrix_scan_kb|notify_usb_device_state_change_kb|oneshot_layer_changed_kb|oneshot_locked_mods_changed_kb|oneshot_mods_changed_kb|post_process_record_kb|pre_process_record_kb|rgb_matrix_indicators_advanced_kb|should_process_keypress|shutdown_kb|suspend_power_down_kb|suspend_wakeup_init_kb 0x0800E53C->bootmagic|default_layer_state_set_kb|dip_switch_update_mask_kb|host_keyboard_led_state|keyboard_pre_init_kb|layer_state_set_kb|matrix_init_kb|matrix_output_unselect_delay|matrix_scan_kb|notify_usb_device_state_change_kb|oneshot_layer_changed_kb|oneshot_locked_mods_changed_kb|oneshot_mods_changed_kb|post_process_record_kb|pre_process_record_kb|rgb_matrix_indicators_advanced_kb|should_process_keypress|shutdown_kb|suspend_power_down_kb|suspend_wakeup_init_kb 0x0800E528->layer_on
0x0800E6C4,60,code,0x0800E6C8,0x0800E6C4=eeconfig_init 0x0800E6C8=generate_tick_event,0x0800E6C4<-factory_test_task@0x0800CA84(bl) 0x0800E6C4<-rgb_matrix_init@0x08010C70(bl) 0x0800E6C4<-magic@0x0800ECCC(bl) 0x0800E6C8<-keyboard_task@0x0800E7B8(bl~),0x0800E6CC->timer_read 0x0800E6DE->timer_read 0x0800E6F0->0x0800D50C 0x0800E6C4->eeconfig_init_quantum+0x2
0x0800EBBC,196,code,,0x0800EBBC=mod_config,0x0800EBBC<-action_for_keycode@0x0800E8B0(bl~) 0x0800EBBC<-action_for_keycode@0x0800E8B0(bl~) 0x0800EBBC<-action_for_keycode@0x0800E8B0(bl~),
0x0800EDB8,160,code,,0x0800EDB8=matrix_read_rows_on_col,0x0800EDB8<-matrix_scan@0x0800EE8C(bl~),0x0800EDE8->_pal_lld_setgroupmode 0x0800EDF6->matrix_output_select_delay 0x0800EE36->setPinInputHigh_atomic 0x0800EE42->bootmagic|default_layer_state_set_kb|dip_switch_update_mask_kb|host_keyboard_led_state|keyboard_pre_init_kb|layer_state_set_kb|matrix_init_kb|matrix_output_unselect_delay|matrix_scan_kb|notify_usb_device_state_change_kb|oneshot_layer_changed_kb|oneshot_locked_mods_changed_kb|oneshot_mods_changed_kb|post_process_record_kb|pre_process_record_kb|rgb_matrix_indicators_advanced_kb|should_process_keypress|shutdown_kb|suspend_power_down_kb|suspend_wakeup_init_kb
0x0800EEF8,36,code,,0x0800EEF8=debounce_init,0x0800EEF8<-matrix_init@0x0800EE58(bl~),0x0800EF02->free|malloc|raise 0x0800EF12->0x08008798
0x0800EF30,304,code,,0x0800EF30=debounce,0x0800EF30<-matrix_scan@0x0800EE8C(bl~),0x0800EF4C->timer_read32 0x0800EF98->timer_read32
0x0800F460,252,code,,,,0x0800F464->wear_leveling_clear_cache 0x0800F468->0x0800F5F4 0x0800F46E->wear_leveling_clear_cache 0x0800F486->backing_store_read_bulk 0x0800F49A->fnv_64a_buf 0x0800F4AA->backing_store_read_bulk 0x0800F4BA->wear_leveling_clear_cache 0x0800F4C6->backing_store_read 0x0800F508->backing_store_read 0x0800F518->0x0800883C 0x0800F52A->wear_leveling_consolidate_force 0x0800F534->wear_leveling_clear_cache 0x0800F53A->wear_leveling_clear_cache 0x0800F544->wear_leveling_consolidate_if_needed
0x0800F574,64,code,,0x0800F574=backing_store_erase,0x0800F574<-wear_leveling_erase@0x0800F244(bl) 0x0800F574<-wear_leveling_consolidate_force@0x0800F2E8(bl~),0x0800F59C->0x08013FF4
0x0800F5F4,136,code,,,,0x0800F5FE->backing_store_lock 0x0800F626->flashGetSectorSize 0x0800F63A->flashGetSectorOffset 0x0800F658->chSysHalt
0x0800F770,48,code,0x0800F776 0x0800F780 0x0800F78A 0x0800F794,,,0x0800F774->hsv_to_rgb_impl+0x1E 0x0800F77E->hsv_to_rgb_impl+0x1E 0x0800F788->hsv_to_rgb_impl+0x1E 0x0800F792->hsv_to_rgb_impl+0x1E 0x0800F798->hsv_to_rgb_impl+0x1E
