addr,name,size,file,status
0x0800A2DC,FUN_0800a2dc,82,0800a2dc_FUN_0800a2dc.c,ok
0x0800A33C,FUN_0800a33c,88,0800a33c_FUN_0800a33c.c,ok
0x0800A3A0,FUN_0800a3a0,44,0800a3a0_FUN_0800a3a0.c,ok
0x0800A3D4,FUN_0800a3d4,54,0800a3d4_FUN_0800a3d4.c,ok
0x0800A41C,FUN_0800a41c,10,0800a41c_FUN_0800a41c.c,ok
0x0800A42C,FUN_0800a42c,2,0800a42c_FUN_0800a42c.c,ok
0x0800A42E,FUN_0800a42e,2,0800a42e_FUN_0800a42e.c,ok
0x0800A430,FUN_0800a430,2,0800a430_FUN_0800a430.c,ok
0x0800A432,FUN_0800a432,2,0800a432_FUN_0800a432.c,ok
0x0800A434,FUN_0800a434,2,0800a434_FUN_0800a434.c,ok
0x0800A436,FUN_0800a436,2,0800a436_FUN_0800a436.c,ok
0x0800A458,FUN_0800a458,80,0800a458_FUN_0800a458.c,ok
0x0800A4B0,FUN_0800a4b0,78,0800a4b0_FUN_0800a4b0.c,ok
0x0800A4E8,FUN_0800a4e8,126,0800a4e8_FUN_0800a4e8.c,ok
0x0800A570,FUN_0800a570,396,0800a570_FUN_0800a570.c,ok
0x0800A754,FUN_0800a754,36,0800a754_FUN_0800a754.c,ok
0x0800A77C,FUN_0800a77c,6,0800a77c_FUN_0800a77c.c,ok
0x0800A788,process_record_wireless,62,0800a788_process_record_wireless.c,ok
0x0800A7CC,FUN_0800a7cc,38,0800a7cc_FUN_0800a7cc.c,ok
0x0800A808,FUN_0800a808,42,0800a808_FUN_0800a808.c,ok
0x0800A840,FUN_0800a840,40,0800a840_FUN_0800a840.c,ok
0x0800A874,FUN_0800a874,16,0800a874_FUN_0800a874.c,ok
0x0800A88C,FUN_0800a88c,12,0800a88c_FUN_0800a88c.c,ok
0x0800A89C,FUN_0800a89c,24,0800a89c_FUN_0800a89c.c,ok
0x0800A8BC,FUN_0800a8bc,6,0800a8bc_FUN_0800a8bc.c,ok
0x0800A8C8,FUN_0800a8c8,6,0800a8c8_FUN_0800a8c8.c,ok
0x0800A8D4,FUN_0800a8d4,162,0800a8d4_FUN_0800a8d4.c,ok
0x0800A98C,FUN_0800a98c,130,0800a98c_FUN_0800a98c.c,ok
0x0800AA20,FUN_0800aa20,58,0800aa20_FUN_0800aa20.c,ok
0x0800AA64,FUN_0800aa64,200,0800aa64_FUN_0800aa64.c,ok
0x0800AB3C,FUN_0800ab3c,48,0800ab3c_FUN_0800ab3c.c,ok
0x0800AB70,FUN_0800ab70,48,0800ab70_FUN_0800ab70.c,ok
0x0800ABA4,FUN_0800aba4,50,0800aba4_FUN_0800aba4.c,ok
0x0800ABDC,FUN_0800abdc,60,0800abdc_FUN_0800abdc.c,ok
0x0800AC1C,FUN_0800ac1c,70,0800ac1c_FUN_0800ac1c.c,ok
0x0800AC68,FUN_0800ac68,118,0800ac68_FUN_0800ac68.c,ok
0x0800ACEC,FUN_0800acec,60,0800acec_FUN_0800acec.c,ok
0x0800AD2C,FUN_0800ad2c,60,0800ad2c_FUN_0800ad2c.c,ok
0x0800AD70,FUN_0800ad70,44,0800ad70_FUN_0800ad70.c,ok
0x0800ADA0,FUN_0800ada0,78,0800ada0_FUN_0800ada0.c,ok
0x0800ADF8,FUN_0800adf8,36,0800adf8_FUN_0800adf8.c,ok
0x0800AE58,FUN_0800ae58,44,0800ae58_FUN_0800ae58.c,ok
0x0800AE88,FUN_0800ae88,48,0800ae88_FUN_0800ae88.c,ok
0x0800AEBC,FUN_0800aebc,56,0800aebc_FUN_0800aebc.c,ok
0x0800AEF8,FUN_0800aef8,48,0800aef8_FUN_0800aef8.c,ok
